Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TPOLY,3.82,3.84,3.76,3.84,1.05,1498600,5727000,221212000,1056233000.0,2051284000.0,3.84,,,,,1498600.0,,,5727000.0,0.0
1/6/2015,TPOLY,3.86,4.04,3.82,3.98,3.65,11197900,44400000,202042000,1033316000.0,2057095000.0,3.91,,,,,6348250.0,,,25063500.0,0.0
1/7/2015,TPOLY,4.06,4.06,3.92,4.0,0.5,7068210,28185000,105985000,1030523000.0,2056191000.0,3.94,,,,,6588236.666666668,,,26104000.0,0.0
1/8/2015,TPOLY,3.96,4.04,3.6,3.7,-7.5,16111618,61928000,155201000,1073438000.0,2083675000.0,3.88,,,,,8969082.0,,,35060000.0,0.0
1/9/2015,TPOLY,3.72,3.74,3.5,3.62,-2.16,5740800,20965000,161205000,1033381000.0,2036529000.0,3.8280000000000003,,,,,8323425.6,,,32241000.0,0.0
1/12/2015,TPOLY,3.58,3.66,3.46,3.66,1.1,7359800,26085000,181563000,589415000.0,2040333000.0,3.792,,,,,9495665.6,,,36312600.0,0.0
1/13/2015,TPOLY,3.7,3.74,3.6,3.64,-0.55,2738250,10024000,147187000,500672000.0,2038375000.0,3.724,,,,,7803735.6,,,29437400.0,0.0
1/14/2015,TPOLY,3.64,3.66,3.5,3.6,-1.1,3390600,12200000,131202000,473275000.0,2042095000.0,3.644000000000001,,,,,7068213.6,,,26240400.0,0.0
1/15/2015,TPOLY,3.6,3.68,3.6,3.6,0.0,1742700,6333000,75607000,431332000.0,1969840000.0,3.624,,,,,4194430.0,,,15121400.0,0.0
1/16/2015,TPOLY,3.54,3.72,3.54,3.72,3.33,4598050,16884000,71526000,384646000.0,1959443000.0,3.6439999999999997,,,,,3965880.0,,,14305200.0,0.0
1/19/2015,TPOLY,3.76,4.02,3.72,4.0,7.53,27168618,106413000,151854000,366817000.0,2037463000.0,3.7120000000000006,,,,,7927643.6,,,30370800.0,0.0
1/20/2015,TPOLY,4.0,4.12,3.92,4.02,0.5,16434429,66298000,208128000,420403000.0,2059522000.0,3.7880000000000003,3.7816666666666654,,,,10666879.4,,,41625600.0,0.0
1/21/2015,TPOLY,4.06,4.2,4.06,4.12,2.49,12505766,51905000,247833000,457347000.0,2021077000.0,3.892,3.805,,,,12489912.6,,,49566600.0,0.0
1/22/2015,TPOLY,4.2,4.4,4.06,4.4,6.8,21171500,89521000,331021000,541141000.0,2068652000.0,4.052,3.84,,,,16375672.6,64.28571428571428,64.28571428571428,66204200.0,0.0
1/23/2015,TPOLY,4.54,5.7,4.54,5.15,17.05,108276197,552649000,866786000,1049390000.0,2550992000.0,4.337999999999999,3.935833333333333,,,,37111302.0,64.28571428571428,64.28571428571428,173357200.0,0.0
1/26/2015,TPOLY,5.3,6.1,4.9,6.1,18.45,47721730,261353000,1021726000,1282558000.0,2776668000.0,4.758,4.135833333333333,,,,41221924.4,64.28571428571428,64.28571428571428,204345200.0,0.0
1/27/2015,TPOLY,6.05,7.0,5.9,7.0,14.75,62360741,407343000,1362771000,1627973000.0,3149982000.0,5.354,4.4175,,,,50407186.8,64.28571428571428,64.28571428571428,272554200.0,0.0
1/28/2015,TPOLY,6.9,7.9,6.8,7.75,10.71,77634090,577462000,1888328000,2184470000.0,3644041000.0,6.08,4.758333333333334,,,,63432851.6,71.42857142857143,65.71428571428571,377665600.0,0.0
1/29/2015,TPOLY,7.75,7.8,6.6,7.1,-8.39,35687690,254893000,2053700000,2413278000.0,3835304000.0,6.62,5.046666666666667,,,,66336089.6,71.42857142857143,67.14285714285714,410740000.0,0.0
1/30/2015,TPOLY,7.0,7.2,6.35,7.05,-0.7,21023600,143372000,1644423000,2546626000.0,3949405000.0,7.0,5.3341666666666665,,,,48885570.2,64.28571428571428,67.14285714285714,328884600.0,0.0
2/2/2015,TPOLY,7.15,7.3,6.65,6.85,-2.84,12930201,89891000,1472961000,2624317000.0,4008579000.0,7.15,5.605,,,,41927264.4,64.28571428571428,67.14285714285714,294592200.0,0.0
2/3/2015,TPOLY,6.85,7.25,6.5,6.7,-2.19,27244210,186913000,1252531000,2804897000.0,4071250000.0,7.0900000000000025,5.853333333333333,,,,34903958.2,64.28571428571428,67.14285714285714,250506200.0,0.0
2/4/2015,TPOLY,6.7,7.25,6.5,7.25,8.21,24732300,173448000,848517000,2961461000.0,4177381000.0,6.99,6.1241666666666665,,,,24323600.2,71.42857142857143,67.14285714285714,169703400.0,0.0
2/5/2015,TPOLY,7.25,7.4,7.0,7.25,0.0,14433902,104100000,697724000,2959148000.0,4250503000.0,7.019999999999999,6.3933333333333335,,,,20072842.6,64.28571428571428,65.71428571428571,139544800.0,0.0
2/6/2015,TPOLY,7.4,9.0,7.3,8.7,20.0,70789351,576874000,1131226000,3469724000.0,4808364000.0,7.35,6.775,,,,30025992.8,64.28571428571428,65.71428571428571,226245200.0,0.0
2/9/2015,TPOLY,8.0,8.55,7.65,8.25,-5.17,33470886,273077000,1314412000,3690896000.0,5020419000.0,7.63,7.095833333333334,5.348076923076921,1.7103632478632491,1.7103632478632491,34134129.8,57.14285714285714,64.28571428571429,262882400.0,0.0
2/10/2015,TPOLY,8.3,8.4,8.0,8.3,0.61,8640231,70872000,1198371000,3672247000.0,4621240000.0,7.95,7.358333333333332,5.519615384615384,1.7776353276353278,1.7439992877492885,30413334.0,57.14285714285714,62.85714285714285,239674200.0,0.0
2/11/2015,TPOLY,8.15,8.3,7.8,8.05,-3.01,13586000,108737000,1133660000,3228335000.0,4631210000.0,8.11,7.520833333333332,5.6761538461538485,1.7502492877492868,1.7460826210826212,28184074.0,50.0,58.57142857142857,226732000.0,0.0
2/12/2015,TPOLY,8.1,8.3,7.95,8.3,3.11,7728303,62533000,1092093000,3029515000.0,4654146000.0,8.319999999999999,7.629166666666666,5.8415384615384625,1.7087250712250706,1.7367432336182336,26842954.2,50.0,55.71428571428571,218418600.0,0.0
2/13/2015,TPOLY,8.4,8.4,8.05,8.05,-3.01,6296820,51510000,566729000,2673682000.0,4657380000.0,8.190000000000001,7.654166666666666,6.008846153846156,1.5550213675213662,1.7003988603988602,13944448.0,42.857142857142854,51.42857142857142,113345800.0,0.0
2/16/2015,TPOLY,7.9,8.0,7.55,7.6,-5.59,11283233,87009000,380661000,2183229000.0,4680819000.0,8.06,7.695833333333333,6.1619230769230775,1.4126424501424475,1.6408547008546996,9506917.4,35.714285714285715,47.14285714285714,76132200.0,1.0
2/17/2015,TPOLY,7.5,7.55,6.95,7.2,-5.26,7348200,53534000,363323000,1981870000.0,4610111000.0,7.8400000000000025,7.708333333333332,6.2980769230769225,1.2652421652421637,1.538376068376067,9248511.2,28.57142857142857,41.42857142857143,72664600.0,0.0
2/18/2015,TPOLY,7.1,7.45,7.1,7.4,2.78,2646436,19285000,273871000,1857783000.0,4616684000.0,7.710000000000001,7.754166666666666,6.442692307692307,1.186075498575498,1.4255413105413093,7060598.4,35.714285714285715,38.571428571428584,54774200.0,0.0
2/19/2015,TPOLY,7.35,7.6,7.3,7.5,1.35,3189099,23830000,235168000,1791722000.0,4625553000.0,7.55,7.820833333333333,6.592692307692308,1.111574074074074,1.30611111111111,6152757.6,42.857142857142854,37.142857142857146,47033600.0,0.0
2/20/2015,TPOLY,7.4,7.55,7.25,7.55,0.67,2191049,16273000,199931000,1621082000.0,4636099000.0,7.45,7.845833333333332,6.7446153846153845,0.9960470085470076,1.194316239316238,5331603.4,50.0,38.57142857142857,39986200.0,0.0
