Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TPP,27.0,27.0,26.25,26.5,0.95,139000,3718000,139278000,236399000.0,303806000.0,26.5,,,,,139000.0,,
1/6/2015,TPP,26.25,26.25,25.0,25.0,-5.66,701400,17765000,80954000,249304000.0,315667000.0,25.75,,,,,420200.0,,
1/7/2015,TPP,25.5,25.75,24.5,24.5,-2.0,220900,5522000,46134000,253722000.0,315700000.0,25.333333333333332,,,,,353766.6666666667,,
1/8/2015,TPP,24.5,26.75,24.4,25.5,4.08,185200,4689000,35672000,257999000.0,319499000.0,25.375,,,,,311625.0,,
1/9/2015,TPP,25.75,29.0,25.5,29.0,13.73,627100,17434000,49128000,275091000.0,335740000.0,26.1,,,,,374720.0,,
1/12/2015,TPP,29.0,29.5,27.5,28.0,-3.45,180200,5067000,50477000,277571000.0,340000000.0,26.4,,,,,382960.0,,
1/13/2015,TPP,27.5,31.5,27.5,29.0,3.57,804800,23838000,56550000,298095000.0,350708000.0,27.2,,,,,403640.0,,
1/14/2015,TPP,29.5,31.0,29.0,29.5,1.72,412200,12271000,63299000,303604000.0,360356000.0,28.2,,,,,441900.0,,
1/15/2015,TPP,29.75,32.0,29.75,29.75,0.85,455400,14128000,72738000,239992000.0,373119000.0,29.05,,,,,495940.0,,
1/16/2015,TPP,30.5,30.5,28.75,28.75,-3.36,418700,12309000,67613000,176212000.0,384611000.0,29.0,,,,,454260.0,,
1/19/2015,TPP,29.5,31.75,29.5,30.0,4.35,578200,17629000,80175000,153499000.0,399676000.0,29.4,,,,,533860.0,,
1/20/2015,TPP,33.0,33.25,31.0,31.75,5.83,1085500,34819000,91156000,173167000.0,432619000.0,29.95,28.104166666666668,,,,590000.0,,
1/21/2015,TPP,32.5,32.5,31.0,32.0,0.79,130900,4163000,83048000,173352000.0,435070000.0,30.45,28.5625,,,,533740.0,,
1/22/2015,TPP,32.75,32.75,31.5,31.75,-0.78,213900,6803000,75723000,176437000.0,441528000.0,30.85,29.125,,,,485440.0,64.28571428571428,64.28571428571428
1/23/2015,TPP,32.75,35.0,31.25,34.75,9.45,929200,30884000,94298000,189556000.0,472217000.0,32.05,29.979166666666668,,,,587540.0,64.28571428571428,64.28571428571428
1/26/2015,TPP,36.5,38.5,35.25,36.0,3.6,838701,30959000,107628000,214993000.0,499867000.0,33.25,30.854166666666668,,,,639640.2,71.42857142857143,66.66666666666667
