Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
12/20/2018,TQM,23.0,23.8,21.0,22.8,-0.87,54976813,1248096370,1248096370,1248096370.0,1248096370.0,22.8,,,,,54976813.0,,,1248096370.0,0.0
12/21/2018,TQM,22.8,23.5,22.5,23.0,0.88,28634657,657208310,1905304680,1905304680.0,1905304680.0,22.9,,,,,41805735.0,,,952652340.0,0.0
12/24/2018,TQM,23.2,23.4,22.9,22.9,-0.43,7671310,176845040,2082149720,2082149720.0,2082149720.0,22.899999999999995,,,,,30427593.33333333,,,694049906.6666666,0.0
12/25/2018,TQM,22.6,23.2,22.5,23.1,0.87,4814902,109918490,2192068210,2192068210.0,2192068210.0,22.95,,,,,24024420.5,,,548017052.5,0.0
12/26/2018,TQM,23.0,23.1,22.9,22.9,-0.87,2841467,65194320,2257262530,2257262530.0,2257262530.0,22.94,,,,,19787829.8,,,451452506.0,0.0
12/28/2018,TQM,23.0,23.0,22.7,22.8,0.0,1305802,29803780,1038969940,2287066310.0,2287066310.0,22.94,,,,,9053627.6,,,207793988.0,0.0
1/2/2019,TQM,22.9,23.2,22.8,22.8,0.0,721619,16550180,398311810,2303616490.0,2303616490.0,22.9,,,,,3471020.0,,,79662362.0,0.0
1/3/2019,TQM,22.8,23.0,21.9,22.5,-1.32,2398941,53773230,275240000,2357389720.0,2357389720.0,22.82,,,,,2416546.2,,,55048000.0,0.0
1/4/2019,TQM,22.5,22.8,22.0,22.5,0.0,1123600,25279590,190601100,2382669310.0,2382669310.0,22.7,,,,,1678285.8,,,38120220.0,0.0
1/7/2019,TQM,22.8,22.9,22.8,22.9,1.78,424401,9687200,135093980,2392356510.0,2392356510.0,22.7,,,,,1194872.6,,,27018796.0,0.0
1/8/2019,TQM,22.8,22.8,22.6,22.6,-1.31,105900,2401440,107691640,2394757950.0,2394757950.0,22.66,,,,,954892.2,,,21538328.0,0.0
1/9/2019,TQM,22.6,22.7,22.5,22.7,0.44,125800,2839430,93980890,2397597380.0,2397597380.0,22.64,22.79166666666667,,,,835728.4,,,18796178.0,0.0
1/10/2019,TQM,22.5,22.9,22.5,22.7,0.0,908300,20632830,60840490,2418230210.0,2418230210.0,22.68,22.78333333333333,,,,537600.2,,,12168098.0,0.0
1/11/2019,TQM,22.7,22.9,22.7,22.9,0.88,113818,2597180,0,0.0,0.0,22.76,22.774999999999995,,,,335643.8,35.714285714285715,35.714285714285715,7631616.0,0.0
1/14/2019,TQM,22.9,23.0,22.7,22.8,-0.44,188000,4300300,32771180,519823010.0,2425127690.0,22.74,22.766666666666666,,,,288363.6,35.714285714285715,35.714285714285715,6554236.0,0.0
1/15/2019,TQM,22.7,22.8,22.7,22.7,-0.44,428800,9763590,40133330,352741560.0,2434891280.0,22.76,22.73333333333333,,,,352943.6,28.57142857142857,33.333333333333336,8026666.0,0.0
1/16/2019,TQM,22.8,22.8,22.6,22.8,0.44,438600,9976260,47270160,252799330.0,2444867540.0,22.78,22.725,,,,415503.6,35.714285714285715,33.92857142857143,9454032.0,0.0
1/17/2019,TQM,22.9,22.9,22.7,22.7,-0.44,275910,6275850,32913180,193880860.0,2451143390.0,22.78,22.716666666666665,,,,289025.6,28.57142857142857,32.857142857142854,6582636.0,0.0
1/18/2019,TQM,22.7,23.0,22.7,22.8,0.44,365100,8305900,38621900,172382980.0,2459449290.0,22.76,22.71666666666667,,,,339282.0,35.714285714285715,32.85714285714286,7724380.0,0.0
1/21/2019,TQM,22.8,22.9,22.6,22.9,0.44,144900,3300340,37621940,159133140.0,2462749630.0,22.78,22.75,,,,330662.0,42.857142857142854,34.285714285714285,7524388.0,0.0
1/22/2019,TQM,22.7,23.0,22.6,22.9,0.0,339700,7741080,35599430,113100990.0,2470490710.0,22.82,22.78333333333333,,,,312842.0,42.857142857142854,37.142857142857146,7119886.0,0.0
1/23/2019,TQM,22.7,22.9,22.5,22.7,-0.87,203801,4624110,30247280,92445510.0,2475114820.0,22.800000000000004,22.76666666666667,,,,265882.2,42.857142857142854,38.57142857142857,6049456.0,0.0
1/24/2019,TQM,22.8,23.4,22.8,23.4,3.08,4612041,106789290,130760720,189547600.0,2581904110.0,22.94,22.83333333333333,,,,1133108.4,50.0,42.85714285714286,26152144.0,0.0
1/25/2019,TQM,23.7,24.5,23.6,24.4,4.27,13796570,331981640,454436460,519127800.0,2913885750.0,23.26,22.975,,,,3819402.4,50.0,45.71428571428571,90887292.0,0.0
1/28/2019,TQM,24.5,24.6,23.8,23.8,-2.46,4144106,100183390,551319510,616471760.0,3014069140.0,23.44,23.066666666666666,,,,4619243.6,50.0,47.14285714285714,110263902.0,0.0
1/29/2019,TQM,23.8,25.25,23.8,24.8,4.2,9547201,234556750,778135180,830395680.0,3248625890.0,23.82,23.225,22.99230769230769,0.3410968660968692,0.3410968660968692,6460743.8,50.0,48.57142857142857,155627036.0,0.0
1/30/2019,TQM,25.0,25.5,24.7,24.7,-0.4,4520201,113332640,886843710,941131140.0,3361958530.0,24.22,23.383333333333336,23.06538461538461,0.39943019943020985,0.3702635327635395,7324023.8,50.0,50.0,177368742.0,0.0
1/31/2019,TQM,24.7,24.9,24.4,24.9,0.81,2035600,50211200,830265620,987042040.0,3412169730.0,24.52,23.566666666666666,23.13846153846153,0.5028490028490076,0.4144586894586955,6808735.6,50.0,50.0,166053124.0,0.0
2/1/2019,TQM,25.0,25.75,23.9,24.3,-2.41,5506600,137121000,635404980,1114399450.0,3549290730.0,24.5,23.691666666666666,23.19230769230769,0.5108974358974443,0.4385683760683827,5150741.6,50.0,50.0,127080996.0,2.0
2/4/2019,TQM,24.3,24.8,23.9,24.7,1.65,6601144,161183410,696405000,1265606600.0,3710474140.0,24.68,23.85833333333333,23.25384615384615,0.6268518518518533,0.4762250712250769,5642149.2,57.14285714285714,51.42857142857142,139281000.0,2.0
2/6/2019,TQM,24.0,24.4,24.0,24.2,-0.82,1131400,27404980,489253230,1286735730.0,3737879120.0,24.56,23.975000000000005,23.30384615384615,0.6393874643874717,0.5358831908831974,3958989.0,50.0,51.42857142857142,97850646.0,0.0
2/7/2019,TQM,24.3,24.5,23.9,24.0,-0.83,2482501,59927460,435848050,1338357290.0,3797806580.0,24.42,24.066666666666666,23.35,0.6582621082621074,0.5876495726495768,3551449.0,50.0,51.42857142857142,87169610.0,0.0
2/8/2019,TQM,23.8,24.3,23.8,23.8,-0.83,15555800,358855240,744492090,1693912190.0,4156661820.0,24.2,24.141666666666666,23.38846153846153,0.6701566951566988,0.6211111111111152,6255489.0,42.857142857142854,50.0,148898418.0,2.0
2/11/2019,TQM,23.9,23.9,23.2,23.2,-2.52,2292601,53667020,661038110,1739838130.0,4210328840.0,23.98,24.18333333333333,23.415384615384607,0.6326210826210854,0.6454558404558434,5612689.2,35.714285714285715,47.14285714285714,132207622.0,0.0
