Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
7/4/2018,TRITN-W3,0.05,0.06,0.04,0.06,0.0,165572742,7991050,7991050,7991050.0,7991050.0,0.06,,,,,165572742.0,,,7991050.0,0.0
7/5/2018,TRITN-W3,0.06,0.07,0.05,0.06,0.0,36271468,2126780,10117830,10117830.0,10117830.0,0.06,,,,,100922105.0,,,5058915.0,0.0
7/6/2018,TRITN-W3,0.06,0.08,0.05,0.07,16.67,47930008,3172660,13290490,13290490.0,13290490.0,0.06333333333333334,,,,,83258072.66666667,,,4430163.333333333,0.0
7/9/2018,TRITN-W3,0.08,0.11,0.08,0.09,28.57,35947791,3215750,16506240,16506240.0,16506240.0,0.07,,,,,71430502.25,,,4126560.0,0.0
7/10/2018,TRITN-W3,0.09,0.1,0.08,0.09,0.0,28556855,2578500,19084740,19084740.0,19084740.0,0.07400000000000001,,,,,62855772.8,,,3816948.0,0.0
7/11/2018,TRITN-W3,0.09,0.1,0.08,0.09,0.0,8341864,749730,11843420,19834470.0,19834470.0,0.08,,,,,31409597.2,,,2368684.0,0.0
7/12/2018,TRITN-W3,0.09,0.15,0.08,0.13,44.44,85332552,10352580,20069220,30187050.0,30187050.0,0.094,,,,,41221814.0,,,4013844.0,0.0
7/13/2018,TRITN-W3,0.14,0.18,0.14,0.16,23.08,73051939,11411060,28307620,41598110.0,41598110.0,0.11200000000000004,,,,,46246200.2,,,5661524.0,0.0
7/16/2018,TRITN-W3,0.17,0.18,0.15,0.16,0.0,29080904,4803000,29894870,46401110.0,46401110.0,0.126,,,,,44872822.8,,,5978974.0,0.0
7/17/2018,TRITN-W3,0.16,0.17,0.16,0.16,0.0,10795717,1727330,29043700,48128440.0,48128440.0,0.14,,,,,41320595.2,,,5808740.0,0.0
7/18/2018,TRITN-W3,0.16,0.18,0.16,0.17,6.25,25398062,4315140,32609110,52443580.0,52443580.0,0.15600000000000006,,,,,44731834.8,,,6521822.0,0.0
7/19/2018,TRITN-W3,0.17,0.17,0.15,0.16,-5.88,20436350,3330630,25587160,55774210.0,55774210.0,0.162,0.11666666666666665,,,,31752594.4,,,5117432.0,0.0
7/20/2018,TRITN-W3,0.16,0.17,0.16,0.16,0.0,7600617,1225660,15401760,56999870.0,56999870.0,0.162,0.125,,,,18662330.0,,,3080352.0,0.0
7/23/2018,TRITN-W3,0.17,0.17,0.16,0.16,0.0,6163291,986730,11585490,49995550.0,57986600.0,0.162,0.13333333333333333,,,,14078807.4,35.714285714285715,35.714285714285715,2317098.0,0.0
7/24/2018,TRITN-W3,0.16,0.17,0.16,0.16,0.0,10487500,1678500,11536660,49547270.0,59665100.0,0.162,0.1408333333333333,,,,14017164.0,35.714285714285715,35.714285714285715,2307332.0,0.0
7/25/2018,TRITN-W3,0.17,0.17,0.16,0.16,0.0,5787908,928570,8150090,47303180.0,60593670.0,0.16,0.14666666666666664,,,,10095133.2,35.714285714285715,35.714285714285715,1630018.0,0.0
7/26/2018,TRITN-W3,0.16,0.16,0.16,0.16,0.0,2150512,344080,5163540,44431510.0,60937750.0,0.16,0.15249999999999994,,,,6437965.6,28.57142857142857,33.92857142857143,1032708.0,0.0
7/31/2018,TRITN-W3,0.16,0.16,0.16,0.16,0.0,1219000,195040,4132920,42048050.0,61132790.0,0.16,0.1583333333333333,,,,5161642.2,21.42857142857143,31.428571428571434,826584.0,0.0
8/1/2018,TRITN-W3,0.16,0.16,0.15,0.16,0.0,1032706,159230,3305420,41457550.0,61292020.0,0.16,0.1608333333333333,,,,4135525.2,21.42857142857143,28.571428571428577,661084.0,0.0
8/2/2018,TRITN-W3,0.15,0.16,0.15,0.15,-6.25,8170057,1225610,2852530,32330580.0,62517630.0,0.158,0.15999999999999998,,,,3672036.6,21.42857142857143,25.714285714285715,570506.0,0.0
