Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TRUEIF,10.7,10.8,10.6,10.7,0.0,3330615,35646000,293968000,1113742000.0,5497751000.0,10.7,,,,,3330615.0,,,35646000.0,0.0
1/6/2015,TRUEIF,10.7,10.8,10.6,10.7,0.0,7734000,82762000,346301000,919584000.0,5434374000.0,10.7,,,,,5532307.5,,,59204000.0,0.0
1/7/2015,TRUEIF,10.7,10.8,10.6,10.7,0.0,15003617,160610000,494527000,859395000.0,5494610000.0,10.699999999999998,,,,,8689410.666666666,,,93006000.0,0.0
1/8/2015,TRUEIF,10.7,10.8,10.6,10.6,-0.93,9558800,102224000,426652000,869254000.0,5555144000.0,10.675,,,,,8906758.0,,,95310500.0,0.0
1/9/2015,TRUEIF,10.7,10.8,10.6,10.7,0.94,14629400,156502000,537744000,976961000.0,5387084000.0,10.679999999999998,,,,,10051286.4,,,107548800.0,0.0
1/12/2015,TRUEIF,10.7,10.8,10.6,10.8,0.93,3303800,35350000,537448000,942238000.0,5274861000.0,10.7,,,,,10045923.4,,,107489600.0,0.0
1/13/2015,TRUEIF,10.7,10.8,10.7,10.7,-0.93,1779900,19046000,473732000,938666000.0,5198986000.0,10.7,,,,,8855103.4,,,94746400.0,0.0
1/14/2015,TRUEIF,10.8,10.9,10.8,10.9,1.87,12178800,131757000,444879000,1018357000.0,5208396000.0,10.739999999999998,,,,,8290140.0,,,88975800.0,0.0
1/15/2015,TRUEIF,10.9,11.2,10.8,11.1,1.83,19945400,219943000,562598000,1202162000.0,5302761000.0,10.84,,,,,10367460.0,,,112519600.0,0.0
1/16/2015,TRUEIF,11.1,11.5,11.1,11.4,2.7,40303600,456279000,862375000,1628012000.0,5551095000.0,10.98,,,,,15502300.0,,,172475000.0,0.0
1/19/2015,TRUEIF,11.5,11.5,11.2,11.3,-0.88,8122300,92066000,919091000,1707694000.0,5486066000.0,11.080000000000002,,,,,16466000.0,,,183818200.0,0.0
1/20/2015,TRUEIF,11.4,11.5,11.2,11.3,0.0,18794701,213447000,1113492000,1751042000.0,5363012000.0,11.2,10.908333333333333,,,,19868960.2,,,222698400.0,0.0
1/21/2015,TRUEIF,11.4,11.5,11.3,11.4,0.88,10075107,114625000,1096360000,1820257000.0,5231151000.0,11.3,10.966666666666667,,,,19448221.6,,,219272000.0,0.0
1/22/2015,TRUEIF,11.3,11.5,11.3,11.5,0.88,9507801,108586000,985003000,1893197000.0,5104479000.0,11.38,11.033333333333333,,,,17360701.8,50.0,50.0,197000600.0,0.0
1/23/2015,TRUEIF,11.5,11.8,11.5,11.8,2.61,18621500,216591000,745315000,2027026000.0,5083805000.0,11.46,11.125,,,,13024281.8,57.14285714285714,53.57142857142857,149063000.0,0.0
