Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TSC,15.6,15.6,15.0,15.1,-3.82,6500,100000,1760000,3568000.0,4439000.0,15.1,,,,,6500.0,,
1/6/2015,TSC,15.1,15.1,15.0,15.0,-0.66,23790,359000,2119000,3775000.0,4798000.0,15.05,,,,,15145.0,,
1/7/2015,TSC,15.0,15.0,14.9,15.0,0.0,8900,133000,1742000,3902000.0,4931000.0,15.033333333333333,,,,,13063.333333333334,,
1/8/2015,TSC,14.9,14.9,14.8,14.9,-0.67,19605,291000,1797000,4164000.0,5222000.0,15.0,,,,,14698.75,,
1/9/2015,TSC,14.7,15.0,14.7,15.0,0.67,3201,48000,931000,3550000.0,5270000.0,15.0,,,,,12399.2,,
1/12/2015,TSC,15.1,15.2,15.1,15.2,1.33,9200,139000,970000,3674000.0,5386000.0,15.02,,,,,12939.2,,
1/13/2015,TSC,15.1,15.2,15.0,15.2,0.0,24800,376000,987000,3609000.0,5746000.0,15.059999999999999,,,,,13141.2,,
1/14/2015,TSC,15.1,15.1,14.9,15.1,-0.66,13500,203000,1057000,3797000.0,5933000.0,15.079999999999998,,,,,14061.2,,
1/15/2015,TSC,15.0,15.2,14.9,15.2,0.66,3808,57000,823000,3366000.0,5977000.0,15.14,,,,,10901.8,,
1/16/2015,TSC,15.2,15.2,14.9,14.9,-1.97,26701,400000,1175000,3766000.0,6362000.0,15.120000000000001,,,,,15601.8,,
1/19/2015,TSC,15.2,15.2,14.9,14.9,0.0,23700,356000,1392000,3612000.0,6718000.0,15.059999999999999,,,,,18501.8,,
1/20/2015,TSC,15.2,15.2,14.9,14.9,0.0,24100,360000,1376000,3736000.0,7076000.0,15.0,15.033333333333333,,,,18361.8,,
1/21/2015,TSC,15.0,15.0,14.9,14.9,0.0,26200,391000,1564000,3213000.0,7223000.0,14.959999999999999,15.016666666666667,,,,20901.8,,
1/22/2015,TSC,14.9,15.0,14.9,14.9,0.0,100200,1498000,3005000,4611000.0,8622000.0,14.9,15.008333333333335,,,,40180.2,21.42857142857143,21.42857142857143
1/23/2015,TSC,14.9,14.9,14.8,14.8,-0.67,95320,1418000,4023000,5670000.0,10025000.0,14.88,14.991666666666669,,,,53904.0,21.42857142857143,21.42857142857143
1/26/2015,TSC,14.6,15.0,14.6,14.9,0.68,25000,371000,4038000,5908000.0,10238000.0,14.88,14.991666666666669,,,,54164.0,28.57142857142857,23.80952380952381
1/27/2015,TSC,14.9,15.0,14.8,14.9,0.0,27403,408000,4086000,6025000.0,10616000.0,14.88,14.983333333333336,,,,54824.6,28.57142857142857,25.0
1/28/2015,TSC,14.9,15.0,14.9,15.0,0.67,34800,519000,4214000,6496000.0,11114000.0,14.9,14.966666666666669,,,,56544.6,35.71428571428572,27.142857142857146
1/29/2015,TSC,15.0,15.0,14.8,14.8,-1.33,106453,1588000,4304000,7945000.0,12608000.0,14.88,14.933333333333335,,,,57795.2,28.57142857142857,28.571428571428573
1/30/2015,TSC,13.9,14.3,13.7,14.0,-5.41,63400,892000,3778000,8461000.0,13414000.0,14.719999999999999,14.841666666666669,,,,51411.2,21.42857142857143,28.571428571428573
2/2/2015,TSC,13.9,13.9,13.8,13.8,-1.43,28000,388000,3795000,8646000.0,13772000.0,14.5,14.725000000000003,,,,52011.2,21.42857142857143,27.142857142857146
2/3/2015,TSC,13.9,14.0,13.7,13.7,-0.72,111200,1543000,4930000,10132000.0,15306000.0,14.26,14.625000000000002,,,,68770.6,21.42857142857143,25.714285714285715
2/4/2015,TSC,14.0,14.4,13.9,13.9,1.46,14900,213000,4624000,9945000.0,15367000.0,14.040000000000001,14.54166666666667,,,,64790.6,21.42857142857143,22.857142857142858
2/5/2015,TSC,14.3,14.4,13.7,13.7,-1.44,28000,391000,3427000,9980000.0,15752000.0,13.819999999999999,14.441666666666665,,,,49100.0,21.42857142857143,21.42857142857143
2/6/2015,TSC,13.7,14.0,13.7,13.7,0.0,5000,69000,2604000,9689000.0,15792000.0,13.76,14.341666666666663,,,,37420.0,21.42857142857143,21.42857142857143
2/9/2015,TSC,13.9,13.9,13.9,13.9,1.46,8300,115000,2331000,9413000.0,15245000.0,13.780000000000001,14.258333333333333,14.665384615384616,-0.40548433048433274,-0.40548433048433274,33480.0,28.57142857142857,22.857142857142858
2/10/2015,TSC,13.8,13.9,13.7,13.9,0.0,21400,294000,1082000,8209000.0,15524000.0,13.819999999999999,14.183333333333332,14.619230769230768,-0.42621082621082707,-0.4158475783475799,15520.0,28.57142857142857,24.285714285714285
2/11/2015,TSC,13.9,13.9,13.8,13.8,-0.72,200,3000,872000,6794000.0,15086000.0,13.8,14.091666666666669,14.573076923076922,-0.4690170940170919,-0.43357075023741726,12580.0,28.57142857142857,25.71428571428571
2/12/2015,TSC,13.8,13.8,13.7,13.7,-0.72,200,3000,484000,6426000.0,15074000.0,13.8,13.991666666666667,14.523076923076921,-0.5153133903133877,-0.45400641025640986,7020.0,28.57142857142857,27.142857142857146
2/13/2015,TSC,13.9,13.9,13.8,13.9,1.46,13100,182000,597000,6200000.0,14768000.0,13.84,13.9,14.484615384615383,-0.5413105413105406,-0.471467236467236,8640.0,28.57142857142857,28.571428571428566
2/16/2015,TSC,14.0,14.0,13.8,13.8,-0.72,5600,78000,560000,5759000.0,14846000.0,13.820000000000002,13.816666666666668,14.438461538461537,-0.5770655270655247,-0.5057834757834744,8100.0,28.57142857142857,28.571428571428566
2/17/2015,TSC,13.7,13.7,13.7,13.7,-0.72,2600,36000,302000,4207000.0,14372000.0,13.780000000000001,13.791666666666666,14.38076923076923,-0.5527777777777789,-0.5310968660968648,4340.0,21.42857142857143,27.142857142857146
2/18/2015,TSC,13.9,13.9,13.9,13.9,1.46,3300,46000,345000,3361000.0,14182000.0,13.800000000000002,13.800000000000002,14.330769230769228,-0.4834757834757806,-0.5339886039886025,4960.0,28.57142857142857,27.142857142857146
2/19/2015,TSC,13.9,13.9,13.8,13.8,-0.72,1200,17000,359000,2990000.0,13285000.0,13.820000000000002,13.808333333333335,14.280769230769229,-0.4381054131054096,-0.5185470085470069,5160.0,28.57142857142857,27.142857142857146
2/20/2015,TSC,15.5,15.5,13.8,13.8,0.0,81100,1213000,1390000,2660000.0,14398000.0,13.8,13.800000000000002,14.226923076923075,-0.395299145299143,-0.4893447293447274,18760.0,28.57142857142857,27.142857142857146
2/23/2015,TSC,13.8,13.8,13.6,13.7,-0.72,16801,230000,1542000,2677000.0,14269000.0,13.780000000000001,13.800000000000002,14.180769230769231,-0.36054131054130956,-0.4460398860398843,21000.2,28.57142857142857,27.142857142857146
2/24/2015,TSC,13.5,13.9,13.5,13.9,1.46,700,10000,1516000,2296000.0,14146000.0,13.820000000000002,13.816666666666668,14.142307692307693,-0.2948717948717938,-0.39445868945868734,20620.2,28.57142857142857,28.571428571428566
2/25/2015,TSC,13.8,13.9,13.8,13.9,0.0,10100,139000,1609000,2366000.0,13994000.0,13.819999999999999,13.816666666666668,14.10384615384615,-0.25925925925925597,-0.3496153846153824,21980.2,28.57142857142857,28.571428571428566
2/27/2015,TSC,13.7,13.8,13.7,13.8,-0.72,700,10000,389000,1967000.0,13817000.0,13.819999999999999,13.808333333333335,14.06153846153846,-0.23511396011395647,-0.30901709401709176,21880.2,28.57142857142857,28.571428571428566
