Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
4/12/2018,TSF-W5,0.02,0.03,0.02,0.02,0.0,13460499,271210,271210,271210.0,271210.0,0.02,,,,,13460499.0,,
4/17/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,29037233,758010,1029220,1029220.0,1029220.0,0.025,,,,,21248866.0,,
4/18/2018,TSF-W5,0.04,0.04,0.04,0.04,33.33,1793409,71740,1100960,1100960.0,1100960.0,0.03,,,,,14763713.666666666,,
4/19/2018,TSF-W5,0.05,0.05,0.03,0.04,0.0,15876000,648280,1749240,1749240.0,1749240.0,0.0325,,,,,15041785.25,,
4/20/2018,TSF-W5,0.04,0.04,0.02,0.04,0.0,20329200,669510,2418750,2418750.0,2418750.0,0.034,,,,,16099268.2,,
4/23/2018,TSF-W5,0.03,0.03,0.02,0.03,-25.0,1622200,48630,2196170,2467380.0,2467380.0,0.036000000000000004,,,,,13731608.4,,
4/24/2018,TSF-W5,0.04,0.04,0.03,0.03,0.0,3005500,98580,1536740,2565960.0,2565960.0,0.036,,,,,8525261.8,,
4/26/2018,TSF-W5,0.04,0.04,0.03,0.03,-25.0,1260100,37900,854620,2603860.0,2603860.0,0.034,,,,,8418600.0,,
4/27/2018,TSF-W5,0.03,0.03,0.02,0.03,0.0,1801300,50730,235840,2654590.0,2654590.0,0.032,,,,,5603660.0,,
4/30/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,2590700,52020,239230,2706610.0,2706610.0,0.03,,,,,2055960.0,,
5/3/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,105100,3150,143800,2709760.0,2709760.0,0.03,,,,,1752540.0,,
5/4/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,8106000,243180,349080,2681730.0,2952940.0,0.03,0.031666666666666676,,,,2772640.0,,
5/7/2018,TSF-W5,0.03,0.04,0.03,0.03,0.0,3409100,102270,400620,2025990.0,3055210.0,0.03,0.03250000000000001,,,,3202440.0,,
5/8/2018,TSF-W5,0.03,0.04,0.03,0.03,0.0,6991700,209750,558350,2164000.0,3264960.0,0.03,0.03250000000000001,,,,4240520.0,14.285714285714292,14.285714285714292
5/9/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,1569900,47100,605450,1562820.0,3312060.0,0.03,0.031666666666666676,,,,4036360.0,14.285714285714292,14.285714285714292
5/10/2018,TSF-W5,0.03,0.04,0.03,0.03,0.0,1022100,30660,632960,923970.0,3342720.0,0.03,0.03083333333333334,,,,4219760.0,7.142857142857139,11.904761904761907
5/11/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,424700,12740,402520,888080.0,3355460.0,0.03,0.03000000000000001,,,,2683500.0,0.0,8.92857142857143
5/14/2018,TSF-W5,0.03,0.04,0.03,0.03,0.0,1590600,47720,347970,837220.0,3403180.0,0.03,0.03000000000000001,,,,2319800.0,0.0,7.142857142857144
5/15/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,974000,29220,167440,866440.0,3432400.0,0.03,0.03000000000000001,,,,1116260.0,0.0,4.2857142857142865
5/16/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,549000,16470,136810,845010.0,3448870.0,0.03,0.03000000000000001,,,,912080.0,0.0,1.4285714285714277
5/17/2018,TSF-W5,0.03,0.04,0.03,0.03,0.0,2422100,72660,178810,866940.0,3521530.0,0.03,0.03000000000000001,,,,1192080.0,0.0,0.0
5/18/2018,TSF-W5,0.04,0.04,0.03,0.03,0.0,300100,9000,175070,823920.0,3530530.0,0.03,0.03000000000000001,,,,1167160.0,0.0,0.0
5/30/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,702000,14060,14060,232530.0,3544590.0,0.03,0.03000000000000001,,,,989440.0,0.0,0.0
6/1/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,700000,21000,35060,210130.0,3565590.0,0.03,0.03000000000000001,,,,934640.0,0.0,0.0
6/5/2018,TSF-W5,0.03,0.03,0.02,0.03,50.0,1009400,20270,55330,153460.0,3585860.0,0.03,0.03000000000000001,,,,1026720.0,7.142857142857139,1.4285714285714277
6/8/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,800100,16000,36270,71330.0,2500900.0,0.03,0.03000000000000001,0.03076923076923079,-0.0007122507122507248,-0.0007122507122507248,702320.0,14.285714285714292,4.2857142857142865
6/14/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,138100,2860,18860,74190.0,1038760.0,0.03,0.03000000000000001,0.031153846153846174,-0.001068376068376082,-0.0008903133903134033,669920.0,14.285714285714292,7.142857142857144
6/18/2018,TSF-W5,0.02,0.02,0.02,0.02,-33.33,630000,12600,15460,72730.0,1013460.0,0.027999999999999997,0.029166666666666674,0.03076923076923079,-0.0022150997150997276,-0.0013319088319088447,655520.0,14.285714285714292,10.000000000000004
6/19/2018,TSF-W5,0.02,0.03,0.02,0.02,0.0,313000,6260,21720,78990.0,968990.0,0.026000000000000002,0.02833333333333334,0.03000000000000002,-0.002207977207977222,-0.001550925925925939,578120.0,14.285714285714292,12.857142857142861
6/20/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,1558300,43670,65390,101660.0,960640.0,0.026000000000000002,0.02833333333333334,0.029615384615384634,-0.0010541310541310675,-0.0014515669515669648,687900.0,21.42857142857143,15.714285714285719
6/22/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,129100,2580,65110,83970.0,960070.0,0.026000000000000002,0.02833333333333334,0.029230769230769248,-0.0006980056980057103,-0.0014487179487179618,553700.0,21.42857142857143,17.142857142857146
6/26/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,591200,11830,14410,79800.0,416700.0,0.026000000000000002,0.028333333333333332,0.029230769230769248,-0.0006980056980057173,-0.001374643874643889,644320.0,21.42857142857143,18.571428571428577
6/29/2018,TSF-W5,0.02,0.02,0.02,0.02,-33.33,410000,8200,20030,88000.0,334400.0,0.026000000000000002,0.027499999999999997,0.02884615384615386,-0.001844729344729363,-0.001300569800569816,600320.0,21.42857142857143,20.000000000000004
7/2/2018,TSF-W5,0.02,0.02,0.02,0.02,0.0,50000,1000,21030,86140.0,287680.0,0.026000000000000002,0.02666666666666667,0.02846153846153848,-0.0021937321937322077,-0.001297720797720813,547720.0,21.42857142857143,21.42857142857143
7/3/2018,TSF-W5,0.02,0.02,0.02,0.02,0.0,1490100,29800,39000,115940.0,288260.0,0.024,0.025833333333333333,0.028076923076923093,-0.0025427350427350594,-0.0015954415954416116,534080.0,21.42857142857143,21.42857142857143
7/4/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,1135200,22710,61710,126050.0,294500.0,0.024,0.025833333333333337,0.028076923076923093,-0.0017450142450142585,-0.0018048433048433211,735300.0,28.57142857142857,22.857142857142858
7/5/2018,TSF-W5,0.03,0.03,0.03,0.03,0.0,288000,8640,70350,128430.0,230480.0,0.024,0.02583333333333333,0.028076923076923093,-0.001745014245014262,-0.00201424501424503,674660.0,28.57142857142857,24.285714285714285
7/6/2018,TSF-W5,0.02,0.02,0.02,0.02,-33.33,775000,15500,77650,100260.0,236980.0,0.024,0.024999999999999998,0.027692307692307707,-0.0028917378917379076,-0.002223646723646739,747660.0,28.57142857142857,25.71428571428571
7/9/2018,TSF-W5,0.03,0.03,0.02,0.02,0.0,76100,1520,78170,101780.0,238500.0,0.024,0.024166666666666666,0.027307692307692324,-0.003240740740740756,-0.002433048433048449,752880.0,21.42857142857143,25.71428571428571
7/10/2018,TSF-W5,0.02,0.02,0.02,0.02,0.0,2000000,40000,88370,139200.0,278500.0,0.024,0.024166666666666666,0.02692307692307694,-0.0028846153846153987,-0.0025014245014245164,854860.0,14.285714285714292,24.285714285714285
7/11/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,2500100,50000,115660,189200.0,328500.0,0.024,0.024999999999999994,0.02692307692307694,-0.0013817663817664028,-0.0024287749287749453,1127840.0,21.42857142857143,22.857142857142858
7/12/2018,TSF-W5,0.02,0.02,0.02,0.02,-33.33,126000,2520,109540,191720.0,331020.0,0.022,0.02416666666666667,0.026538461538461552,-0.0025284900284900415,-0.0025854700854701014,1095440.0,21.42857142857143,21.42857142857143
7/16/2018,TSF-W5,0.02,0.03,0.02,0.02,0.0,2109900,42200,134720,222090.0,359160.0,0.022000000000000002,0.023333333333333334,0.02615384615384617,-0.002877492877492893,-0.0025826210826210986,1362420.0,21.42857142857143,20.000000000000004
7/17/2018,TSF-W5,0.02,0.02,0.02,0.02,0.0,499000,9980,104700,232070.0,369140.0,0.022000000000000002,0.022499999999999996,0.025769230769230784,-0.003226495726495745,-0.002579772079772096,1447000.0,14.285714285714292,18.571428571428577
7/19/2018,TSF-W5,0.02,0.02,0.02,0.02,-33.33,1090100,21800,73980,244670.0,369940.0,0.022000000000000002,0.022499999999999996,0.025384615384615398,-0.0028703703703703877,-0.002576923076923094,1265020.0,14.285714285714292,18.571428571428577
7/20/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,2067300,41350,115330,256220.0,391020.0,0.022,0.02333333333333333,0.025384615384615394,-0.0013675213675213814,-0.0025740740740740897,1178460.0,21.42857142857143,18.571428571428577
7/23/2018,TSF-W5,0.02,0.03,0.02,0.02,-33.33,150200,3000,76130,236510.0,394020.0,0.022,0.023333333333333334,0.02500000000000001,-0.0018091168091168182,-0.002430199430199445,1183300.0,21.42857142857143,18.571428571428577
7/24/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,1790200,35810,101960,263680.0,429830.0,0.024,0.02333333333333333,0.02500000000000001,-0.0010113960113960242,-0.002056980056980071,1119360.0,28.57142857142857,20.000000000000004
7/25/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,1288100,25760,127720,273940.0,439590.0,0.026000000000000002,0.02333333333333333,0.02500000000000001,-0.0010113960113960242,-0.0016139601139601271,1277180.0,28.57142857142857,22.857142857142858
7/26/2018,TSF-W5,0.02,0.03,0.02,0.03,0.0,952200,19040,124960,291460.0,458630.0,0.028000000000000004,0.02416666666666667,0.025000000000000015,-0.0003062678062678188,-0.0011011396011396135,1249600.0,21.42857142857143,24.285714285714285
8/6/2018,TSF-W5,0.01,0.02,0.01,0.02,0.0,674800,11370,11370,168110.0,454540.0,0.026000000000000002,0.02416666666666667,0.024615384615384626,-0.0007478632478632556,-0.0009772079772079883,971100.0,21.42857142857143,24.285714285714285
8/7/2018,TSF-W5,0.02,0.03,0.02,0.02,0.0,376787,7540,18910,165670.0,455820.0,0.026000000000000002,0.02416666666666667,0.02423076923076924,-0.00039173789173789844,-0.0006937321937322043,1016417.4,21.42857142857143,24.285714285714285
8/10/2018,TSF-W5,0.02,0.03,0.02,0.03,50.0,100100,2000,20910,104520.0,411570.0,0.026000000000000002,0.02416666666666667,0.02423076923076924,0.000405982905982899,-0.0004102564102564196,678397.4,28.57142857142857,24.285714285714285
9/12/2018,TSF-W5,0.02,0.02,0.02,0.02,-33.33,1570000,31400,31400,31400.0,132920.0,0.024,0.02416666666666667,0.02423076923076924,-0.00039173789173789844,-0.00028632478632479447,734777.4,28.57142857142857,24.285714285714285
9/14/2018,TSF-W5,0.02,0.02,0.02,0.02,0.0,490000,9800,41200,41200.0,81150.0,0.022000000000000002,0.02416666666666667,0.02423076923076924,-0.00039173789173789844,-0.0003034188034188104,642337.4,21.42857142857143,24.285714285714285
9/18/2018,TSF-W5,0.01,0.01,0.01,0.01,-50.0,5400000,54000,95200,95200.0,116110.0,0.02,0.02333333333333333,0.023461538461538475,-0.0011823361823361973,-0.0003903133903133987,1587377.4,21.42857142857143,24.285714285714285
9/19/2018,TSF-W5,0.01,0.01,0.01,0.01,0.0,711400,7110,70910,102310.0,123220.0,0.018,0.022499999999999996,0.022692307692307703,-0.0011752136752136884,-0.0005470085470085567,1654300.0,21.42857142857143,24.285714285714285
9/20/2018,TSF-W5,0.01,0.01,0.01,0.01,0.0,110000,1100,72010,103410.0,124320.0,0.014000000000000002,0.020833333333333332,0.02192307692307693,-0.0018732193732193814,-0.0010028490028490128,1656280.0,21.42857142857143,22.857142857142858
10/1/2018,TSF-W5,0.01,0.01,0.01,0.01,0.0,1310000,13100,13100,85110.0,116510.0,0.012,0.02,0.021538461538461545,-0.0022222222222222296,-0.0013689458689458791,1604280.0,21.42857142857143,21.42857142857143
