Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TSF,0.46,0.5,0.46,0.47,2.17,46484377,22290000,38018000,144725000.0,741059000.0,0.47,,,,,46484377.0,,
1/6/2015,TSF,0.48,0.48,0.47,0.47,0.0,15147414,7225000,41174000,120760000.0,637396000.0,0.47,,,,,30815895.5,,
1/7/2015,TSF,0.47,0.48,0.44,0.45,-4.26,42818501,19738000,59432000,125953000.0,550879000.0,0.4633333333333333,,,,,34816764.0,,
1/8/2015,TSF,0.46,0.47,0.45,0.46,2.22,34705433,15897000,70853000,121634000.0,547275000.0,0.46249999999999997,,,,,34788931.25,,
1/9/2015,TSF,0.41,0.42,0.4,0.42,-8.7,62877900,25859000,91009000,137637000.0,553107000.0,0.454,,,,,40406725.0,,
1/12/2015,TSF,0.42,0.42,0.41,0.41,-2.38,17124300,7066000,75785000,128633000.0,545946000.0,0.442,,,,,34534709.6,,
1/13/2015,TSF,0.41,0.43,0.41,0.42,2.44,36024133,15113000,83673000,135785000.0,534490000.0,0.43200000000000005,,,,,38710053.4,,
1/14/2015,TSF,0.42,0.43,0.41,0.41,-2.38,19565564,8172000,72107000,140975000.0,530100000.0,0.42400000000000004,,,,,34059466.0,,
1/15/2015,TSF,0.42,0.42,0.41,0.42,2.44,11485037,4769000,60979000,141857000.0,493533000.0,0.41600000000000004,,,,,29415386.8,,
1/16/2015,TSF,0.41,0.42,0.41,0.42,0.0,18272200,7622000,42742000,145410000.0,473248000.0,0.41600000000000004,,,,,20494246.8,,
1/19/2015,TSF,0.42,0.42,0.4,0.41,-2.38,43980888,18049000,53725000,161979000.0,476348000.0,0.41600000000000004,,,,,25865564.4,,
1/20/2015,TSF,0.41,0.41,0.4,0.41,0.0,40143791,16283000,54895000,173786000.0,472596000.0,0.414,0.4308333333333334,,,,26689496.0,,
1/21/2015,TSF,0.41,0.41,0.38,0.39,-4.88,95179483,37523000,84246000,205606000.0,487210000.0,0.41,0.42416666666666664,,,,41812279.8,,
1/22/2015,TSF,0.38,0.39,0.38,0.38,-2.56,41425659,15779000,95256000,199095000.0,489218000.0,0.40199999999999997,0.4166666666666667,,,,47800404.2,28.57142857142857,28.57142857142857
1/23/2015,TSF,0.38,0.39,0.37,0.38,0.0,47704645,18116000,105750000,209986000.0,502391000.0,0.39399999999999996,0.41083333333333333,,,,53686893.2,21.42857142857143,25.0
1/26/2015,TSF,0.38,0.38,0.36,0.37,-2.63,44938899,16701000,104402000,206949000.0,478735000.0,0.386,0.4033333333333334,,,,53878495.4,21.42857142857143,23.80952380952381
1/27/2015,TSF,0.36,0.38,0.36,0.37,0.0,50846586,18824000,106943000,209876000.0,475283000.0,0.378,0.3991666666666667,,,,56019054.4,21.42857142857143,23.214285714285715
1/28/2015,TSF,0.37,0.38,0.37,0.37,0.0,11213262,4185000,73605000,188202000.0,465651000.0,0.374,0.3958333333333333,,,,39225810.2,14.285714285714292,21.42857142857143
1/29/2015,TSF,0.38,0.41,0.37,0.39,5.41,194204658,77683000,135509000,258819000.0,529124000.0,0.37600000000000006,0.3933333333333333,,,,69781610.0,21.42857142857143,20.000000000000004
1/30/2015,TSF,0.41,0.42,0.4,0.41,5.13,102370844,42036000,159429000,285742000.0,564448000.0,0.382,0.3933333333333333,,,,80714849.8,28.57142857142857,21.42857142857143
2/2/2015,TSF,0.42,0.46,0.42,0.44,7.32,216195726,94618000,237346000,372188000.0,633731000.0,0.39599999999999996,0.395,,,,114966215.2,28.57142857142857,22.857142857142858
2/3/2015,TSF,0.44,0.46,0.44,0.45,2.27,101009435,45452000,263974000,412871000.0,661435000.0,0.41200000000000003,0.3975,,,,124998785.0,35.71428571428572,25.714285714285715
2/4/2015,TSF,0.47,0.56,0.46,0.5,11.11,816717342,426325000,686114000,831574000.0,1056570000.0,0.438,0.405,,,,286099601.0,35.71428571428572,30.0
