Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
8/7/2015,TSI-W2,0.5,0.65,0.46,0.52,0.0,76522268,42362000,42362000,42362000.0,42362000.0,0.52,,,,,76522268.0,,,42362000.0,0.0
8/10/2015,TSI-W2,0.52,0.52,0.41,0.43,-17.31,16468045,7487000,49849000,49849000.0,49849000.0,0.475,,,,,46495156.5,,,24924500.0,0.0
8/11/2015,TSI-W2,0.43,0.44,0.36,0.37,-13.95,12294500,5057000,54906000,54906000.0,54906000.0,0.44,,,,,35094937.666666664,,,18302000.0,0.0
8/13/2015,TSI-W2,0.36,0.46,0.33,0.45,21.62,23159100,9685000,64591000,64591000.0,64591000.0,0.4425,,,,,32110978.25,,,16147750.0,0.0
8/14/2015,TSI-W2,0.46,0.48,0.43,0.46,2.22,22607601,10341000,74932000,74932000.0,74932000.0,0.446,,,,,30210302.8,,,14986400.0,0.0
8/17/2015,TSI-W2,0.46,0.51,0.46,0.48,4.35,38844810,19069000,51639000,94001000.0,94001000.0,0.438,,,,,22674811.2,,,10327800.0,0.0
8/18/2015,TSI-W2,0.44,0.48,0.41,0.42,-12.5,12197900,5359000,49511000,99360000.0,99360000.0,0.4360000000000001,,,,,21820782.2,,,9902200.0,0.0
8/19/2015,TSI-W2,0.43,0.46,0.42,0.44,4.76,12594400,5559000,50013000,104919000.0,104919000.0,0.45,,,,,21880762.2,,,10002600.0,0.0
8/20/2015,TSI-W2,0.44,0.49,0.43,0.47,6.82,18835000,8810000,49138000,113729000.0,113729000.0,0.4539999999999999,,,,,21015942.2,,,9827600.0,0.0
8/21/2015,TSI-W2,0.47,0.55,0.46,0.47,0.0,65016601,33037000,71834000,146766000.0,146766000.0,0.456,,,,,29497742.2,,,14366800.0,0.0
8/24/2015,TSI-W2,0.46,0.5,0.38,0.38,-19.15,23459504,10611000,63376000,157377000.0,157377000.0,0.4360000000000001,,,,,26420681.0,,,12675200.0,0.0
8/25/2015,TSI-W2,0.41,0.43,0.37,0.4,5.26,12665801,5045000,63062000,162422000.0,162422000.0,0.43200000000000005,0.44083333333333335,,,,26514261.2,,,12612400.0,0.0
8/26/2015,TSI-W2,0.4,0.44,0.39,0.4,0.0,13504000,5557000,63060000,167979000.0,167979000.0,0.4239999999999999,0.43083333333333335,,,,26696181.2,,,12612000.0,0.0
8/27/2015,TSI-W2,0.42,0.43,0.4,0.4,0.0,12082700,4992000,59242000,130609000.0,172971000.0,0.41,0.4283333333333334,,,,25345721.2,42.857142857142854,42.857142857142854,11848400.0,0.0
8/28/2015,TSI-W2,0.41,0.45,0.4,0.42,5.0,20663540,8801000,35006000,131923000.0,181772000.0,0.4,0.4325,,,,16475109.0,50.0,46.42857142857143,7001200.0,0.0
8/31/2015,TSI-W2,0.42,0.43,0.41,0.41,-2.38,5192700,2183000,26578000,129049000.0,183955000.0,0.406,0.4291666666666665,,,,12821748.2,50.0,47.61904761904761,5315600.0,0.0
9/1/2015,TSI-W2,0.42,0.43,0.36,0.39,-4.88,12231010,4922000,26455000,124286000.0,188877000.0,0.404,0.4233333333333333,,,,12734790.0,50.0,48.214285714285715,5291000.0,0.0
9/2/2015,TSI-W2,0.4,0.4,0.38,0.38,-2.56,2939307,1136000,22034000,115081000.0,190013000.0,0.4,0.415,,,,10621851.4,42.857142857142854,47.14285714285714,4406800.0,0.0
9/3/2015,TSI-W2,0.39,0.41,0.39,0.39,2.63,3609577,1425000,18467000,97437000.0,191438000.0,0.398,0.4124999999999999,,,,8927226.8,42.857142857142854,47.14285714285714,3693400.0,0.0
9/4/2015,TSI-W2,0.39,0.42,0.39,0.39,0.0,10824502,4394000,14060000,96472000.0,195832000.0,0.3920000000000001,0.4083333333333333,,,,6959419.2,35.714285714285715,44.28571428571429,2812000.0,0.0
9/7/2015,TSI-W2,0.4,0.42,0.39,0.4,2.56,7733409,3119000,14996000,94032000.0,198951000.0,0.39,0.4025,,,,7467561.0,42.857142857142854,42.85714285714286,2999200.0,0.0
9/8/2015,TSI-W2,0.42,0.42,0.39,0.4,0.0,4597605,1860000,11934000,87082000.0,200811000.0,0.392,0.3966666666666667,,,,5940880.0,35.714285714285715,40.0,2386800.0,0.0
9/9/2015,TSI-W2,0.4,0.42,0.39,0.39,-2.5,10214100,4151000,14949000,58196000.0,204962000.0,0.394,0.3975,,,,7395838.6,28.57142857142857,37.142857142857146,2989800.0,0.0
9/10/2015,TSI-W2,0.4,0.41,0.39,0.39,0.0,6075100,2391000,15915000,49976000.0,207353000.0,0.394,0.39666666666666667,,,,7888943.2,28.57142857142857,34.285714285714285,3183000.0,0.0
9/11/2015,TSI-W2,0.39,0.41,0.39,0.39,0.0,5685903,2246000,13767000,47177000.0,209599000.0,0.394,0.3958333333333333,,,,6861223.4,28.57142857142857,32.857142857142854,2753400.0,0.0
