Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TSR,6.5,6.5,6.35,6.4,-1.54,121600,782000,13299000,38142000.0,216646000.0,6.4,,,,,121600.0,,,782000.0,0.0
1/6/2015,TSR,6.4,6.45,6.3,6.3,-1.56,103800,658000,9196000,30517000.0,194863000.0,6.35,,,,,112700.0,,,720000.0,0.0
1/7/2015,TSR,6.4,6.55,6.25,6.55,3.97,546142,3502000,11079000,25412000.0,170534000.0,6.416666666666668,,,,,257180.66666666663,,,1647333.333333333,0.0
1/8/2015,TSR,6.5,7.1,6.5,7.05,7.63,2170103,14931000,24487000,38811000.0,162277000.0,6.575,,,,,735411.25,,,4968250.0,0.0
1/9/2015,TSR,7.2,7.4,7.2,7.3,3.55,2481400,18051000,37924000,54970000.0,175091000.0,6.7200000000000015,,,,,1084609.0,,,7584800.0,0.0
1/12/2015,TSR,7.25,7.25,7.0,7.15,-2.05,569538,4072000,41214000,57416000.0,172468000.0,6.87,,,,,1174196.6,,,8242800.0,0.0
1/13/2015,TSR,7.25,7.3,7.1,7.3,2.1,1062401,7714000,48270000,64285000.0,171726000.0,7.0699999999999985,,,,,1365916.8,,,9654000.0,0.0
1/14/2015,TSR,7.35,7.35,7.2,7.3,0.0,491400,3576000,48344000,66776000.0,159548000.0,7.2200000000000015,,,,,1354968.4,,,9668800.0,0.0
1/15/2015,TSR,7.2,7.25,7.05,7.1,-2.74,492200,3518000,36931000,69321000.0,157654000.0,7.229999999999999,,,,,1019387.8,,,7386200.0,0.0
1/16/2015,TSR,7.15,7.35,7.1,7.3,2.82,1228100,8958000,27838000,73518000.0,159976000.0,7.229999999999999,,,,,768727.8,,,5567600.0,0.0
1/19/2015,TSR,7.35,7.35,7.2,7.25,-0.68,165200,1203000,24969000,73102000.0,156450000.0,7.25,,,,,687860.2,,,4993800.0,0.0
1/20/2015,TSR,7.25,7.55,7.25,7.4,2.07,1612600,11927000,29182000,83506000.0,160317000.0,7.27,7.033333333333334,,,,797900.0,,,5836400.0,0.0
1/21/2015,TSR,7.5,7.8,7.45,7.65,3.38,3976000,30385000,55991000,109277000.0,186309000.0,7.339999999999999,7.1375,,,,1494820.0,,,11198200.0,0.0
1/22/2015,TSR,7.7,7.85,7.65,7.8,1.96,2163000,16793000,69266000,125288000.0,197324000.0,7.479999999999999,7.2624999999999975,,,,1828980.0,57.14285714285714,57.14285714285714,13853200.0,0.0
1/23/2015,TSR,7.85,7.85,7.7,7.8,0.0,1383600,10753000,71061000,135383000.0,201677000.0,7.58,7.366666666666667,,,,1860080.0,57.14285714285714,57.14285714285714,14212200.0,0.0
1/26/2015,TSR,7.7,7.75,7.6,7.7,-1.28,2088400,16071000,85929000,147952000.0,213663000.0,7.67,7.420833333333332,,,,2244720.0,57.14285714285714,57.14285714285714,17185800.0,0.0
1/27/2015,TSR,7.7,7.85,7.65,7.85,1.95,1807701,14047000,88049000,147068000.0,226672000.0,7.76,7.466666666666666,,,,2283740.2,57.14285714285714,57.14285714285714,17609800.0,0.0
1/28/2015,TSR,7.85,8.1,7.8,8.0,1.91,3260200,26015000,83679000,155032000.0,249786000.0,7.83,7.537499999999999,,,,2140580.2,57.14285714285714,57.14285714285713,16735800.0,0.0
1/29/2015,TSR,8.0,8.5,8.0,8.4,5.0,10466052,86722000,153608000,237682000.0,333599000.0,7.95,7.629166666666666,,,,3801190.6,57.14285714285714,57.14285714285713,30721600.0,0.0
1/30/2015,TSR,8.55,8.6,8.3,8.4,0.0,1996500,16874000,159729000,246842000.0,344085000.0,8.07,7.720833333333334,,,,3923770.6,57.14285714285714,57.14285714285713,31945800.0,0.0
2/2/2015,TSR,8.3,8.55,8.25,8.55,1.79,1513690,12718000,156376000,255984000.0,349530000.0,8.24,7.841666666666668,,,,3808828.6,57.14285714285714,57.14285714285713,31275200.0,0.0
2/3/2015,TSR,8.65,8.8,8.45,8.45,-1.17,2625900,22667000,164996000,275133000.0,369297000.0,8.36,7.937500000000001,,,,3972468.4,57.14285714285714,57.14285714285713,32999200.0,0.0
2/4/2015,TSR,8.5,8.5,8.15,8.25,-2.37,2302500,19113000,158094000,285288000.0,380127000.0,8.41,8.020833333333334,,,,3780928.4,57.14285714285714,57.14285714285713,31618800.0,0.0
2/5/2015,TSR,8.15,8.55,8.15,8.55,3.64,3327502,28208000,99580000,312293000.0,399728000.0,8.440000000000001,8.116666666666665,,,,2353218.4,57.14285714285714,57.14285714285713,19916000.0,0.0
2/6/2015,TSR,8.6,9.05,8.6,9.0,5.26,9643952,85550000,168256000,385916000.0,483746000.0,8.559999999999999,8.229166666666666,,,,3882708.8,64.28571428571428,58.57142857142857,33651200.0,0.0
2/9/2015,TSR,9.15,10.0,8.9,10.0,11.11,10941653,103838000,259376000,459369000.0,585692000.0,8.85,8.4125,7.723076923076923,0.7649928774928778,0.7649928774928778,5768301.4,64.28571428571428,60.0,51875200.0,0.0
2/10/2015,TSR,10.0,10.1,9.6,9.85,-1.5,4069700,39930000,276639000,482506000.0,623996000.0,9.13,8.583333333333334,7.855769230769233,0.7747150997151007,0.7698539886039892,6057061.4,57.14285714285714,60.0,55327800.0,0.0
2/11/2015,TSR,9.95,10.9,9.95,10.6,7.61,19227658,200477000,458003000,672230000.0,823628000.0,9.6,8.825,8.021153846153847,0.8858974358974354,0.8085351377018046,9442093.0,57.14285714285714,60.0,91600600.0,0.0
2/12/2015,TSR,10.6,10.6,10.0,10.2,-3.77,7133701,72909000,502704000,729068000.0,895452000.0,9.93,9.020833333333332,8.161538461538461,0.8897079772079763,0.8288283475783476,10203332.8,57.14285714285714,60.0,100540800.0,0.0
2/13/2015,TSR,10.1,10.1,9.45,9.6,-5.88,9953000,95655000,512809000,810676000.0,990134000.0,10.05,9.154166666666663,8.259615384615383,0.8638532763532769,0.8358333333333334,10265142.4,57.14285714285714,58.57142857142857,102561800.0,0.0
2/16/2015,TSR,9.5,9.9,9.45,9.9,3.12,1624800,15831000,424802000,800492000.0,1001204000.0,10.03,9.279166666666667,8.359615384615385,0.900961538461539,0.8630270655270657,8401771.8,57.14285714285714,57.14285714285713,84960400.0,0.0
2/17/2015,TSR,9.75,9.85,9.6,9.65,-2.53,900800,8746000,393618000,722516000.0,1008331000.0,9.989999999999998,9.383333333333336,8.455769230769231,0.8801282051282051,0.8841096866096866,7767991.8,50.0,55.71428571428571,78723600.0,0.0
2/18/2015,TSR,9.8,9.95,9.75,9.95,3.11,646600,6373000,199514000,712015000.0,1013181000.0,9.86,9.500000000000002,8.557692307692307,0.9084045584045608,0.8886111111111117,4051780.2,50.0,54.28571428571429,39902800.0,0.0
2/19/2015,TSR,9.95,9.95,9.75,9.8,-1.51,513201,5046000,131651000,704343000.0,1013613000.0,9.779999999999998,9.6125,8.653846153846152,0.9025997150997148,0.8911894586894593,2727680.2,50.0,52.85714285714285,26330200.0,0.0
2/20/2015,TSR,9.9,10.1,9.9,10.1,3.06,1397400,14009000,50005000,695685000.0,1026840000.0,9.88,9.766666666666667,8.76923076923077,0.9501424501424492,0.9084472934472938,1016560.2,50.0,51.42857142857142,10001000.0,0.0
2/23/2015,TSR,10.2,10.4,9.9,10.0,-0.99,1893201,18987000,53161000,695559000.0,1045169000.0,9.9,9.8875,8.87307692307692,0.9482549857549872,0.9179059829059836,1070240.4,50.0,50.0,10632200.0,0.0
2/24/2015,TSR,9.85,10.5,9.8,10.5,5.0,2469100,25212000,69627000,692563000.0,1066879000.0,10.07,10.0125,8.99807692307692,0.9781695156695154,0.9375142450142456,1383900.4,57.14285714285714,51.42857142857142,13925400.0,0.0
2/25/2015,TSR,10.4,10.4,9.95,10.0,-4.76,1105500,11127000,74381000,618140000.0,1063075000.0,10.08,10.0125,9.098076923076922,0.8456908831908834,0.92497150997151,1475680.4,50.0,51.42857142857142,14876200.0,0.0
