Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TSTE,14.2,14.2,14.2,14.2,0.0,2100,30000,150000,595000.0,1829000.0,14.2,,,,,2100.0,,,30000.0,0.0
1/6/2015,TSTE,14.2,14.2,14.2,14.2,0.0,4900,70000,219000,517000.0,1826000.0,14.2,,,,,3500.0,,,50000.0,0.0
1/7/2015,TSTE,14.3,14.3,14.2,14.2,0.0,4040,58000,270000,541000.0,1812000.0,14.199999999999998,,,,,3680.0,,,52666.66666666666,0.0
1/8/2015,TSTE,14.3,14.3,14.3,14.3,0.7,500,7000,274000,534000.0,1647000.0,14.224999999999998,,,,,2885.0,,,41250.0,0.0
1/9/2015,TSTE,14.4,14.6,14.4,14.6,2.1,11901,173000,338000,679000.0,1637000.0,14.299999999999995,,,,,4688.2,,,67600.0,0.0
1/12/2015,TSTE,14.4,14.4,14.4,14.4,-1.37,1400,20000,328000,699000.0,1594000.0,14.34,,,,,4548.2,,,65600.0,0.0
1/13/2015,TSTE,14.6,14.6,14.2,14.5,0.69,24900,361000,619000,1029000.0,1906000.0,14.4,,,,,8548.2,,,123800.0,0.0
1/14/2015,TSTE,14.4,14.4,14.4,14.4,-0.69,2000,29000,590000,894000.0,1895000.0,14.44,,,,,8140.2,,,118000.0,0.0
1/15/2015,TSTE,14.5,14.5,14.5,14.5,0.69,10020,145000,728000,1013000.0,2039000.0,14.48,,,,,10044.2,,,145600.0,0.0
1/16/2015,TSTE,14.5,14.5,14.5,14.5,0.0,3184,46000,601000,1058000.0,2085000.0,14.46,,,,,8300.8,,,120200.0,0.0
1/20/2015,TSTE,14.7,14.7,14.5,14.5,0.0,19400,284000,504000,1332000.0,2362000.0,14.48,,,,,11900.8,,,173000.0,0.0
1/21/2015,TSTE,14.5,14.5,14.5,14.5,0.0,5000,72000,547000,1295000.0,2433000.0,14.48,14.4,,,,7920.8,,,115200.0,0.0
1/22/2015,TSTE,14.6,14.6,14.6,14.6,0.69,3400,50000,452000,1315000.0,2459000.0,14.52,14.433333333333335,,,,8200.8,,,119400.0,0.0
