Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
11/4/2015,TT-W2,0.62,0.62,0.6,0.62,0.0,1727032,1059000,1059000,1059000.0,1059000.0,0.62,,,,,1727032.0,,,1059000.0,0.0
11/5/2015,TT-W2,0.62,0.62,0.59,0.6,-3.23,723700,433000,1492000,1492000.0,1492000.0,0.61,,,,,1225366.0,,,746000.0,0.0
11/6/2015,TT-W2,0.6,0.61,0.6,0.61,1.67,439640,264000,1756000,1756000.0,1756000.0,0.61,,,,,963457.3333333336,,,585333.3333333335,0.0
11/9/2015,TT-W2,0.61,0.61,0.59,0.6,-1.64,621000,372000,2128000,2128000.0,2128000.0,0.6075,,,,,877843.0,,,532000.0,0.0
11/10/2015,TT-W2,0.6,0.6,0.58,0.58,-3.33,1452020,856000,2984000,2984000.0,2984000.0,0.6020000000000001,,,,,992678.4,,,596800.0,0.0
11/11/2015,TT-W2,0.58,0.59,0.52,0.52,-10.34,2088300,1141000,3066000,4125000.0,4125000.0,0.5820000000000001,,,,,1064932.0,,,613200.0,0.0
11/12/2015,TT-W2,0.56,0.57,0.52,0.55,5.77,2971760,1584000,4217000,5709000.0,5709000.0,0.5720000000000001,,,,,1514544.0,,,843400.0,0.0
11/13/2015,TT-W2,0.58,0.58,0.55,0.57,3.64,191800,107000,4060000,5816000.0,5816000.0,0.564,,,,,1464976.0,,,812000.0,0.0
11/14/2015,TT-W2,0.57,0.6,0.54,0.59,3.51,921400,537000,4225000,6353000.0,6353000.0,0.562,,,,,1525056.0,,,845000.0,0.0
11/17/2015,TT-W2,0.6,0.61,0.58,0.6,1.69,377800,225000,3594000,6578000.0,6578000.0,0.5660000000000001,,,,,1310212.0,,,718800.0,0.0
11/18/2015,TT-W2,0.6,0.61,0.58,0.58,-3.33,257725,150000,2603000,6728000.0,6728000.0,0.5780000000000001,,,,,944097.0,,,520600.0,0.0
11/19/2015,TT-W2,0.59,0.61,0.58,0.6,3.45,5221580,3142000,4161000,9870000.0,9870000.0,0.588,0.585,,,,1394061.0,,,832200.0,0.0
11/20/2015,TT-W2,0.6,0.61,0.59,0.61,1.67,1447505,867000,4921000,10737000.0,10737000.0,0.596,0.5841666666666666,,,,1645202.0,,,984200.0,0.0
11/23/2015,TT-W2,0.61,0.63,0.6,0.6,-1.64,4479500,2765000,7149000,12443000.0,13502000.0,0.598,0.5841666666666666,,,,2356822.0,50.0,50.0,1429800.0,0.0
11/24/2015,TT-W2,0.61,0.61,0.59,0.59,-1.67,765500,460000,7384000,12470000.0,13962000.0,0.596,0.5824999999999999,,,,2434362.0,50.0,50.0,1476800.0,0.0
11/25/2015,TT-W2,0.59,0.59,0.58,0.58,-1.69,913400,535000,7769000,12741000.0,14497000.0,0.596,0.5808333333333333,,,,2565497.0,50.0,50.0,1553800.0,0.0
11/26/2015,TT-W2,0.59,0.6,0.59,0.6,3.45,452240,269000,4896000,12638000.0,14766000.0,0.596,0.5824999999999999,,,,1611629.0,50.0,50.0,979200.0,0.0
11/27/2015,TT-W2,0.61,0.61,0.58,0.6,0.0,1057659,626000,4655000,12408000.0,15392000.0,0.5940000000000001,0.5891666666666666,,,,1533659.8,50.0,50.0,931000.0,0.0
11/30/2015,TT-W2,0.59,0.6,0.57,0.59,-1.67,263800,154300,2044300,11421300.0,15546300.0,0.5920000000000001,0.5924999999999999,,,,690519.8,50.0,50.0,408860.0,0.0
12/1/2015,TT-W2,0.59,0.6,0.58,0.58,-1.69,4615110,2727350,4311650,12564650.0,18273650.0,0.59,0.5933333333333333,,,,1460441.8,50.0,50.0,862330.0,0.0
12/2/2015,TT-W2,0.59,0.59,0.57,0.57,-1.72,1478941,857240,4633890,13314890.0,19130890.0,0.588,0.5916666666666666,,,,1573550.0,42.857142857142854,48.57142857142857,926778.0,0.0
12/3/2015,TT-W2,0.57,0.59,0.56,0.58,1.75,13200,7480,4372370,12785370.0,19138370.0,0.584,0.59,,,,1485742.0,42.857142857142854,47.14285714285714,874474.0,0.0
12/4/2015,TT-W2,0.59,0.59,0.57,0.58,0.0,399900,231980,3978350,12792350.0,19370350.0,0.58,0.59,,,,1354190.2,35.714285714285715,44.28571428571429,795670.0,0.0
12/8/2015,TT-W2,0.56,0.58,0.54,0.54,-6.9,2069440,1134250,4958300,13776600.0,20504600.0,0.5700000000000001,0.5850000000000001,,,,1715318.2,28.57142857142857,40.0,991660.0,0.0
12/9/2015,TT-W2,0.52,0.56,0.47,0.49,-9.26,12560760,6488140,8719090,17122740.0,26992740.0,0.5519999999999999,0.5750000000000001,,,,3304448.2,28.57142857142857,35.714285714285715,1743818.0,0.0
12/11/2015,TT-W2,0.5,0.5,0.46,0.48,-2.04,1853200,891730,8753580,17147470.0,27884470.0,0.534,0.5650000000000001,0.5773076923076923,-0.018176638176638168,-0.018176638176638168,3379300.0,21.42857142857143,31.428571428571434,1750716.0,0.0
12/14/2015,TT-W2,0.48,0.48,0.42,0.45,-6.25,3028600,1330950,10077050,15713420.0,29215420.0,0.508,0.5533333333333333,0.5707692307692307,-0.024387464387464308,-0.02128205128205124,3982380.0,14.285714285714292,25.714285714285715,2015410.0,0.0
12/15/2015,TT-W2,0.45,0.49,0.45,0.47,4.44,726800,337400,10182470,15590820.0,29552820.0,0.4859999999999999,0.5441666666666666,0.5657692307692308,-0.0259188034188036,-0.02282763532763536,4047760.0,21.42857142857143,22.857142857142854,2036494.0,0.0
12/16/2015,TT-W2,0.49,0.52,0.48,0.51,8.51,2665700,1355460,10403680,16411280.0,30908280.0,0.48,0.5366666666666666,0.5619230769230771,-0.025512820512820555,-0.023498931623931657,4167012.0,28.57142857142857,22.857142857142854,2080736.0,0.0
12/17/2015,TT-W2,0.51,0.52,0.5,0.52,1.96,1521900,778550,4694090,16920830.0,31686830.0,0.4859999999999999,0.5299999999999999,0.5588461538461538,-0.027507122507122502,-0.024300569800569827,1959240.0,35.714285714285715,24.28571428571429,938818.0,0.0
12/18/2015,TT-W2,0.51,0.51,0.5,0.51,-1.92,139200,70230,3872590,16365060.0,31757060.0,0.4920000000000001,0.5233333333333333,0.5561538461538462,-0.03145299145299152,-0.026955840455840496,1616440.0,28.57142857142857,25.714285714285715,774518.0,0.0
12/21/2015,TT-W2,0.51,0.51,0.48,0.48,-5.88,378700,188570,2730210,16399330.0,31945630.0,0.498,0.515,0.5546153846153845,-0.03947293447293432,-0.029972934472934493,1086460.0,28.57142857142857,28.57142857142857,546042.0,0.0
12/22/2015,TT-W2,0.48,0.48,0.48,0.48,0.0,123680,59360,2452170,13731340.0,32004990.0,0.5,0.5075,0.5519230769230768,-0.0433262108262108,-0.033454415954415936,965836.0,28.57142857142857,30.0,490434.0,0.0
12/23/2015,TT-W2,0.47,0.53,0.47,0.5,4.17,917020,455910,1552620,13330010.0,32460900.0,0.4980000000000001,0.5008333333333334,0.5492307692307693,-0.04487891737891747,-0.03732763532763532,616100.0,35.714285714285715,31.428571428571434,310524.0,0.0
12/24/2015,TT-W2,0.48,0.5,0.48,0.5,0.0,465000,229500,1003570,13552030.0,31631400.0,0.494,0.4941666666666666,0.5457692307692307,-0.04731481481481475,-0.041289173789173766,404720.0,35.714285714285715,31.428571428571434,200714.0,0.0
12/25/2015,TT-W2,0.5,0.5,0.48,0.48,-4.0,28001,13650,946990,13333700.0,31212050.0,0.488,0.4891666666666666,0.5411538461538462,-0.04886752136752154,-0.044772079772079774,382480.2,28.57142857142857,31.428571428571434,189398.0,0.0
12/28/2015,TT-W2,0.48,0.49,0.45,0.48,0.0,412929,192640,951060,12392090.0,31140690.0,0.488,0.4883333333333333,0.5373076923076924,-0.046011396011396144,-0.04607977207977214,389326.0,28.57142857142857,31.428571428571434,190212.0,2.0
12/29/2015,TT-W2,0.48,0.48,0.45,0.46,-4.17,65041,30460,922160,5934410.0,30799150.0,0.484,0.4866666666666668,0.5319230769230769,-0.044031339031338934,-0.04622079772079777,377598.2,28.57142857142857,31.428571428571434,184432.0,0.0
12/30/2015,TT-W2,0.46,0.48,0.46,0.46,0.0,259052,119670,585920,5162350.0,30062820.0,0.476,0.4875,0.5261538461538463,-0.03798433048433058,-0.04484188034188039,246004.6,28.57142857142857,30.0,117184.0,2.0
1/4/2016,TT-W2,0.46,0.46,0.45,0.45,-2.17,60900,27830,384250,3859230.0,28949650.0,0.466,0.4858333333333333,0.5203846153846154,-0.034850427350427426,-0.04234900284900293,165184.6,28.57142857142857,28.57142857142857,76850.0,0.0
1/5/2016,TT-W2,0.45,0.48,0.45,0.47,4.44,1877900,874870,1245470,4396700.0,28240520.0,0.46399999999999997,0.4825,0.5157692307692309,-0.03180199430199443,-0.0389358974358975,535164.4,35.714285714285715,30.0,249094.0,2.0
1/6/2016,TT-W2,0.45,0.47,0.45,0.45,-4.26,12200,5490,1058320,3046730.0,28139010.0,0.458,0.4766666666666666,0.5107692307692309,-0.0337037037037039,-0.03647435897435906,455018.6,28.57142857142857,30.0,211664.0,0.0
1/7/2016,TT-W2,0.45,0.45,0.43,0.44,-2.22,453500,198100,1225960,2466280.0,27800110.0,0.454,0.4708333333333334,0.5046153846153847,-0.03373931623931625,-0.03441595441595452,532710.4,21.42857142857143,28.57142857142857,245192.0,0.0
1/8/2016,TT-W2,0.43,0.45,0.43,0.45,2.27,931005,409030,1515320,2805080.0,27984140.0,0.452,0.4683333333333334,0.4988461538461539,-0.02971509971509967,-0.03276210826210833,667101.0,21.42857142857143,27.142857142857146,303064.0,2.0
1/11/2016,TT-W2,0.45,0.46,0.38,0.43,-4.44,2515540,1074620,2562110,3691130.0,28908760.0,0.44799999999999995,0.4641666666666666,0.4926923076923077,-0.029138176638176583,-0.03161965811965817,1158029.0,21.42857142857143,25.714285714285715,512422.0,2.0
1/12/2016,TT-W2,0.44,0.45,0.43,0.44,2.33,521523,229730,1916970,3861500.0,25996490.0,0.442,0.4591666666666667,0.4873076923076923,-0.02758547008547008,-0.030776353276353294,886753.6,28.57142857142857,24.285714285714285,383394.0,0.0
1/13/2016,TT-W2,0.45,0.47,0.43,0.47,6.82,1389345,636980,2548460,4042570.0,25766470.0,0.446,0.4566666666666666,0.4834615384615385,-0.02374643874643884,-0.028784900284900283,1162182.6,35.714285714285715,25.714285714285715,509692.0,2.0
1/14/2016,TT-W2,0.45,0.45,0.44,0.44,-6.38,476608,210450,2560810,4023520.0,23211920.0,0.446,0.4533333333333334,0.478076923076923,-0.023974358974358845,-0.0268319088319088,1166804.2,28.57142857142857,27.142857142857146,512162.0,0.0
1/15/2016,TT-W2,0.44,0.45,0.43,0.44,0.0,709300,311880,2463660,4321750.0,23063800.0,0.444,0.4500000000000001,0.4726923076923076,-0.02180911680911657,-0.02525071225071218,1122463.2,28.57142857142857,28.57142857142857,492732.0,0.0
1/18/2016,TT-W2,0.44,0.46,0.44,0.46,4.55,197000,89740,1478780,4218850.0,22618540.0,0.45,0.4500000000000001,0.4696153846153845,-0.01736467236467215,-0.02289601139601129,658755.2,35.714285714285715,31.428571428571434,295756.0,0.0
1/19/2016,TT-W2,0.44,0.46,0.44,0.45,-2.17,250680,112540,1361590,4300930.0,22462080.0,0.452,0.4491666666666667,0.46807692307692295,-0.017443019943019774,-0.02086752136752124,604586.6,35.714285714285715,32.85714285714286,272318.0,0.0
1/20/2016,TT-W2,0.43,0.43,0.41,0.43,-4.44,697800,296500,1021110,4477760.0,22132580.0,0.4440000000000001,0.4475,0.4661538461538461,-0.01866809116809115,-0.019851851851851697,466277.6,35.714285714285715,32.85714285714286,204222.0,2.0
1/21/2016,TT-W2,0.41,0.41,0.29,0.32,-25.58,12451200,3989130,4799790,8439060.0,25967410.0,0.42,0.435,0.4611538461538461,-0.03339031339031333,-0.0217350427350426,2861196.0,35.714285714285715,34.285714285714285,959958.0,0.0
