Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TTI,,,,,0.0,67,2000,10000,23000.0,495000.0,,,,,,67.0,,,2000.0,0.0
1/8/2015,TTI,25.25,25.25,25.0,25.0,-16.67,1000,25000,30000,35000.0,520000.0,25.0,,,,,533.5,,,13500.0,0.0
1/13/2015,TTI,25.0,25.0,25.0,25.0,0.0,7000,175000,200000,210000.0,685000.0,25.0,,,,,2689.0,,,67333.33333333331,0.0
1/14/2015,TTI,25.75,25.75,25.75,25.75,3.0,200,5000,205000,215000.0,690000.0,25.25,,,,,2066.75,,,51750.0,0.0
1/15/2015,TTI,29.0,29.0,26.0,26.0,0.97,400,11000,191000,226000.0,701000.0,25.4375,,,,,1733.4,,,43600.0,0.0
1/16/2015,TTI,26.0,26.0,26.0,26.0,0.0,2000,52000,243000,278000.0,743000.0,25.55,,,,,2120.0,,,53600.0,0.0
1/22/2015,TTI,26.0,26.0,26.0,26.0,0.0,13900,361000,413000,629000.0,1102000.0,25.75,,,,,4700.0,,,120800.0,0.0
1/29/2015,TTI,26.0,26.0,26.0,26.0,0.0,201,5000,5000,609000.0,1099000.0,25.95,,,,,3340.2,,,86800.0,0.0
2/10/2015,TTI,26.0,26.0,26.0,26.0,0.0,500,13000,13000,18000.0,657000.0,26.0,,,,,3400.2,,,88400.0,0.0
2/11/2015,TTI,26.0,26.0,26.0,26.0,0.0,9500,247000,260000,265000.0,904000.0,26.0,,,,,5220.2,,,135600.0,0.0
2/12/2015,TTI,26.0,26.0,26.0,26.0,0.0,16400,426000,686000,691000.0,1330000.0,26.0,,,,,8100.2,,,210400.0,0.0
2/13/2015,TTI,26.0,26.0,26.0,26.0,0.0,10000,260000,946000,951000.0,1590000.0,26.0,25.79545454545455,,,,7320.2,,,190200.0,0.0
2/17/2015,TTI,26.25,26.25,26.25,26.25,0.96,500,13000,946000,959000.0,1603000.0,26.05,25.83333333333333,,,,7380.0,,,191800.0,0.0
2/27/2015,TTI,26.0,26.0,26.0,26.0,-0.95,201,5000,5000,951000.0,1573000.0,26.05,25.91666666666667,,,,7320.2,21.42857142857143,21.42857142857143,190200.0,0.0
3/3/2015,TTI,27.0,27.0,26.25,26.25,0.96,21300,575000,580000,853000.0,1968000.0,26.1,26.02083333333333,,,,9680.2,28.57142857142857,25.0,255800.0,0.0
