Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TU-PF,2.2,2.2,2.2,2.2,0.0,1400,3000,8000,105000.0,341000.0,2.2,,,,,1400.0,,
1/8/2015,TU-PF,2.56,2.56,2.2,2.48,12.73,300,1000,4000,89000.0,303000.0,2.34,,,,,850.0,,
1/12/2015,TU-PF,2.22,2.34,2.2,2.24,-9.68,17500,39000,40000,109000.0,334000.0,2.3066666666666666,,,,,6400.0,,
1/20/2015,TU-PF,2.44,2.44,2.32,2.32,-4.92,2300,5000,5000,48000.0,291000.0,2.31,,,,,5375.0,,
1/21/2015,TU-PF,2.3,2.3,2.3,2.3,-0.86,1100,3000,8000,51000.0,275000.0,2.308,,,,,4520.0,,
1/22/2015,TU-PF,2.42,2.42,2.3,2.3,0.0,2300,5000,13000,53000.0,280000.0,2.3280000000000003,,,,,4700.0,,
1/23/2015,TU-PF,2.26,2.34,2.1,2.34,1.74,7200,16000,29000,69000.0,296000.0,2.3,,,,,6080.0,,
1/27/2015,TU-PF,2.14,2.28,2.1,2.26,-3.42,8100,18000,42000,86000.0,314000.0,2.3039999999999994,,,,,4200.0,,
1/28/2015,TU-PF,2.12,2.22,2.12,2.16,-4.42,22300,48000,87000,134000.0,356000.0,2.272,,,,,8200.0,,
2/9/2015,TU-PF,2.2,2.2,2.12,2.12,-10.17,35900,76000,76000,163000.0,299000.0,2.2359999999999998,,,,,15160.0,,
2/10/2015,TU-PF,2.32,2.32,2.32,2.32,9.43,1400,3000,79000,161000.0,283000.0,2.2399999999999998,,,,,14980.0,,
2/11/2015,TU-PF,2.3,2.3,2.16,2.2,-5.17,55300,120000,199000,265000.0,342000.0,2.2119999999999997,2.27,,,,24600.0,,
2/12/2015,TU-PF,2.18,2.28,2.12,2.28,3.64,23200,50000,249000,315000.0,392000.0,2.216,2.276666666666667,,,,27620.0,,
2/16/2015,TU-PF,2.26,2.26,2.12,2.12,-7.02,12300,26000,199000,275000.0,417000.0,2.2079999999999997,2.2466666666666666,,,,25620.0,28.57142857142857,28.57142857142857
2/18/2015,TU-PF,2.14,2.28,2.14,2.24,4.67,500,1000,77000,276000.0,414000.0,2.2319999999999998,2.2466666666666666,,,,18540.0,35.71428571428572,32.142857142857146
2/19/2015,TU-PF,2.22,2.28,2.12,2.28,1.79,104400,222000,249000,498000.0,636000.0,2.2239999999999998,2.2433333333333336,,,,39140.0,35.71428571428572,33.333333333333336
2/20/2015,TU-PF,2.16,2.16,2.14,2.14,-6.14,139500,299000,548000,797000.0,932000.0,2.212,2.2300000000000004,,,,55980.0,35.71428571428572,33.92857142857143
2/23/2015,TU-PF,2.2,2.2,2.14,2.18,1.87,1100,2000,524000,799000.0,934000.0,2.192,2.22,,,,51560.0,42.857142857142854,35.714285714285715
2/24/2015,TU-PF,2.04,2.14,2.0,2.14,-1.83,13300,27000,551000,826000.0,961000.0,2.196,2.203333333333333,,,,51760.0,42.857142857142854,38.57142857142858
2/25/2015,TU-PF,2.12,2.14,2.1,2.1,-1.87,13100,28000,578000,854000.0,988000.0,2.168,2.19,,,,54280.0,42.857142857142854,40.00000000000001
2/26/2015,TU-PF,2.16,2.16,2.1,2.1,0.0,10500,22000,378000,800000.0,1010000.0,2.132,2.185,,,,35500.0,35.71428571428572,40.00000000000001
2/27/2015,TU-PF,2.1,2.1,1.95,2.08,-0.95,277600,555000,634000,1352000.0,1526000.0,2.12,2.1816666666666666,,,,63120.0,35.71428571428572,40.0
3/2/2015,TU-PF,2.08,2.08,2.02,2.02,-2.88,700,1000,633000,1233000.0,1527000.0,2.088,2.1566666666666667,,,,63040.0,35.71428571428572,38.57142857142858
3/3/2015,TU-PF,2.0,2.08,1.98,2.02,0.0,2900,6000,612000,1189000.0,1533000.0,2.064,2.141666666666667,,,,60960.0,35.71428571428572,37.14285714285715
3/5/2015,TU-PF,2.02,2.02,1.98,1.98,-1.98,8000,16000,600000,1205000.0,1549000.0,2.04,2.1166666666666667,,,,59940.0,28.57142857142857,34.28571428571429
3/6/2015,TU-PF,2.02,2.02,1.87,1.88,-5.05,193000,368000,946000,1547000.0,1917000.0,1.996,2.0966666666666662,2.184615384615385,-0.09871794871794926,-0.09871794871794926,96440.0,28.57142857142857,32.857142857142854
3/9/2015,TU-PF,1.83,1.91,1.82,1.87,-0.53,49000,91000,482000,1638000.0,2008000.0,1.954,2.0658333333333334,2.1719230769230773,-0.11385327635327691,-0.10628561253561308,50720.0,21.42857142857143,30.0
3/10/2015,TU-PF,1.86,1.87,1.86,1.86,-0.53,1900,4000,485000,1641000.0,2007000.0,1.922,2.0308333333333333,2.1480769230769234,-0.12218660968660977,-0.11158594491927865,50960.0,21.42857142857143,27.142857142857146
3/11/2015,TU-PF,1.84,2.1,1.77,1.77,-4.84,81300,152000,631000,1571000.0,2156000.0,1.8720000000000003,1.9999999999999998,2.1300000000000003,-0.13871794871794907,-0.11836894586894625,66640.0,14.285714285714292,22.857142857142858
3/12/2015,TU-PF,1.79,1.85,1.79,1.85,4.52,500,1000,616000,1273000.0,2152000.0,1.846,1.9725000000000001,2.1119230769230772,-0.13886752136752123,-0.12246866096866124,65140.0,14.285714285714292,20.000000000000004
3/13/2015,TU-PF,1.79,1.84,1.76,1.79,-3.24,7700,14000,262000,1285000.0,2150000.0,1.828,1.9433333333333334,2.092307692307693,-0.15017094017094101,-0.1327592592592596,28080.0,14.285714285714292,17.142857142857146
3/16/2015,TU-PF,1.76,1.8,1.74,1.74,-2.79,7800,14000,185000,1272000.0,2164000.0,1.802,1.913333333333333,2.070769230769231,-0.15960113960114009,-0.14190883190883224,19840.0,7.142857142857139,14.285714285714288
3/17/2015,TU-PF,1.81,1.81,1.73,1.74,0.0,6800,12000,193000,1256000.0,2158000.0,1.778,1.883333333333333,2.047692307692308,-0.16361823361823435,-0.15019515669515715,20820.0,7.142857142857139,11.42857142857143
3/18/2015,TU-PF,1.78,1.79,1.74,1.77,1.72,21200,37000,78000,1271000.0,2147000.0,1.778,1.8574999999999997,2.028846153846154,-0.16563390313390358,-0.15557834757834804,8800.0,14.285714285714292,11.42857142857143
3/19/2015,TU-PF,1.75,1.78,1.75,1.78,0.56,7100,13000,90000,729000.0,2160000.0,1.764,1.8374999999999997,2.0142307692307697,-0.1682264957264965,-0.1614501424501431,10120.0,21.42857142857143,12.857142857142858
3/20/2015,TU-PF,1.77,1.77,1.77,1.77,-0.56,5200,9000,85000,737000.0,2169000.0,1.7600000000000002,1.8166666666666667,2.0007692307692313,-0.17418803418803486,-0.1662535612535619,9620.0,21.42857142857143,14.285714285714286
3/24/2015,TU-PF,1.75,1.75,1.75,1.75,-1.13,2000,4000,63000,719000.0,2173000.0,1.762,1.7975,1.9788461538461541,-0.17170227920227932,-0.16867378917378972,8460.0,21.42857142857143,17.142857142857146
3/25/2015,TU-PF,1.74,1.74,1.74,1.74,-0.57,3000,5000,31000,356000.0,2178000.0,1.762,1.7858333333333334,1.9611538461538471,-0.1659900284900293,-0.1691481481481487,7700.0,21.42857142857143,20.000000000000004
3/26/2015,TU-PF,1.75,1.77,1.74,1.77,1.72,4129,7000,25000,272000.0,2185000.0,1.762,1.7774999999999999,1.9415384615384623,-0.1524857549857559,-0.16651851851851918,4285.8,28.57142857142857,22.857142857142858
3/27/2015,TU-PF,1.93,1.93,1.73,1.8,1.69,13400,25000,41000,293000.0,2210000.0,1.766,1.7725,1.9292307692307697,-0.14292735042735116,-0.1614586894586901,5545.8,35.71428571428572,25.714285714285715
3/30/2015,TU-PF,1.74,1.89,1.74,1.89,5.0,5600,10000,51000,151000.0,2144000.0,1.7899999999999998,1.7825,1.9157692307692313,-0.11482193732193768,-0.14958547008547068,5625.8,42.857142857142854,30.0
4/1/2015,TU-PF,1.84,1.89,1.84,1.89,1.61,600,1000,48000,151000.0,2142000.0,1.818,1.7858333333333334,1.9007692307692312,-0.09811253561253563,-0.13486752136752195,5345.8,50.0,35.714285714285715
4/2/2015,TU-PF,1.79,1.89,1.78,1.8,-4.76,1200,2000,45000,139000.0,2024000.0,1.83,1.7866666666666668,1.8876923076923076,-0.0924786324786322,-0.12016524216524252,4985.8,50.0,41.42857142857143
4/3/2015,TU-PF,1.8,1.88,1.8,1.88,4.44,2300,4000,42000,129000.0,1978000.0,1.8519999999999999,1.7983333333333336,1.8761538461538463,-0.0655413105413103,-0.1027763532763534,4620.0,50.0,45.714285714285715
4/7/2015,TU-PF,1.88,1.88,1.78,1.84,-2.13,9900,18000,35000,135000.0,1996000.0,1.86,1.8066666666666666,1.8646153846153848,-0.050997150997151186,-0.0843903133903134,3920.0,50.0,48.57142857142857
4/8/2015,TU-PF,1.84,1.85,1.72,1.85,0.54,46600,81000,106000,179000.0,2051000.0,1.8519999999999999,1.8133333333333335,1.8550000000000002,-0.03565527065527063,-0.06855698005698,12120.0,57.14285714285714,51.42857142857142
4/9/2015,TU-PF,1.84,1.84,1.78,1.8,-2.7,4600,8000,113000,174000.0,2059000.0,1.834,1.8150000000000004,1.8434615384615385,-0.027549857549857393,-0.05444444444444434,12920.0,57.14285714285714,52.857142857142854
4/10/2015,TU-PF,1.78,1.84,1.78,1.78,-1.11,7200,13000,124000,178000.0,2071000.0,1.83,1.8158333333333336,1.8319230769230768,-0.017756410256409838,-0.03949999999999987,14120.0,50.0,52.857142857142854
4/16/2015,TU-PF,1.82,1.82,1.82,1.82,2.25,2500,5000,125000,183000.0,1854000.0,1.818,1.821666666666667,1.8242307692307693,-0.0025071225071220393,-0.026893162393162216,14160.0,50.0,52.857142857142854
4/17/2015,TU-PF,1.83,1.83,1.83,1.83,0.55,1100,2000,109000,181000.0,1557000.0,1.8160000000000003,1.8291666666666668,1.816923076923077,0.011403133903133966,-0.014413105413105188,12400.0,57.14285714285714,54.28571428571429
4/20/2015,TU-PF,1.84,1.89,1.84,1.88,2.73,1300,2000,30000,178000.0,1557000.0,1.8219999999999998,1.8383333333333332,1.8130769230769235,0.02670940170940117,-0.0019401709401708268,3340.0,64.28571428571428,55.71428571428571
4/21/2015,TU-PF,1.82,1.87,1.81,1.87,-0.53,1900,3000,25000,174000.0,1533000.0,1.8359999999999999,1.844166666666667,1.8126923076923078,0.031203703703703844,0.009810541310541421,2800.0,64.28571428571428,57.14285714285713
4/22/2015,TU-PF,1.89,1.89,1.88,1.89,1.07,400,1000,13000,150000.0,1506000.0,1.858,1.844166666666667,1.8134615384615385,0.03208689458689462,0.019779202279202313,1440.0,64.28571428571428,60.0
4/23/2015,TU-PF,1.84,1.98,1.84,1.87,-1.06,6400,12000,20000,152000.0,1496000.0,1.8679999999999999,1.8425000000000002,1.8138461538461537,0.02872507122507173,0.026025641025641068,2220.0,57.14285714285714,61.42857142857142
4/24/2015,TU-PF,1.92,1.93,1.89,1.91,2.14,4300,8000,26000,159000.0,949000.0,1.884,1.8516666666666668,1.8192307692307692,0.03468660968660964,0.0306823361823362,2860.0,57.14285714285714,61.42857142857142
4/27/2015,TU-PF,1.85,1.93,1.72,1.93,1.05,79200,137000,161000,294000.0,1085000.0,1.8940000000000001,1.8558333333333337,1.8223076923076922,0.036958689458689964,0.03273219373219396,18440.0,57.14285714285714,60.0
4/28/2015,TU-PF,1.79,1.91,1.73,1.91,-1.04,89700,156000,314000,446000.0,1235000.0,1.902,1.861666666666667,1.8269230769230766,0.03602564102564165,0.03369658119658152,36000.0,57.14285714285714,58.57142857142857
4/30/2015,TU-PF,1.74,1.74,1.74,1.74,-8.9,1000,2000,303000,349000.0,853000.0,1.8719999999999999,1.8525,1.8269230769230769,0.014707977207977452,0.03022079772079809,36120.0,50.0,55.71428571428571
5/6/2015,TU-PF,1.85,1.85,1.76,1.83,5.17,4400,8000,303000,349000.0,770000.0,1.864,1.8549999999999998,1.8303846153846153,0.020797720797720798,0.0286353276353279,35720.0,57.14285714285714,55.71428571428571
5/7/2015,TU-PF,1.76,1.85,1.74,1.83,0.0,29300,52000,218000,388000.0,818000.0,1.848,1.8591666666666662,1.8326923076923074,0.02218660968660946,0.026135327635327867,40720.0,50.0,54.28571428571429
5/12/2015,TU-PF,1.8,1.8,1.8,1.8,-1.64,1400,3000,63000,382000.0,654000.0,1.8220000000000003,1.8574999999999997,1.8334615384615383,0.017670940170940064,0.022277777777777886,25160.0,50.0,52.857142857142854
5/13/2015,TU-PF,1.8,1.84,1.78,1.78,-1.11,5900,11000,66000,390000.0,651000.0,1.796,1.8533333333333333,1.8338461538461535,0.012193732193732432,0.017511396011396042,8400.0,50.0,51.42857142857142
5/14/2015,TU-PF,1.72,1.79,1.72,1.79,0.56,1300,2000,16000,391000.0,641000.0,1.8060000000000003,1.8458333333333334,1.8353846153846154,0.005220797720797643,0.015613960113960079,8460.0,50.0,51.42857142857142
5/15/2015,TU-PF,1.84,1.84,1.84,1.84,2.79,400,1000,17000,380000.0,605000.0,1.8080000000000003,1.8433333333333335,1.8392307692307692,0.00353276353276355,0.01216096866096863,7660.0,50.0,50.0
5/22/2015,TU-PF,1.76,1.8,1.76,1.8,-1.1,300,1000,1000,78000.0,575000.0,1.802,1.8358333333333334,1.840384615384615,-0.00707264957264897,0.006309116809116944,1860.0,42.857142857142854,48.57142857142857
5/25/2015,TU-PF,1.76,1.76,1.76,1.76,-2.22,400,1000,2000,71000.0,569000.0,1.794,1.8266666666666669,1.8388461538461536,-0.01659544159544124,-0.0005441595441593172,1660.0,42.857142857142854,47.142857142857146
5/26/2015,TU-PF,1.84,1.84,1.74,1.82,3.41,4800,8000,10000,27000.0,552000.0,1.802,1.8191666666666668,1.836153846153846,-0.015662393162392707,-0.006115384615384345,1440.0,42.857142857142854,45.714285714285715
5/27/2015,TU-PF,1.85,1.85,1.85,1.85,1.65,400,1000,11000,28000.0,543000.0,1.814,1.8125000000000002,1.8346153846153845,-0.017485754985754776,-0.010656695156694828,1260.0,50.0,45.714285714285715
5/28/2015,TU-PF,1.75,1.78,1.72,1.78,-3.78,9200,16000,27000,44000.0,558000.0,1.802,1.801666666666667,1.833846153846154,-0.03152421652421644,-0.017668091168090826,3020.0,42.857142857142854,44.285714285714285
5/29/2015,TU-PF,1.76,1.78,1.73,1.78,0.0,1600,3000,29000,44000.0,559000.0,1.798,1.8050000000000004,1.8299999999999998,-0.025142450142449757,-0.021282051282050983,3280.0,35.71428571428572,42.85714285714286
6/4/2015,TU-PF,1.76,1.76,1.76,1.76,0.57,5000,9000,28000,39000.0,465000.0,1.798,1.7991666666666672,1.826923076923077,-0.02882478632478591,-0.02372792022791992,4200.0,42.857142857142854,42.85714285714286
6/5/2015,TU-PF,1.78,1.78,1.77,1.77,0.57,9000,16000,28000,55000.0,473000.0,1.7879999999999998,1.7941666666666667,1.823846153846154,-0.029408831908831923,-0.026477207977207762,5040.0,50.0,44.28571428571429
6/10/2015,TU-PF,1.75,1.75,1.75,1.75,-2.78,500,1000,26000,56000.0,454000.0,1.768,1.79,1.8219230769230768,-0.032749287749287204,-0.02952991452991425,5060.0,42.857142857142854,42.85714285714286
6/12/2015,TU-PF,1.74,1.74,1.74,1.74,-3.33,6200,11000,12000,65000.0,460000.0,1.7600000000000002,1.7866666666666664,1.8203846153846155,-0.03494301994302029,-0.030213675213675018,4460.0,42.857142857142854,42.85714285714286
6/15/2015,TU-PF,1.79,2.02,1.79,2.0,14.94,14900,27000,39000,84000.0,486000.0,1.8039999999999998,1.8041666666666665,1.8273076923076925,-0.005804843304843654,-0.026346153846153797,7120.0,50.0,45.714285714285715
6/16/2015,TU-PF,1.85,1.85,1.79,1.79,-10.5,7402,13000,52000,96000.0,487000.0,1.81,1.7999999999999998,1.825769230769231,-0.024658119658120148,-0.025512820512820646,7600.4,50.0,47.142857142857146
6/17/2015,TU-PF,1.8,1.84,1.79,1.84,2.79,9400,17000,68000,97000.0,496000.0,1.8240000000000003,1.803333333333333,1.8242307692307698,-0.016424501424502136,-0.022915954415954686,7680.4,50.0,47.142857142857146
6/18/2015,TU-PF,1.79,1.8,1.75,1.8,-2.17,60600,107000,175000,201000.0,466000.0,1.834,1.8066666666666666,1.8215384615384618,-0.014301994301994414,-0.01922649572649613,19700.4,42.857142857142854,47.142857142857146
6/19/2015,TU-PF,1.76,1.76,1.76,1.76,-2.22,4800,8000,172000,209000.0,318000.0,1.8379999999999999,1.8016666666666667,1.8165384615384619,-0.017094017094017477,-0.015656695156695564,19420.4,42.857142857142854,47.142857142857146
6/22/2015,TU-PF,1.99,2.0,1.82,1.82,3.41,13100,25000,170000,234000.0,343000.0,1.802,1.799166666666667,1.814615384615385,-0.012642450142450024,-0.01702421652421684,19060.4,50.0,47.142857142857146
6/23/2015,TU-PF,1.96,1.96,1.76,1.87,2.75,12000,21000,178000,246000.0,362000.0,1.818,1.8066666666666669,1.8130769230769235,-0.0008831908831909985,-0.01226923076923101,19980.0,50.0,47.142857142857146
6/24/2015,TU-PF,1.84,1.91,1.82,1.83,-2.14,546600,1006000,1167000,1236000.0,1360000.0,1.816,1.8108333333333337,1.8092307692307692,0.003012820512820591,-0.008381766381766464,127420.0,42.857142857142854,45.714285714285715
6/25/2015,TU-PF,1.79,1.86,1.76,1.86,1.64,70200,124000,1184000,1360000.0,1432000.0,1.828,1.8191666666666666,1.807307692307692,0.014237891737892028,-0.002673789173789176,129340.0,50.0,47.142857142857146
6/26/2015,TU-PF,1.78,1.91,1.78,1.78,-4.3,10400,19000,1195000,1379000.0,1451000.0,1.832,1.8200000000000003,1.808846153846154,0.007136752136752245,0.0021723646723647684,130460.0,50.0,48.57142857142857
6/29/2015,TU-PF,1.78,1.78,1.77,1.77,-0.56,9500,17000,1187000,1395000.0,1468000.0,1.8220000000000003,1.821666666666667,1.8065384615384614,0.00988603988604031,0.006678062678062835,129740.0,42.857142857142854,47.142857142857146
6/30/2015,TU-PF,1.8,1.8,1.77,1.77,0.0,3200,6000,1172000,1401000.0,1471000.0,1.802,1.8241666666666667,1.804230769230769,0.014138176638176736,0.009682336182336382,127980.0,35.71428571428572,44.28571428571429
7/2/2015,TU-PF,1.76,1.79,1.76,1.79,1.13,4700,8000,174000,1398000.0,1468000.0,1.7939999999999998,1.8066666666666664,1.8038461538461539,0.0012820512820510555,0.009336182336182474,19600.0,42.857142857142854,44.28571428571429
7/3/2015,TU-PF,1.77,1.77,1.77,1.77,-1.12,600,1000,51000,1372000.0,1467000.0,1.7760000000000002,1.8049999999999997,1.8034615384615384,-0.001367521367521718,0.006215099715099726,5680.0,42.857142857142854,42.85714285714286
7/6/2015,TU-PF,1.78,1.8,1.77,1.79,1.13,4300,8000,40000,1367000.0,1474000.0,1.778,1.800833333333333,1.8034615384615387,-0.003297720797721393,0.004128205128204998,4460.0,42.857142857142854,41.42857142857143
7/7/2015,TU-PF,1.78,1.78,1.72,1.72,-3.91,66400,116000,139000,1466000.0,1590000.0,1.768,1.7941666666666665,1.7988461538461542,-0.010249287749288127,0.00010113960113931065,15840.0,42.857142857142854,41.42857142857143
7/8/2015,TU-PF,1.79,1.8,1.79,1.8,4.65,1300,2000,135000,1361000.0,1592000.0,1.7739999999999998,1.7974999999999997,1.798846153846154,-0.0010470085470088986,-0.0029358974358978164,15460.0,42.857142857142854,42.857142857142854
7/9/2015,TU-PF,1.77,1.77,1.77,1.77,-1.67,2500,4000,131000,1357000.0,1596000.0,1.77,1.7933333333333332,1.7992307692307696,-0.007321937321937977,-0.004656695156695622,15020.0,42.857142857142854,42.857142857142854
7/13/2015,TU-PF,1.79,1.79,1.74,1.74,-2.79,11800,21000,143000,1332000.0,1616000.0,1.764,1.7824999999999998,1.7961538461538464,-0.01603276353276395,-0.007589743589744069,17260.0,42.857142857142854,42.857142857142854
