Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TUF,22.7,22.8,21.8,22.0,-2.78,10961954,243170000,1158040000,5463137000.0,19354692000.0,22.0,,,,,10961954.0,,
1/6/2015,TUF,21.8,22.0,20.9,21.2,-3.64,18617214,395254000,1443768000,5230008000.0,19414246000.0,21.6,,,,,14789584.0,,
1/7/2015,TUF,21.5,22.1,21.4,21.6,1.89,34908468,758022000,1979975000,5491008000.0,19881919000.0,21.600000000000005,,,,,21495878.666666668,,
1/8/2015,TUF,22.0,22.2,21.9,22.1,2.31,15192807,335257000,2102283000,5155033000.0,19594577000.0,21.725,,,,,19920110.75,,
1/9/2015,TUF,22.5,22.5,21.9,21.9,-0.9,18100706,400705000,2132408000,5150202000.0,19729741000.0,21.76,,,,,19556229.8,,
1/12/2015,TUF,21.7,21.9,21.1,21.1,-3.65,19153528,411794000,2301032000,4707559000.0,19408113000.0,21.580000000000002,,,,,21194544.6,,
1/13/2015,TUF,21.1,21.8,21.0,21.6,2.37,11019042,237944000,2143722000,4323362000.0,18657954000.0,21.659999999999997,,,,,19674910.2,,
1/14/2015,TUF,21.9,22.5,21.7,21.7,0.46,31113549,688309000,2074009000,4594082000.0,18618780000.0,21.68,,,,,18915926.4,,
1/15/2015,TUF,21.7,22.7,21.7,22.4,3.23,14682355,328427000,2067179000,4713752000.0,18162987000.0,21.74,,,,,18813836.0,,
1/16/2015,TUF,22.5,22.8,22.2,22.4,0.0,18378180,413834000,2080308000,5018060000.0,17946221000.0,21.840000000000003,,,,,18869330.8,,
1/19/2015,TUF,21.6,22.5,21.5,22.1,-1.34,12451776,275347000,1943861000,5071592000.0,14789774000.0,22.04,,,,,17528980.4,,
1/20/2015,TUF,22.2,22.5,21.9,21.9,-0.9,13040576,288740000,1994657000,5147383000.0,14770545000.0,22.1,21.833333333333332,,,,17933287.2,,
1/21/2015,TUF,22.3,22.3,21.9,22.0,0.46,11353680,250694000,1557042000,5027497000.0,14711227000.0,22.160000000000004,21.833333333333332,,,,13981313.4,,
1/22/2015,TUF,22.1,22.3,21.9,22.1,0.45,15040724,332713000,1561328000,5117040000.0,14702039000.0,22.1,21.90833333333333,,,,14052987.2,50.0,50.0
1/23/2015,TUF,22.2,22.3,22.0,22.1,0.0,10892588,241187000,1388681000,4962973000.0,14468180000.0,22.04,21.95,,,,12555868.8,50.0,50.0
1/26/2015,TUF,22.1,22.4,22.0,22.0,-0.45,14415858,319602000,1432936000,4524553000.0,14430704000.0,22.02,21.941666666666663,,,,12948685.2,50.0,50.0
1/27/2015,TUF,22.2,22.2,21.9,22.1,0.45,8146054,179617000,1323813000,4368913000.0,13955326000.0,22.060000000000002,21.958333333333332,,,,11969780.8,50.0,50.0
1/28/2015,TUF,22.3,22.4,22.0,22.1,0.0,10041303,223109000,1296228000,4191317000.0,13847145000.0,22.080000000000002,22.041666666666668,,,,11707305.4,42.857142857142854,48.57142857142857
1/29/2015,TUF,22.0,22.1,21.9,22.0,-0.45,6246577,137472000,1100987000,3916995000.0,13339524000.0,22.060000000000002,22.075,,,,9948476.0,42.857142857142854,47.142857142857146
1/30/2015,TUF,22.1,22.2,21.6,21.8,-0.91,9297496,203228000,1063028000,3882279000.0,13075386000.0,22.0,22.083333333333332,,,,9629457.6,42.857142857142854,45.714285714285715
2/2/2015,TUF,21.7,21.9,21.5,21.8,0.0,6947258,150681000,894107000,3344651000.0,12389935000.0,21.96,22.03333333333333,,,,8135737.6,35.71428571428572,42.85714285714286
2/3/2015,TUF,22.0,22.0,21.7,21.9,0.46,9705826,212024000,926514000,3228248000.0,12247097000.0,21.919999999999998,21.991666666666664,,,,8447692.0,35.71428571428572,40.0
2/4/2015,TUF,22.0,22.0,21.5,21.5,-1.83,5870688,127733000,831138000,2942147000.0,11746447000.0,21.8,21.941666666666666,,,,7613569.0,28.57142857142857,37.142857142857146
2/5/2015,TUF,21.7,21.8,21.1,21.6,0.47,15263980,326129000,1019795000,2992929000.0,11575554000.0,21.72,21.91666666666667,,,,9417049.6,35.71428571428572,35.71428571428572
2/6/2015,TUF,21.7,22.0,21.6,21.9,1.39,16464331,358756000,1175323000,3062945000.0,11263078000.0,21.740000000000002,21.908333333333335,,,,10850416.6,42.857142857142854,35.714285714285715
2/9/2015,TUF,21.9,21.9,21.5,21.7,-0.91,8583823,186103000,1210745000,2998354000.0,11043645000.0,21.720000000000002,21.875000000000004,21.869230769230775,-0.008618233618239657,-0.008618233618239657,11177729.6,42.857142857142854,37.142857142857146
2/10/2015,TUF,21.4,22.0,21.4,21.8,0.46,15126682,326899000,1325620000,2992540000.0,10516107000.0,21.7,21.849999999999998,21.861538461538466,-0.01467236467237143,-0.011645299145305543,12261900.8,42.857142857142854,38.57142857142857
2/11/2015,TUF,21.9,22.6,21.8,22.5,3.21,36703310,815110000,2012997000,3566463000.0,10709076000.0,21.9,21.891666666666666,21.911538461538463,0.03012820512820369,0.002279202279197534,18428425.2,42.857142857142854,41.42857142857143
2/12/2015,TUF,22.7,23.5,22.5,22.8,1.33,65547907,1514185000,3201053000,4761046000.0,11805672000.0,22.139999999999997,21.95,21.957692307692305,0.060683760683762245,0.016880341880338712,28485210.6,50.0,44.285714285714285
2/13/2015,TUF,23.0,23.1,22.8,23.0,0.88,13851018,317460000,3159757000,4898889000.0,11914375000.0,22.36,22.025000000000002,21.99230769230769,0.1080484330484417,0.03511396011395931,27962548.0,57.14285714285714,47.14285714285714
2/16/2015,TUF,23.2,23.2,22.7,22.7,-1.3,2556286,58311000,3031965000,4734091000.0,11863160000.0,22.56,22.083333333333332,22.023076923076925,0.10498575498575491,0.05783475783475822,26757040.6,50.0,48.57142857142857
2/17/2015,TUF,22.6,22.7,21.7,21.9,-3.52,10690160,234946000,2940012000,4831565000.0,11876291000.0,22.580000000000002,22.09166666666667,22.053846153846152,0.0197293447293454,0.06471509971510159,25869736.2,50.0,50.0
2/18/2015,TUF,21.9,22.2,21.9,22.2,1.37,2515900,55417000,2180319000,4683754000.0,11718759000.0,22.520000000000003,22.125,22.076923076923077,0.05049857549857606,0.06878917378917607,19032254.2,57.14285714285714,52.857142857142854
2/19/2015,TUF,22.4,22.4,22.1,22.1,-0.45,2358203,52288000,718422000,4585361000.0,11400467000.0,22.380000000000003,22.141666666666666,22.092307692307696,0.042378917378915304,0.06512820512820668,6394313.4,57.14285714285714,54.28571428571429
2/20/2015,TUF,22.2,22.4,22.0,22.2,0.45,3800422,84550000,485512000,4457887000.0,11241847000.0,22.220000000000002,22.2,22.084615384615386,0.10683760683760823,0.06488603988603998,4384194.2,64.28571428571428,55.71428571428571
2/23/2015,TUF,22.3,22.7,22.2,22.7,2.25,14103133,317747000,744948000,4647901000.0,11164340000.0,22.22,22.29166666666666,22.096153846153847,0.21360398860398178,0.08660968660968535,6693563.6,64.28571428571428,58.57142857142857
2/24/2015,TUF,22.7,22.7,22.4,22.4,-1.32,13732093,309596000,819598000,4631368000.0,10715914000.0,22.32,22.33333333333333,22.10769230769231,0.21424501424500875,0.12551282051281804,7301950.2,64.28571428571428,61.42857142857142
2/25/2015,TUF,22.5,22.5,22.0,22.1,-1.34,8860159,196686000,960867000,4469298000.0,10577343000.0,22.3,22.366666666666664,22.115384615384617,0.21139601139601183,0.1576923076923052,8570802.0,57.14285714285714,61.42857142857142
2/26/2015,TUF,22.0,22.2,21.8,22.1,0.0,6888411,151614000,1060193000,4434809000.0,10328252000.0,22.3,22.391666666666666,22.11923076923077,0.22898860398860066,0.19501424501424225,9476843.6,50.0,60.0
