Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TVO,21.5,21.5,21.2,21.2,-0.47,340600,7252000,24367000,106520000.0,323127000.0,21.2,,,,,340600.0,,
1/6/2015,TVO,21.2,21.5,21.1,21.5,1.42,373800,7919000,29292000,90636000.0,320536000.0,21.35,,,,,357200.0,,
1/7/2015,TVO,21.4,21.5,21.2,21.3,-0.93,336300,7178000,34577000,82429000.0,318942000.0,21.333333333333332,,,,,350233.3333333333,,
1/8/2015,TVO,21.5,21.5,21.3,21.5,0.94,261826,5597000,38848000,69495000.0,310297000.0,21.375,,,,,328131.5,,
1/9/2015,TVO,21.3,21.5,21.3,21.4,-0.47,183401,3916000,31862000,64510000.0,306047000.0,21.380000000000003,,,,,299185.4,,
1/12/2015,TVO,21.5,21.5,21.4,21.5,0.47,72400,1555000,26165000,61469000.0,301861000.0,21.439999999999998,,,,,245545.4,,
1/13/2015,TVO,21.4,21.5,21.3,21.5,0.0,228500,4894000,23140000,62044000.0,298012000.0,21.439999999999998,,,,,216485.4,,
1/14/2015,TVO,21.5,21.6,21.4,21.6,0.47,233000,5012000,20974000,63367000.0,295305000.0,21.5,,,,,195825.4,,
1/15/2015,TVO,21.7,21.7,21.4,21.6,0.0,226500,4876000,20253000,65314000.0,296459000.0,21.52,,,,,188760.2,,
1/16/2015,TVO,21.5,21.6,21.4,21.6,0.0,99000,2130000,18467000,64450000.0,291239000.0,21.559999999999995,,,,,171880.0,,
1/19/2015,TVO,21.6,21.6,21.4,21.5,-0.46,24905,536000,17448000,63093000.0,286029000.0,21.560000000000002,,,,,162381.0,,
1/20/2015,TVO,21.5,21.7,21.5,21.7,0.93,201800,4367000,16921000,66134000.0,283106000.0,21.6,21.491666666666664,,,,157041.0,,
1/21/2015,TVO,21.8,21.9,21.7,21.9,0.92,122984,2683000,14592000,57915000.0,274522000.0,21.660000000000004,21.549999999999997,,,,135037.8,,
1/22/2015,TVO,22.0,22.3,21.9,22.2,1.37,384438,8502000,18218000,59165000.0,279403000.0,21.779999999999998,21.60833333333333,,,,166625.4,50.0,50.0
