Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TWZ-W3,0.38,0.38,0.37,0.38,0.0,1418100,538000,3729000,26669000.0,103987000.0,0.38,,,,,1418100.0,,
1/6/2015,TWZ-W3,0.37,0.38,0.36,0.38,0.0,1853300,688000,3096000,21792000.0,96055000.0,0.38,,,,,1635700.0,,
1/7/2015,TWZ-W3,0.37,0.38,0.37,0.37,-2.63,1740800,644000,3544000,16680000.0,82994000.0,0.37666666666666665,,,,,1670733.3333333333,,
1/8/2015,TWZ-W3,0.37,0.38,0.37,0.37,0.0,489700,183000,2504000,15548000.0,77220000.0,0.375,,,,,1375475.0,,
1/9/2015,TWZ-W3,0.37,0.37,0.35,0.36,-2.7,6919300,2464000,4517000,15139000.0,77321000.0,0.372,,,,,2484240.0,,
1/12/2015,TWZ-W3,0.36,0.36,0.34,0.35,-2.78,5285600,1842000,5821000,14417000.0,75336000.0,0.366,,,,,3257740.0,,
1/13/2015,TWZ-W3,0.35,0.36,0.34,0.35,0.0,4317400,1501000,6634000,12971000.0,73759000.0,0.36000000000000004,,,,,3750560.0,,
1/14/2015,TWZ-W3,0.36,0.36,0.35,0.35,0.0,2251820,803000,6793000,12697000.0,72679000.0,0.35600000000000004,,,,,3852764.0,,
1/15/2015,TWZ-W3,0.35,0.36,0.35,0.36,2.86,853366,299000,6909000,12153000.0,67729000.0,0.354,,,,,3925497.2,,
1/16/2015,TWZ-W3,0.35,0.36,0.34,0.35,-2.78,3677566,1263000,5708000,12095000.0,64947000.0,0.352,,,,,3277150.4,,
1/19/2015,TWZ-W3,0.35,0.35,0.34,0.35,0.0,893003,312000,4178000,12211000.0,58817000.0,0.35200000000000004,,,,,2398631.0,,
1/20/2015,TWZ-W3,0.35,0.35,0.33,0.35,0.0,4755500,1628000,4305000,12616000.0,55741000.0,0.35200000000000004,0.36000000000000004,,,,2486251.0,,
