Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,UKEM,1.32,1.33,1.32,1.33,0.76,361600,479000,4621000,27463000.0,332211000.0,1.33,,,,,361600.0,,,479000.0,0.0
1/6/2015,UKEM,1.34,1.34,1.31,1.33,0.0,744000,985000,4366000,21031000.0,325236000.0,1.33,,,,,552800.0,,,732000.0,0.0
1/7/2015,UKEM,1.33,1.37,1.32,1.34,0.75,3118700,4199000,7340000,23510000.0,231102000.0,1.3333333333333333,,,,,1408100.0,,,1887666.666666667,0.0
1/8/2015,UKEM,1.35,1.37,1.35,1.35,0.75,1683000,2281000,8227000,23535000.0,210074000.0,1.3375,,,,,1476825.0,,,1986000.0,0.0
1/9/2015,UKEM,1.36,1.45,1.35,1.45,7.41,17278401,24518000,32462000,46342000.0,196869000.0,1.36,,,,,4637140.2,,,6492400.0,0.0
1/12/2015,UKEM,1.45,1.48,1.41,1.42,-2.07,5929400,8545000,40528000,53147000.0,191607000.0,1.378,,,,,5750700.2,,,8105600.0,0.0
1/13/2015,UKEM,1.42,1.44,1.4,1.41,-0.7,2482300,3516000,43059000,53396000.0,189191000.0,1.3940000000000001,,,,,6098360.2,,,8611800.0,0.0
1/14/2015,UKEM,1.41,1.46,1.36,1.4,-0.71,8308800,11664000,50524000,61718000.0,183530000.0,1.406,,,,,7136380.2,,,10104800.0,0.0
1/15/2015,UKEM,1.41,1.42,1.39,1.41,0.71,937800,1316000,49559000,61645000.0,169417000.0,1.418,,,,,6987340.2,,,9911800.0,0.0
1/16/2015,UKEM,1.41,1.42,1.39,1.39,-1.42,1009800,1407000,26448000,61812000.0,165418000.0,1.406,,,,,3733620.0,,,5289600.0,0.0
1/19/2015,UKEM,1.4,1.42,1.38,1.39,0.0,2215100,3106000,21009000,63693000.0,152871000.0,1.4,,,,,2990760.0,,,4201800.0,0.0
1/20/2015,UKEM,1.4,1.41,1.38,1.39,0.0,1556400,2163000,19656000,64462000.0,148262000.0,1.3959999999999997,1.3841666666666663,,,,2805580.0,,,3931200.0,0.0
1/21/2015,UKEM,1.39,1.45,1.39,1.41,1.44,7337300,10460000,18452000,74639000.0,154559000.0,1.398,1.3908333333333334,,,,2611280.0,,,3690400.0,0.0
1/22/2015,UKEM,1.43,1.48,1.43,1.46,3.55,15912200,23083000,40219000,97243000.0,171299000.0,1.408,1.4016666666666668,,,,5606160.0,50.0,50.0,8043800.0,0.0
1/23/2015,UKEM,1.49,1.54,1.48,1.48,1.37,23097400,34914000,73726000,131172000.0,204279000.0,1.4259999999999995,1.413333333333333,,,,10023680.0,50.0,50.0,14745200.0,0.0
1/26/2015,UKEM,1.49,1.5,1.43,1.45,-2.03,3268600,4774000,75394000,131747000.0,202184000.0,1.4380000000000002,1.4216666666666669,,,,10234380.0,50.0,50.0,15078800.0,0.0
1/27/2015,UKEM,1.45,1.47,1.43,1.45,0.0,2082700,3024000,76255000,132490000.0,183040000.0,1.45,1.4216666666666666,,,,10339640.0,42.857142857142854,48.214285714285715,15251000.0,0.0
1/28/2015,UKEM,1.45,1.45,1.43,1.44,-0.69,1950300,2808000,68603000,110780000.0,179727000.0,1.456,1.4233333333333331,,,,9262240.0,35.714285714285715,45.714285714285715,13720600.0,0.0
1/29/2015,UKEM,1.43,1.45,1.42,1.44,0.0,2102200,3018000,48538000,105253000.0,180251000.0,1.452,1.425833333333333,,,,6500240.0,28.57142857142857,41.42857142857143,9707600.0,0.0
1/30/2015,UKEM,1.44,1.48,1.44,1.44,0.0,3066001,4457000,18081000,106194000.0,183233000.0,1.4439999999999995,1.4291666666666665,,,,2493960.2,28.57142857142857,37.142857142857146,3616200.0,0.0
2/2/2015,UKEM,1.44,1.46,1.43,1.44,0.0,1304001,1882000,15189000,96412000.0,181018000.0,1.4419999999999995,1.4316666666666664,,,,2101040.4,28.57142857142857,32.857142857142854,3037800.0,0.0
2/3/2015,UKEM,1.45,1.47,1.44,1.47,2.08,3796600,5539000,17704000,100635000.0,185122000.0,1.446,1.4383333333333328,,,,2443820.4,35.714285714285715,31.428571428571434,3540800.0,0.0
2/4/2015,UKEM,1.49,1.52,1.46,1.46,-0.68,11590100,17230000,32126000,116458000.0,194935000.0,1.45,1.4441666666666666,,,,4371780.4,28.57142857142857,30.0,6425200.0,0.0
2/5/2015,UKEM,1.46,1.47,1.45,1.46,0.0,2373300,3468000,32576000,116820000.0,196683000.0,1.454,1.45,,,,4426000.4,28.57142857142857,30.0,6515200.0,0.0
2/6/2015,UKEM,1.47,1.49,1.47,1.48,1.37,3123600,4604000,32723000,119261000.0,199031000.0,1.4620000000000002,1.455833333333333,,,,4437520.2,35.714285714285715,31.428571428571434,6544600.0,0.0
2/9/2015,UKEM,1.48,1.55,1.46,1.54,4.05,23733000,36239000,67080000,145040000.0,233559000.0,1.4819999999999998,1.4625,1.4242307692307692,0.04161680911680943,0.04161680911680943,8923320.0,42.857142857142854,34.285714285714285,13416000.0,0.0
2/10/2015,UKEM,1.55,1.57,1.51,1.51,-1.95,15080400,23237000,84778000,145194000.0,255056000.0,1.49,1.465,1.4311538461538462,0.034928774928774775,0.0382727920227921,11180080.0,35.714285714285715,34.285714285714285,16955600.0,0.0
2/11/2015,UKEM,1.52,1.55,1.49,1.53,1.32,8740600,13328000,80876000,123608000.0,265117000.0,1.504,1.471666666666667,1.4388461538461539,0.03504273504273536,0.037196106362773186,10610180.0,35.714285714285715,35.714285714285715,16175200.0,0.0
2/12/2015,UKEM,1.53,1.55,1.52,1.54,0.65,3616700,5555000,82963000,124389000.0,267330000.0,1.52,1.4791666666666663,1.4465384615384618,0.035064102564102306,0.03666310541310547,10858860.0,35.714285714285715,37.142857142857146,16592600.0,0.0
2/13/2015,UKEM,1.55,1.6,1.54,1.6,3.9,16617800,26237000,104596000,147602000.0,292178000.0,1.544,1.4925,1.4561538461538464,0.0422293447293447,0.037776353276353314,13557700.0,42.857142857142854,38.571428571428584,20919200.0,2.0
