Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/6/2015,UNIPF,9.5,9.75,9.5,9.75,-0.51,300,3000,8000,220000.0,2876000.0,9.75,,,,,300.0,,
1/9/2015,UNIPF,9.7,9.75,9.7,9.75,0.0,1000,10000,13000,102000.0,2028000.0,9.75,,,,,650.0,,
1/12/2015,UNIPF,9.7,9.75,9.65,9.75,0.0,300,3000,16000,100000.0,1588000.0,9.75,,,,,533.3333333333334,,
1/13/2015,UNIPF,9.8,9.8,9.8,9.8,0.51,100,1000,14000,94000.0,1488000.0,9.7625,,,,,425.0,,
1/14/2015,UNIPF,9.75,9.75,9.65,9.65,-1.53,2100,20000,34000,93000.0,1507000.0,9.739999999999998,,,,,760.0,,
1/15/2015,UNIPF,9.75,9.75,9.7,9.7,0.52,10000,97000,131000,142000.0,1604000.0,9.73,,,,,2700.0,,
1/16/2015,UNIPF,9.75,9.75,9.75,9.75,0.52,2400,23000,144000,162000.0,1604000.0,9.73,,,,,2980.0,,
1/19/2015,UNIPF,9.7,9.75,9.7,9.75,0.0,2800,27000,168000,184000.0,1620000.0,9.73,,,,,3480.0,,
1/20/2015,UNIPF,9.7,9.7,9.7,9.7,-0.51,12000,116000,283000,300000.0,1658000.0,9.709999999999999,,,,,5860.0,,
1/21/2015,UNIPF,9.7,9.7,9.7,9.7,0.0,300,3000,266000,303000.0,1178000.0,9.719999999999999,,,,,5500.0,,
1/27/2015,UNIPF,9.65,9.65,9.6,9.6,-1.03,15100,145000,148000,445000.0,1147000.0,9.7,,,,,6520.0,,
1/28/2015,UNIPF,9.6,9.65,9.6,9.65,0.52,4202,40000,185000,475000.0,1122000.0,9.68,9.7125,,,,6880.4,,
1/29/2015,UNIPF,9.65,9.65,9.65,9.65,0.0,100,1000,186000,473000.0,1111000.0,9.66,9.704166666666667,,,,6340.4,,
1/30/2015,UNIPF,9.7,9.7,9.7,9.7,0.52,100,1000,187000,473000.0,932000.0,9.66,9.700000000000001,,,,3960.4,35.71428571428572,35.71428571428572
2/2/2015,UNIPF,9.7,9.7,9.7,9.7,0.0,1000,10000,197000,463000.0,746000.0,9.66,9.695833333333335,,,,4100.4,35.71428571428572,35.71428571428572
2/3/2015,UNIPF,9.65,9.75,9.65,9.75,0.52,2400,23000,75000,389000.0,768000.0,9.690000000000001,9.691666666666668,,,,1560.4,42.857142857142854,38.0952380952381
2/5/2015,UNIPF,9.65,9.65,9.65,9.65,-1.03,2800,27000,61000,366000.0,671000.0,9.69,9.691666666666668,,,,1280.0,42.857142857142854,39.28571428571429
2/6/2015,UNIPF,9.65,9.8,9.65,9.8,1.55,2400,23000,83000,273000.0,687000.0,9.719999999999999,9.700000000000001,,,,1740.0,42.857142857142854,40.00000000000001
2/10/2015,UNIPF,9.7,9.7,9.65,9.7,-1.02,5400,52000,102000,322000.0,709000.0,9.720000000000002,9.695833333333335,,,,2800.0,42.857142857142854,41.42857142857143
2/11/2015,UNIPF,9.7,9.7,9.7,9.7,0.0,100,1000,103000,323000.0,703000.0,9.719999999999999,9.691666666666668,,,,2620.0,35.71428571428572,41.42857142857143
2/13/2015,UNIPF,9.8,9.8,9.8,9.8,1.03,100,1000,54000,179000.0,635000.0,9.73,9.700000000000001,,,,2160.0,35.71428571428572,40.0
2/16/2015,UNIPF,9.75,9.85,9.75,9.85,0.51,16200,158000,212000,297000.0,790000.0,9.77,9.7125,,,,4840.0,42.857142857142854,40.00000000000001
2/17/2015,UNIPF,9.65,9.65,9.6,9.6,-2.54,65500,630000,790000,926000.0,1415000.0,9.73,9.7125,,,,17460.0,42.857142857142854,40.00000000000001
2/18/2015,UNIPF,9.6,9.6,9.55,9.6,0.0,8801,84000,873000,1009000.0,1499000.0,9.71,9.708333333333332,,,,18140.2,42.857142857142854,40.00000000000001
2/19/2015,UNIPF,9.65,9.65,9.65,9.65,0.52,100,1000,874000,1000000.0,1500000.0,9.7,9.708333333333332,,,,18140.2,50.0,42.85714285714286
