Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
5/19/2015,UPA-W1,1.66,1.68,1.63,1.66,0.61,1115732,1843000,1843000,1843000.0,1843000.0,1.66,,,,,1115732.0,,,1843000.0,0.0
5/20/2015,UPA-W1,1.67,1.67,1.63,1.64,-1.2,446750,734000,2577000,2577000.0,2577000.0,1.65,,,,,781241.0,,,1288500.0,0.0
5/21/2015,UPA-W1,1.61,1.66,1.61,1.61,-1.83,593400,963000,3540000,3540000.0,3540000.0,1.6366666666666667,,,,,718627.3333333335,,,1180000.0,0.0
5/22/2015,UPA-W1,1.67,1.86,1.59,1.83,13.66,16435531,29064000,32604000,32604000.0,32604000.0,1.685,,,,,4647853.25,,,8151000.0,0.0
5/25/2015,UPA-W1,1.83,1.93,1.78,1.81,-1.09,13193802,24662000,57266000,57266000.0,57266000.0,1.7100000000000002,,,,,6357043.0,,,11453200.0,0.0
5/26/2015,UPA-W1,1.83,1.84,1.75,1.75,-3.31,2455900,4408000,59831000,61674000.0,61674000.0,1.7280000000000002,,,,,6625076.6,,,11966200.0,0.0
5/27/2015,UPA-W1,1.71,1.78,1.69,1.74,-0.57,3244500,5642000,64739000,67316000.0,67316000.0,1.7480000000000002,,,,,7184626.6,,,12947800.0,0.0
5/28/2015,UPA-W1,1.75,1.76,1.69,1.69,-2.87,1022450,1744000,65520000,69060000.0,69060000.0,1.764,,,,,7270436.6,,,13104000.0,0.0
5/29/2015,UPA-W1,1.7,1.75,1.68,1.69,0.0,1843000,3172000,39628000,72232000.0,72232000.0,1.736,,,,,4351930.4,,,7925600.0,0.0
6/2/2015,UPA-W1,1.69,1.72,1.64,1.64,-2.96,2077925,3524000,18490000,75756000.0,75756000.0,1.702,,,,,2128755.0,,,3698000.0,0.0
6/3/2015,UPA-W1,1.65,1.69,1.64,1.64,0.0,980976,1619000,15701000,77375000.0,77375000.0,1.6799999999999995,,,,,1833770.2,,,3140200.0,0.0
6/4/2015,UPA-W1,1.66,1.69,1.63,1.65,0.61,985199,1634000,11693000,79009000.0,79009000.0,1.6619999999999997,1.695833333333333,,,,1381910.0,,,2338600.0,0.0
6/5/2015,UPA-W1,1.67,1.85,1.6,1.71,3.64,10606402,18639000,28588000,97648000.0,97648000.0,1.6659999999999997,1.7,,,,3298700.4,,,5717600.0,0.0
6/8/2015,UPA-W1,1.72,1.75,1.66,1.66,-2.92,958700,1629000,27045000,97434000.0,99277000.0,1.6599999999999997,1.7016666666666669,,,,3121840.4,28.57142857142857,28.57142857142857,5409000.0,0.0
6/9/2015,UPA-W1,1.66,1.76,1.66,1.67,0.6,2326223,3988000,27509000,100688000.0,103265000.0,1.666,1.7066666666666668,,,,3171500.0,28.57142857142857,28.57142857142857,5501800.0,0.0
