Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,UPOIC,10.0,10.0,9.9,9.95,0.0,10200,102000,462000,5851000.0,17676000.0,9.95,,,,,10200.0,,,102000.0,0.0
1/6/2015,UPOIC,9.95,9.95,9.95,9.95,0.0,6600,66000,395000,4556000.0,17488000.0,9.95,,,,,8400.0,,,84000.0,0.0
1/7/2015,UPOIC,9.95,10.0,9.95,10.0,0.5,9401,94000,386000,3889000.0,16501000.0,9.966666666666667,,,,,8733.666666666666,,,87333.33333333331,0.0
1/8/2015,UPOIC,9.9,10.0,9.9,10.0,0.0,19700,197000,494000,3963000.0,15893000.0,9.975,,,,,11475.25,,,114750.0,0.0
1/9/2015,UPOIC,10.0,10.0,10.0,10.0,0.0,29501,295000,754000,2483000.0,15521000.0,9.98,,,,,15080.4,,,150800.0,0.0
1/12/2015,UPOIC,10.0,10.0,9.9,9.95,-0.5,36601,364000,1016000,2617000.0,14775000.0,9.98,,,,,20360.6,,,203200.0,0.0
1/13/2015,UPOIC,9.95,9.95,9.95,9.95,0.0,5400,54000,1004000,2358000.0,13700000.0,9.98,,,,,20120.6,,,200800.0,0.0
1/14/2015,UPOIC,10.0,10.0,9.95,9.95,0.0,5000,50000,960000,1825000.0,12689000.0,9.97,,,,,19240.4,,,192000.0,0.0
1/15/2015,UPOIC,10.0,10.0,9.95,9.95,0.0,28900,289000,1052000,1871000.0,12569000.0,9.96,,,,,21080.4,,,210400.0,0.0
1/16/2015,UPOIC,9.95,10.0,9.95,9.95,0.0,14403,143000,900000,1881000.0,12204000.0,9.95,,,,,18060.8,,,180000.0,0.0
1/19/2015,UPOIC,10.0,10.0,9.95,9.95,0.0,43901,437000,973000,2215000.0,12459000.0,9.95,,,,,19520.8,,,194600.0,0.0
1/20/2015,UPOIC,10.0,10.0,9.95,9.95,0.0,62246,620000,1539000,2746000.0,12679000.0,9.95,9.9625,,,,30890.0,,,307800.0,0.0
1/21/2015,UPOIC,10.0,10.0,9.95,9.95,0.0,9550,95000,1584000,2806000.0,12733000.0,9.95,9.962500000000002,,,,31800.0,,,316800.0,0.0
