Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,UTP,4.36,4.36,4.2,4.24,-2.75,1241600,5270000,15253000,53238000.0,379795000.0,4.24,,,,,1241600.0,,,5270000.0,0.0
1/6/2015,UTP,4.22,4.22,4.14,4.2,-0.94,547300,2296000,14086000,47311000.0,363172000.0,4.2200000000000015,,,,,894450.0,,,3783000.0,0.0
1/7/2015,UTP,4.22,4.4,4.22,4.4,4.76,1280600,5538000,18155000,49110000.0,355016000.0,4.28,,,,,1023166.6666666664,,,4368000.0,0.0
1/8/2015,UTP,4.4,4.56,4.4,4.5,2.27,896900,4043000,20072000,50062000.0,346839000.0,4.335000000000001,,,,,991600.0,,,4286750.0,0.0
1/9/2015,UTP,4.52,5.1,4.5,5.1,13.33,28477401,139115000,156262000,184134000.0,475940000.0,4.488000000000001,,,,,6488760.2,,,31252400.0,0.0
1/12/2015,UTP,5.15,5.15,4.92,4.92,-3.53,9801300,49073000,200065000,230927000.0,502269000.0,4.6240000000000006,,,,,8200700.2,,,40013000.0,0.0
1/13/2015,UTP,4.9,5.05,4.82,4.92,0.0,5626900,27825000,225594000,257098000.0,501366000.0,4.768000000000002,,,,,9216620.2,,,45118800.0,0.0
1/14/2015,UTP,5.0,5.05,4.8,4.82,-2.03,6611503,32607000,252663000,288298000.0,511606000.0,4.851999999999999,,,,,10282800.8,,,50532600.0,0.0
1/15/2015,UTP,4.8,4.88,4.78,4.8,-0.41,1843000,8892000,257512000,284642000.0,504695000.0,4.912,,,,,10472020.8,,,51502400.0,0.0
1/16/2015,UTP,4.8,4.86,4.78,4.78,-0.42,1077801,5196000,123593000,286375000.0,454451000.0,4.848000000000001,,,,,4992100.8,,,24718600.0,0.0
1/19/2015,UTP,4.82,4.98,4.82,4.84,1.26,1736500,8498000,83018000,293404000.0,411177000.0,4.832,,,,,3379140.8,,,16603600.0,0.0
1/20/2015,UTP,4.92,4.92,4.86,4.88,0.83,793800,3876000,59069000,295154000.0,403917000.0,4.824,4.700000000000001,,,,2412520.8,,,11813800.0,0.0
1/21/2015,UTP,4.9,4.9,4.84,4.84,-0.82,1051900,5112000,31574000,297341000.0,404763000.0,4.828,4.75,,,,1300600.2,,,6314800.0,0.0
1/22/2015,UTP,4.88,4.96,4.86,4.9,1.24,1782100,8757000,31439000,300828000.0,402742000.0,4.848000000000001,4.808333333333334,,,,1288420.2,42.857142857142854,42.857142857142854,6287800.0,0.0
1/23/2015,UTP,4.94,4.94,4.82,4.82,-1.63,1354900,6611000,32854000,305143000.0,403926000.0,4.856,4.843333333333333,,,,1343840.0,42.857142857142854,42.857142857142854,6570800.0,0.0
1/26/2015,UTP,4.82,4.9,4.78,4.78,-0.83,866300,4167000,28523000,303772000.0,404491000.0,4.843999999999999,4.866666666666667,,,,1169800.0,42.857142857142854,42.857142857142854,5704600.0,0.0
1/27/2015,UTP,4.78,4.86,4.78,4.86,1.67,689301,3327000,27974000,303056000.0,397776000.0,4.84,4.846666666666667,,,,1148900.2,42.857142857142854,42.857142857142854,5594800.0,0.0
1/28/2015,UTP,5.0,5.25,4.94,5.0,2.88,20890802,106275000,129137000,270216000.0,499833000.0,4.872,4.8533333333333335,,,,5116680.6,42.857142857142854,42.857142857142854,25827400.0,0.0
1/29/2015,UTP,5.0,5.05,4.9,4.98,-0.4,3895700,19381000,139761000,240524000.0,509341000.0,4.888,4.858333333333333,,,,5539400.6,35.714285714285715,41.42857142857143,27952200.0,0.0
1/30/2015,UTP,4.96,4.98,4.88,4.88,-2.01,2253600,11096000,144246000,223795000.0,515821000.0,4.9,4.863333333333334,,,,5719140.6,35.714285714285715,40.0,28849200.0,0.0
2/2/2015,UTP,4.88,4.9,4.84,4.9,0.41,1015500,4944000,145023000,196132000.0,513081000.0,4.9239999999999995,4.871666666666667,,,,5748980.6,42.857142857142854,40.00000000000001,29004600.0,0.0
2/3/2015,UTP,4.96,5.05,4.94,4.94,0.82,3339900,16644000,158340000,203884000.0,526511000.0,4.94,4.885000000000002,,,,6279100.4,50.0,41.42857142857143,31668000.0,0.0
2/4/2015,UTP,5.0,5.0,4.9,4.9,-0.81,1022587,5049000,57114000,203737000.0,523337000.0,4.92,4.89,,,,2305457.4,50.0,42.85714285714286,11422800.0,0.0
2/5/2015,UTP,4.9,4.98,4.88,4.92,0.41,977000,4808000,42541000,200047000.0,524406000.0,4.908000000000001,4.8933333333333335,,,,1721717.4,57.14285714285714,47.14285714285714,8508200.0,0.0
2/6/2015,UTP,4.98,5.0,4.9,4.92,0.0,1813700,8968000,40413000,205139000.0,530283000.0,4.916,4.9,,,,1633737.4,50.0,50.0,8082600.0,0.0
2/9/2015,UTP,4.94,4.96,4.86,4.88,-0.81,1060300,5191000,40660000,205218000.0,530431000.0,4.912,4.898333333333333,4.804615384615385,0.0853133903133898,0.0853133903133898,1642697.4,42.857142857142854,50.0,8132000.0,0.0
2/10/2015,UTP,4.94,4.94,4.86,4.9,0.41,543700,2661000,26677000,199122000.0,530812000.0,4.904000000000001,4.905,4.83,0.06904558404558347,0.07717948717948664,1083457.4,50.0,50.0,5335400.0,0.0
