Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
4/3/2015,UWC-W2,0.99,1.04,0.83,0.89,0.0,138729659,130610000,130610000,130610000.0,130610000.0,0.89,,,,,138729659.0,,
4/7/2015,UWC-W2,0.86,0.87,0.74,0.79,-11.24,29396870,22961000,153571000,153571000.0,153571000.0,0.8400000000000001,,,,,84063264.5,,
4/8/2015,UWC-W2,0.77,0.84,0.71,0.81,2.53,49689251,39386000,192957000,192957000.0,192957000.0,0.8300000000000001,,,,,72605260.0,,
4/9/2015,UWC-W2,0.79,0.82,0.77,0.81,0.0,35557198,28333000,221290000,221290000.0,221290000.0,0.8250000000000001,,,,,63343244.5,,
4/10/2015,UWC-W2,0.83,0.84,0.77,0.78,-3.7,30835540,24945000,246235000,246235000.0,246235000.0,0.8160000000000001,,,,,56841703.6,,
4/16/2015,UWC-W2,0.78,0.78,0.7,0.7,-10.26,54398196,39795000,155420000,286030000.0,286030000.0,0.7780000000000001,,,,,39975411.0,,
4/17/2015,UWC-W2,0.7,0.72,0.68,0.68,-2.86,14202230,9847000,142306000,295877000.0,295877000.0,0.7560000000000001,,,,,36936483.0,,
4/20/2015,UWC-W2,0.66,0.67,0.59,0.59,-13.24,35525678,21916000,124836000,317793000.0,317793000.0,0.712,,,,,34103768.4,,
4/21/2015,UWC-W2,0.6,0.61,0.56,0.57,-3.39,40306785,23599000,120102000,341392000.0,341392000.0,0.6639999999999999,,,,,35053685.8,,
4/22/2015,UWC-W2,0.56,0.57,0.53,0.55,-3.51,20330842,11218000,106375000,352610000.0,352610000.0,0.618,,,,,32952746.2,,
4/23/2015,UWC-W2,0.54,0.61,0.52,0.52,-5.45,78419972,44447000,111027000,397057000.0,397057000.0,0.582,,,,,37757101.4,,
