Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
9/25/2018,VGI-W2,0.9,0.98,0.55,0.6,0.0,119202730,86562850,86562850,86562850.0,86562850.0,0.6,,,,,119202730.0,,
9/26/2018,VGI-W2,0.6,0.64,0.59,0.62,3.33,41712256,25625160,112188010,112188010.0,112188010.0,0.61,,,,,80457493.0,,
9/27/2018,VGI-W2,0.62,0.62,0.59,0.6,-3.23,26728012,16206440,128394450,128394450.0,128394450.0,0.6066666666666666,,,,,62547666.0,,
9/28/2018,VGI-W2,0.6,0.61,0.59,0.6,0.0,9318155,5571110,133965560,133965560.0,133965560.0,0.605,,,,,49240288.25,,
10/1/2018,VGI-W2,0.61,0.64,0.59,0.63,5.0,17787642,11083870,145049430,145049430.0,145049430.0,0.61,,,,,42949759.0,,
10/2/2018,VGI-W2,0.63,0.63,0.59,0.6,-4.76,11341733,6904190,65390770,151953620.0,151953620.0,0.61,,,,,21377559.6,,
10/3/2018,VGI-W2,0.6,0.61,0.55,0.55,-8.33,19761024,11164390,50930000,163118010.0,163118010.0,0.5960000000000001,,,,,16987313.2,,
10/4/2018,VGI-W2,0.55,0.56,0.54,0.54,-1.82,3879388,2118210,36841770,165236220.0,165236220.0,0.584,,,,,12417588.4,,
10/5/2018,VGI-W2,0.54,0.62,0.54,0.59,9.26,34310422,20171850,51442510,185408070.0,185408070.0,0.5820000000000001,,,,,17416041.8,,
10/8/2018,VGI-W2,0.6,0.62,0.54,0.54,-8.47,34364119,19712690,60071330,205120760.0,205120760.0,0.564,,,,,20731337.2,,
10/9/2018,VGI-W2,0.55,0.55,0.53,0.54,0.0,11163828,6071100,59238240,211191860.0,211191860.0,0.552,,,,,20695756.2,,
10/10/2018,VGI-W2,0.54,0.57,0.54,0.56,3.7,8189664,4561120,52634970,215752980.0,215752980.0,0.554,0.5808333333333334,,,,18381484.2,,
10/11/2018,VGI-W2,0.52,0.55,0.51,0.55,-1.79,6325228,3369500,53886260,219122480.0,219122480.0,0.556,0.5766666666666665,,,,18870652.2,,
10/12/2018,VGI-W2,0.55,0.58,0.54,0.56,1.82,7438420,4178810,37893220,136738440.0,223301290.0,0.55,0.5716666666666667,,,,13496251.8,35.71428571428572,35.71428571428572
10/16/2018,VGI-W2,0.56,0.58,0.56,0.58,3.57,10598785,6080540,24261070,117193820.0,229381830.0,0.558,0.57,,,,8743185.0,42.857142857142854,39.28571428571429
10/17/2018,VGI-W2,0.58,0.59,0.55,0.55,-5.17,12801162,7226040,25416010,108213420.0,236607870.0,0.5599999999999999,0.5658333333333333,,,,9070651.8,35.71428571428572,38.0952380952381
10/18/2018,VGI-W2,0.55,0.55,0.45,0.45,-18.18,35240548,17605770,38460660,120248080.0,254213640.0,0.538,0.5508333333333333,,,,14480828.6,35.71428571428572,37.50000000000001
10/19/2018,VGI-W2,0.46,0.46,0.4,0.42,-6.67,15431209,6609840,41701000,115774050.0,260823480.0,0.512,0.5358333333333333,,,,16302024.8,35.71428571428572,37.14285714285715
10/22/2018,VGI-W2,0.42,0.43,0.39,0.39,-7.14,6700521,2694830,40217020,111564690.0,263518310.0,0.4779999999999999,0.5225,,,,16154445.0,28.57142857142857,35.71428571428572
10/24/2018,VGI-W2,0.38,0.39,0.35,0.36,-7.69,11251585,4143550,38280030,104543850.0,267661860.0,0.434,0.5075000000000001,,,,16285005.0,28.57142857142857,32.857142857142854
10/25/2018,VGI-W2,0.35,0.38,0.34,0.37,2.78,13796226,4978290,36032280,107403930.0,272640150.0,0.398,0.48916666666666675,,,,16484017.8,35.71428571428572,32.85714285714286
10/29/2018,VGI-W2,0.41,0.44,0.4,0.41,2.5,8648271,3633310,22059820,90865390.0,276273460.0,0.39,0.47833333333333333,,,,11165562.4,42.857142857142854,34.28571428571429
10/30/2018,VGI-W2,0.41,0.41,0.39,0.39,-4.88,5146314,2079320,17529300,73232020.0,278352780.0,0.384,0.4658333333333333,,,,9108583.4,35.71428571428572,34.28571428571429
10/31/2018,VGI-W2,0.4,0.41,0.39,0.4,2.56,5116713,2046140,16880610,69207060.0,280398920.0,0.38599999999999995,0.45250000000000007,,,,8791821.8,42.857142857142854,37.142857142857146
11/1/2018,VGI-W2,0.41,0.45,0.4,0.42,5.0,10236060,4364460,17101520,69010400.0,284763380.0,0.39799999999999996,0.44166666666666665,,,,8588716.8,50.0,41.42857142857143
11/2/2018,VGI-W2,0.43,0.45,0.43,0.43,2.38,6284619,2739700,14862930,68380600.0,287503080.0,0.41000000000000003,0.43083333333333335,0.5096153846153846,-0.07301282051282038,-0.07301282051282038,7086395.4,50.0,44.28571428571429
11/5/2018,VGI-W2,0.43,0.44,0.42,0.42,-2.33,3772119,1603850,12833470,65805640.0,289106930.0,0.41200000000000003,0.4175,0.5026923076923077,-0.07868233618233617,-0.07584757834757827,6111165.0,50.0,45.714285714285715
