Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,VIBHA,14.3,14.3,14.0,14.0,-3.45,152600,2158000,28300000,111477000.0,274072000.0,14.0,,,,,152600.0,,,2158000.0,0.0
1/6/2015,VIBHA,14.0,14.0,13.9,13.9,-0.71,373480,5215000,28401000,82414000.0,272017000.0,13.95,,,,,263040.0,,,3686500.0,0.0
1/7/2015,VIBHA,13.9,14.2,13.9,13.9,0.0,798940,11214000,28689000,81389000.0,274471000.0,13.933333333333332,,,,,441673.33333333326,,,6195666.666666668,0.0
1/8/2015,VIBHA,14.0,14.3,14.0,14.2,2.16,871200,12383000,38010000,87602000.0,273884000.0,14.0,,,,,549055.0,,,7742500.0,0.0
1/9/2015,VIBHA,14.3,14.3,14.1,14.2,0.0,442201,6258000,37228000,84145000.0,255339000.0,14.04,,,,,527684.2,,,7445600.0,0.0
1/12/2015,VIBHA,14.2,14.3,14.0,14.2,0.0,593600,8451000,43521000,88745000.0,253097000.0,14.080000000000002,,,,,615884.2,,,8704200.0,0.0
1/13/2015,VIBHA,14.3,14.3,14.1,14.2,0.0,189108,2685000,40991000,89990000.0,247761000.0,14.14,,,,,579009.8,,,8198200.0,0.0
1/14/2015,VIBHA,14.2,14.4,14.2,14.3,0.7,255520,3655000,33432000,90671000.0,249058000.0,14.22,,,,,470325.8,,,6686400.0,0.0
1/15/2015,VIBHA,14.3,14.4,14.3,14.3,0.0,285105,4088000,25137000,82249000.0,249823000.0,14.239999999999998,,,,,353106.8,,,5027400.0,0.0
1/16/2015,VIBHA,14.3,14.8,14.2,14.8,3.5,1601202,23287000,42166000,100422000.0,266115000.0,14.36,,,,,584907.0,,,8433200.0,0.0
1/19/2015,VIBHA,15.0,15.4,15.0,15.4,4.05,1603863,24378000,58093000,113874000.0,280298000.0,14.6,,,,,786959.6,,,11618600.0,0.0
1/20/2015,VIBHA,15.7,15.7,14.8,14.9,-3.25,887221,13492000,68900000,124304000.0,287145000.0,14.74,14.358333333333334,,,,926582.2,,,13780000.0,0.0
1/21/2015,VIBHA,15.0,15.2,14.9,14.9,0.0,377940,5673000,70918000,122937000.0,289912000.0,14.86,14.433333333333335,,,,951066.2,,,14183600.0,0.0
1/22/2015,VIBHA,15.0,15.2,14.8,14.8,-0.67,490978,7313000,74143000,128092000.0,291551000.0,14.96,14.508333333333335,,,,992240.8,28.57142857142857,28.57142857142857,14828600.0,0.0
1/23/2015,VIBHA,14.9,15.0,14.5,14.5,-2.03,745111,10904000,61760000,133781000.0,300707000.0,14.9,14.558333333333335,,,,821022.6,28.57142857142857,28.57142857142857,12352000.0,0.0
1/26/2015,VIBHA,14.6,15.1,14.6,15.1,4.14,626636,9385000,46767000,131952000.0,304354000.0,14.84,14.633333333333333,,,,625577.2,35.714285714285715,30.952380952380953,9353400.0,0.0
1/27/2015,VIBHA,15.2,15.3,15.0,15.0,-0.66,471003,7153000,40428000,126722000.0,308762000.0,14.860000000000005,14.7,,,,542333.6,35.714285714285715,32.142857142857146,8085600.0,0.0
1/28/2015,VIBHA,15.1,15.2,14.9,15.0,0.0,365170,5478000,40233000,125942000.0,308986000.0,14.88,14.766666666666667,,,,539779.6,28.57142857142857,31.428571428571434,8046600.0,0.0
1/29/2015,VIBHA,15.0,15.0,14.9,14.9,-0.67,277330,4146000,37066000,121637000.0,304297000.0,14.9,14.825,,,,497050.0,28.57142857142857,31.428571428571434,7413200.0,0.0
1/30/2015,VIBHA,15.0,15.0,14.8,14.9,0.0,410840,6119000,32281000,125071000.0,305267000.0,14.98,14.875,,,,430195.8,28.57142857142857,31.428571428571434,6456200.0,0.0
2/2/2015,VIBHA,14.9,14.9,14.7,14.8,-0.67,375265,5557000,28453000,126973000.0,293284000.0,14.919999999999998,14.916666666666664,,,,379921.6,28.57142857142857,30.0,5690600.0,0.0
2/3/2015,VIBHA,14.9,15.0,14.7,14.8,0.0,267527,3954000,25254000,126839000.0,292265000.0,14.88,14.91666666666667,,,,339226.4,21.42857142857143,27.142857142857146,5050800.0,0.0
2/4/2015,VIBHA,14.8,15.2,14.7,15.0,1.35,1015276,15212000,34988000,118764000.0,273199000.0,14.88,14.883333333333335,,,,469247.6,28.57142857142857,27.142857142857146,6997600.0,0.0
2/5/2015,VIBHA,15.1,15.9,15.1,15.8,5.33,7405198,115571000,146413000,209957000.0,376531000.0,15.06,14.958333333333336,,,,1894821.2,28.57142857142857,27.142857142857146,29282600.0,0.0
2/6/2015,VIBHA,15.9,16.0,15.6,15.7,-0.63,1792910,28292000,168586000,224757000.0,398653000.0,15.220000000000002,15.025,,,,2171235.2,21.42857142857143,25.71428571428571,33717200.0,0.0
2/9/2015,VIBHA,15.8,15.8,15.3,15.4,-1.91,843000,13061000,176090000,232145000.0,401999000.0,15.34,15.075,14.726923076923075,0.3482193732193757,0.3482193732193757,2264782.2,21.42857142857143,24.285714285714285,35218000.0,0.0
2/10/2015,VIBHA,15.5,15.5,15.1,15.2,-1.3,476200,7268000,179404000,232100000.0,405416000.0,15.419999999999998,15.133333333333333,14.773076923076921,0.3388888888888886,0.3435541310541321,2306516.8,21.42857142857143,24.285714285714285,35880800.0,0.0
2/11/2015,VIBHA,15.1,15.3,15.1,15.1,-0.66,327100,4960000,169152000,226156000.0,408936000.0,15.439999999999998,15.133333333333333,14.819230769230769,0.2881766381766351,0.32509496676163313,2168881.6,21.42857142857143,22.857142857142854,33830400.0,0.0
2/12/2015,VIBHA,15.1,15.4,15.1,15.2,0.66,264600,4020000,57601000,220791000.0,409982000.0,15.32,15.149999999999995,14.869230769230768,0.26396011396011154,0.3098112535612527,740762.0,28.57142857142857,22.857142857142854,11520200.0,0.0
2/13/2015,VIBHA,15.4,15.7,15.3,15.5,1.97,555090,8578000,37887000,222216000.0,406050000.0,15.28,15.191666666666665,14.919230769230769,0.2768518518518501,0.3032193732193722,493198.0,28.57142857142857,24.285714285714285,7577400.0,0.0
2/16/2015,VIBHA,15.3,15.6,15.0,15.1,-2.58,805708,12314000,37140000,229052000.0,413250000.0,15.22,15.208333333333336,14.953846153846154,0.22699430199430104,0.2789743589743573,485739.6,28.57142857142857,25.71428571428571,7428000.0,0.0
2/17/2015,VIBHA,15.0,15.1,14.7,14.8,-1.99,1412384,21044000,50916000,245950000.0,423368000.0,15.14,15.2,14.976923076923079,0.17464387464387346,0.24612535612535424,672976.4,28.57142857142857,27.142857142857146,10183200.0,0.0
2/18/2015,VIBHA,14.8,15.0,14.8,15.0,1.35,229911,3436000,49392000,243267000.0,423742000.0,15.12,15.216666666666667,15.007692307692313,0.1762108262108253,0.22373219373219227,653538.6,35.714285714285715,30.0,9878400.0,0.0
2/19/2015,VIBHA,15.1,15.1,15.0,15.0,0.0,208600,3147000,48519000,240857000.0,419849000.0,15.080000000000002,15.233333333333334,15.034615384615385,0.16538461538461569,0.20401709401709311,642338.6,35.714285714285715,31.428571428571434,9703800.0,0.0
2/20/2015,VIBHA,14.9,15.4,14.9,15.3,2.0,953601,14583000,54524000,251486000.0,432274000.0,15.04,15.258333333333333,15.073076923076927,0.1748575498575473,0.1836182336182325,722040.8,42.857142857142854,34.285714285714285,10904800.0,0.0
2/23/2015,VIBHA,15.4,15.7,15.4,15.7,2.61,1977599,30754000,72964000,267028000.0,457813000.0,15.16,15.25,15.10769230769231,0.167663817663815,0.17175213675213535,956419.0,50.0,38.57142857142857,14592800.0,0.0
2/24/2015,VIBHA,15.7,16.4,15.6,16.0,1.91,6622247,106408000,158328000,257865000.0,553007000.0,15.4,15.275,15.130769230769232,0.19138176638176674,0.17509971509971398,1998391.6,50.0,42.85714285714286,31665600.0,2.0
2/25/2015,VIBHA,16.5,16.8,16.1,16.2,1.25,5232282,85895000,240787000,315468000.0,626519000.0,15.64,15.341666666666665,15.180769230769231,0.21745014245013827,0.1833475783475766,2998865.8,50.0,45.714285714285715,48157400.0,2.0
2/26/2015,VIBHA,16.4,16.5,16.0,16.5,1.85,2358500,38432000,276072000,340839000.0,658693000.0,15.94,15.449999999999998,15.242307692307696,0.2760683760683733,0.20548433048432813,3428845.8,57.14285714285714,50.0,55214400.0,0.0
2/27/2015,VIBHA,16.4,16.7,16.3,16.4,-0.61,1530160,25255000,286744000,358826000.0,675497000.0,16.160000000000004,15.558333333333332,15.303846153846154,0.30277777777777715,0.2310683760683741,3544157.6,57.14285714285714,52.85714285714285,57348800.0,0.0
3/2/2015,VIBHA,16.3,16.4,16.0,16.1,-1.83,2617097,42205000,298195000,396071000.0,715017000.0,16.24,15.633333333333333,15.365384615384615,0.2853276353276364,0.2546011396011384,3672057.2,57.14285714285714,54.28571428571429,59639000.0,0.0
3/3/2015,VIBHA,16.2,16.2,16.0,16.0,-0.62,691748,11125000,202912000,403176000.0,722487000.0,16.240000000000002,15.675000000000002,15.399999999999995,0.28055555555556033,0.2724358974358971,2485957.4,57.14285714285714,55.71428571428571,40582400.0,0.0
3/5/2015,VIBHA,16.0,16.1,15.8,15.8,-1.25,710200,11286000,128303000,405884000.0,729685000.0,16.16,15.733333333333334,15.430769230769224,0.285470085470088,0.28603988603988706,1581541.0,50.0,55.71428571428571,25660600.0,0.0
3/6/2015,VIBHA,15.8,16.1,15.8,16.1,1.9,650500,10325000,100196000,403895000.0,716723000.0,16.080000000000002,15.841666666666667,15.473076923076926,0.36189458689458576,0.3032051282051295,1239941.0,50.0,54.28571428571429,20039200.0,0.0
3/9/2015,VIBHA,16.0,16.1,15.9,16.0,-0.62,307593,4922000,79863000,387773000.0,697267000.0,16.0,15.925,15.515384615384615,0.3852564102564085,0.3197008547008558,995427.6,50.0,52.85714285714285,15972600.0,0.0
3/10/2015,VIBHA,16.1,16.1,15.7,15.7,-1.88,585730,9264000,46922000,393601000.0,693039000.0,15.920000000000002,15.983333333333333,15.546153846153846,0.3821937321937323,0.33907407407407497,589154.2,50.0,51.42857142857142,9384400.0,0.0
3/11/2015,VIBHA,15.7,15.8,15.6,15.7,0.0,883200,13851000,49648000,404305000.0,701217000.0,15.860000000000005,16.016666666666666,15.580769230769231,0.3783475783475776,0.35863247863247844,627444.6,42.857142857142854,48.57142857142857,9929600.0,2.0
3/12/2015,VIBHA,15.7,15.9,15.6,15.8,0.64,143921,2269000,40631000,391991000.0,696173000.0,15.86,16.025,15.619230769230768,0.3577635327635313,0.3730911680911671,514188.8,50.0,48.57142857142857,8126200.0,0.0
3/13/2015,VIBHA,15.9,16.1,15.7,15.9,0.63,358000,5692000,35998000,366929000.0,690961000.0,15.820000000000002,16.016666666666666,15.653846153846152,0.32663817663817696,0.36603988603988535,455688.8,50.0,48.57142857142857,7199600.0,0.0
3/16/2015,VIBHA,15.8,15.9,15.6,15.7,-1.26,640201,10060000,41136000,270581000.0,691636000.0,15.76,15.975,15.65,0.2789886039886067,0.34478632478632504,522210.4,42.857142857142854,47.14285714285714,8227200.0,0.0
3/17/2015,VIBHA,15.8,15.8,15.5,15.5,-1.27,548399,8555000,40427000,193241000.0,693038000.0,15.72,15.891666666666667,15.642307692307696,0.1996438746438738,0.3082763532763533,514744.2,35.714285714285715,44.28571428571429,8085400.0,0.0
3/18/2015,VIBHA,15.5,16.0,15.5,15.7,1.29,838301,13260000,39836000,168069000.0,700820000.0,15.720000000000002,15.83333333333333,15.653846153846152,0.155555555555555,0.26371794871794874,505764.4,35.714285714285715,42.85714285714286,7967200.0,0.0
3/19/2015,VIBHA,16.0,16.0,15.6,15.6,-0.64,381301,6005000,43572000,148819000.0,702679000.0,15.679999999999998,15.791666666666664,15.669230769230769,0.09807692307692406,0.2117806267806273,553240.4,28.57142857142857,38.571428571428584,8714400.0,0.0
