Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,VTE,2.66,2.72,2.6,2.6,-3.7,2160800,5744000,57917000,104534000.0,697878000.0,2.6,,,,,2160800.0,,,5744000.0,0.0
1/6/2015,VTE,2.6,2.7,2.6,2.64,1.54,2111900,5607000,58483000,100260000.0,488230000.0,2.62,,,,,2136350.0,,,5675500.0,0.0
1/7/2015,VTE,2.64,2.92,2.6,2.86,8.33,16280835,46054000,85077000,140974000.0,439300000.0,2.7,,,,,6851178.333333332,,,19135000.0,0.0
1/8/2015,VTE,2.88,3.24,2.86,3.06,6.99,72280895,224586000,284449000,363258000.0,615483000.0,2.79,,,,,23208607.5,,,70497750.0,0.0
1/9/2015,VTE,3.12,3.14,2.94,2.94,-3.92,11327934,34176000,316167000,389121000.0,605908000.0,2.82,,,,,20832472.8,,,63233400.0,0.0
1/12/2015,VTE,2.94,3.14,2.88,3.0,2.04,20710861,62981000,373404000,446071000.0,643371000.0,2.9,,,,,24542485.0,,,74680800.0,0.0
1/13/2015,VTE,3.02,3.26,3.0,3.14,4.67,70417087,223186000,590983000,662287000.0,834130000.0,3.0,,,,,38203522.4,,,118196600.0,0.0
1/14/2015,VTE,3.14,3.18,3.0,3.0,-4.46,14547420,44966000,589895000,702391000.0,861747000.0,3.028,,,,,37856839.4,,,117979000.0,0.0
1/15/2015,VTE,3.02,3.12,3.02,3.04,1.33,7278827,22355000,387664000,721828000.0,873456000.0,3.024,,,,,24856425.8,,,77532800.0,0.0
1/16/2015,VTE,3.04,3.18,3.02,3.1,1.97,21687274,67643000,421131000,784430000.0,923570000.0,3.056,,,,,26928293.8,,,84226200.0,0.0
1/19/2015,VTE,3.12,3.24,3.08,3.16,1.94,23928169,76096000,434246000,841066000.0,983537000.0,3.088,,,,,27571755.4,,,86849200.0,0.0
1/20/2015,VTE,3.22,3.42,3.16,3.42,8.23,104056633,346115000,557175000,1161967000.0,1316467000.0,3.144,2.9966666666666675,,,,34299664.6,,,111435000.0,0.0
1/21/2015,VTE,3.46,3.46,3.2,3.2,-6.43,45755362,153898000,666107000,1313407000.0,1464084000.0,3.184,3.046666666666667,,,,40541253.0,,,133221400.0,0.0
1/22/2015,VTE,3.22,3.22,2.98,3.06,-4.38,25891294,80084000,723836000,1387747000.0,1540115000.0,3.188,3.081666666666667,,,,44263746.4,64.28571428571428,64.28571428571428,144767200.0,0.0
1/23/2015,VTE,3.02,3.14,2.94,2.94,-3.92,11682599,35332000,691525000,1417472000.0,1571275000.0,3.156,3.088333333333333,,,,42262811.4,64.28571428571428,64.28571428571428,138305000.0,0.0
1/26/2015,VTE,2.9,2.9,2.72,2.78,-5.44,9107804,25442000,640871000,1396860000.0,1589178000.0,3.08,3.065,,,,39298738.4,57.14285714285714,61.9047619047619,128174200.0,0.0
1/27/2015,VTE,2.72,2.9,2.72,2.82,1.44,5288330,14992000,309748000,1187266000.0,1599865000.0,2.96,3.055,,,,19545077.8,57.14285714285714,60.71428571428571,61949600.0,0.0
1/28/2015,VTE,2.82,2.92,2.8,2.82,0.0,4119305,11696000,167546000,1164786000.0,1608515000.0,2.884,3.04,,,,11217866.4,50.0,58.57142857142857,33509200.0,0.0
1/29/2015,VTE,2.82,2.84,2.78,2.78,-1.42,1550702,4337000,91799000,1106142000.0,1598741000.0,2.8280000000000003,3.01,,,,6349748.0,50.0,55.71428571428571,18359800.0,0.0
1/30/2015,VTE,2.78,2.78,2.68,2.76,-0.72,5484900,14887000,71354000,897843000.0,1608790000.0,2.792,2.99,,,,5110208.2,42.857142857142854,51.42857142857142,14270800.0,0.0
