Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
1/5/2015,WAT,0.06,0.07,0.05,0.07,16.67,708457301,43002000,49476000,423967000.0,1191135000.0
1/6/2015,WAT,0.06,0.09,0.05,0.05,-28.57,20910263264,1381864000,1430184000,1603264000.0,2498739000.0
1/7/2015,WAT,0.05,0.06,0.04,0.06,20.0,2289197104,115941000,1544294000,1667318000.0,2600326000.0
1/8/2015,WAT,0.05,0.06,0.05,0.05,-16.67,5336564890,266880000,1809295000,1907284000.0,2857601000.0
1/9/2015,WAT,0.05,0.05,0.04,0.04,-20.0,20489210764,848825000,2656512000,2747364000.0,3691569000.0
1/12/2015,WAT,0.04,0.04,0.03,0.04,0.0,689534300,27112000,2640622000,2768219000.0,3705298000.0
1/13/2015,WAT,0.04,0.05,0.03,0.04,0.0,1321143783,52767000,1311525000,2817496000.0,3741588000.0
1/14/2015,WAT,0.04,0.04,0.03,0.04,0.0,712981650,28480000,1224064000,2779434000.0,3757968000.0
1/15/2015,WAT,1.0,1.19,0.97,1.08,-10.0,196329131,212916000,1170100000,2984261000.0,3867683000.0
1/16/2015,WAT,1.06,1.07,0.99,1.0,-7.41,59088336,60249000,381524000,3043354000.0,3924450000.0
1/19/2015,WAT,0.97,0.99,0.85,0.88,-12.0,127351770,116904000,471316000,3158427000.0,4030899000.0
1/20/2015,WAT,0.89,0.92,0.71,0.71,-19.32,467691087,364054000,782603000,3520602000.0,4355529000.0
