Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/2/2017,WAVE-W1,1.98,1.98,1.0,1.12,0.0,27478266,33916130,33916130,33916130.0,33916130.0,1.12,,,,,27478266.0,,,33916130.0,0.0
6/5/2017,WAVE-W1,1.13,1.15,0.9,0.91,-18.75,7494500,7577660,41493790,41493790.0,41493790.0,1.015,,,,,17486383.0,,,20746895.0,0.0
6/6/2017,WAVE-W1,0.94,1.13,0.93,1.03,13.19,19810130,20931910,62425700,62425700.0,62425700.0,1.0200000000000002,,,,,18260965.33333333,,,20808566.666666668,0.0
6/7/2017,WAVE-W1,1.05,1.08,0.94,0.96,-6.8,5071622,5185100,67610800,67610800.0,67610800.0,1.005,,,,,14963629.5,,,16902700.0,0.0
6/8/2017,WAVE-W1,0.98,0.98,0.91,0.92,-4.17,1032460,962120,68572920,68572920.0,68572920.0,0.988,,,,,12177395.6,,,13714584.0,0.0
6/9/2017,WAVE-W1,0.95,1.04,0.93,0.95,3.26,6927041,6901850,41558640,75474770.0,75474770.0,0.954,,,,,8067150.6,,,8311728.0,0.0
6/12/2017,WAVE-W1,0.96,0.98,0.94,0.94,-1.05,1037640,993530,34974510,76468300.0,76468300.0,0.9600000000000002,,,,,6775778.6,,,6994902.0,0.0
6/13/2017,WAVE-W1,0.96,1.06,0.96,1.0,6.38,9942800,10193940,24236540,86662240.0,86662240.0,0.954,,,,,4802312.6,,,4847308.0,0.0
6/14/2017,WAVE-W1,1.01,1.12,1.0,1.02,2.0,18568945,19847700,38899140,106509940.0,106509940.0,0.966,,,,,7501777.2,,,7779828.0,0.0
6/15/2017,WAVE-W1,1.02,1.03,0.97,0.99,-2.94,6056451,6076340,44013360,112586280.0,112586280.0,0.98,,,,,8506575.4,,,8802672.0,0.0
6/16/2017,WAVE-W1,1.01,1.06,1.0,1.02,3.03,7122730,7386690,44498200,119972970.0,119972970.0,0.9940000000000001,,,,,8545713.2,,,8899640.0,0.0
6/19/2017,WAVE-W1,1.04,1.07,1.02,1.03,0.98,2542600,2639340,46144010,122612310.0,122612310.0,1.012,0.9908333333333332,,,,8846705.2,,,9228802.0,0.0
6/20/2017,WAVE-W1,1.04,1.05,0.99,1.0,-2.91,2370860,2429290,38379360,125041600.0,125041600.0,1.012,0.9808333333333332,,,,7332317.2,,,7675872.0,0.0
6/21/2017,WAVE-W1,1.02,1.03,0.99,1.0,0.0,1921370,1934300,20465960,93059770.0,126975900.0,1.008,0.9883333333333332,,,,4002802.2,42.857142857142854,42.857142857142854,4093192.0,0.0
6/22/2017,WAVE-W1,1.0,1.02,0.98,0.99,-1.0,1518900,1517450,15907070,86999560.0,128493350.0,1.008,0.985,,,,3095292.0,42.857142857142854,42.857142857142854,3181414.0,0.0
6/23/2017,WAVE-W1,1.0,1.01,0.98,0.99,0.0,567200,563670,9084050,66631320.0,129057020.0,1.0020000000000002,0.9875000000000002,,,,1784186.0,42.857142857142854,42.857142857142854,1816810.0,0.0
6/26/2017,WAVE-W1,1.0,1.01,0.97,0.97,-2.02,949180,931910,7376620,62378130.0,129988930.0,0.99,0.9916666666666668,,,,1465502.0,35.714285714285715,41.07142857142857,1475324.0,0.0
6/27/2017,WAVE-W1,0.97,1.02,0.97,0.98,1.03,2771534,2756980,7704310,64172990.0,132745910.0,0.986,0.9941666666666668,,,,1545636.8,42.857142857142854,41.42857142857143,1540862.0,0.0
6/28/2017,WAVE-W1,0.99,1.03,0.98,0.99,1.02,2772910,2792280,8562290,60063420.0,135538190.0,0.984,0.9983333333333334,,,,1715944.8,50.0,42.857142857142854,1712458.0,0.0
6/29/2017,WAVE-W1,1.0,1.12,1.0,1.0,1.01,22759640,24167990,31212830,83237880.0,159706180.0,0.986,0.9983333333333334,,,,5964092.8,50.0,44.28571428571429,6242566.0,0.0
6/30/2017,WAVE-W1,1.0,1.02,0.95,0.95,-5.0,4518500,4456760,35105920,77500700.0,164162940.0,0.978,0.9925,,,,6754352.8,50.0,45.714285714285715,7021184.0,0.0
7/3/2017,WAVE-W1,0.95,1.0,0.91,0.96,1.05,3160710,3072730,37246740,60725730.0,167235670.0,0.976,0.99,,,,7196658.8,50.0,48.57142857142857,7449348.0,0.0
7/4/2017,WAVE-W1,0.96,0.98,0.94,0.94,-2.08,2880130,2765390,37255150,57414780.0,170001060.0,0.968,0.9833333333333332,,,,7218378.0,42.857142857142854,48.57142857142857,7451030.0,0.0
7/5/2017,WAVE-W1,0.95,1.01,0.95,0.98,4.26,7085970,6946880,41409750,56974970.0,176947940.0,0.966,0.9791666666666664,,,,8080990.0,50.0,48.57142857142857,8281950.0,0.0
7/7/2017,WAVE-W1,0.94,0.94,0.92,0.92,0.0,684600,637070,17878830,54972700.0,177585010.0,0.95,0.9725,,,,3665982.0,42.857142857142854,47.14285714285714,3575766.0,0.0
7/11/2017,WAVE-W1,0.93,0.94,0.91,0.92,0.0,593581,544250,13966320,53087660.0,178129260.0,0.944,0.9658333333333332,0.9800000000000002,-0.016773504273504436,-0.016773504273504436,2880998.2,35.714285714285715,44.28571428571429,2793264.0,0.0
7/12/2017,WAVE-W1,0.92,0.97,0.91,0.91,-1.09,2391099,2242090,13135680,53395450.0,180371350.0,0.934,0.9591666666666666,0.971923076923077,-0.015733618233618296,-0.016253561253561366,2727076.0,35.714285714285715,41.42857142857143,2627136.0,0.0
7/13/2017,WAVE-W1,0.92,0.93,0.91,0.91,0.0,316900,291070,10661360,52169070.0,180662420.0,0.9279999999999999,0.9525,0.9719230769230772,-0.02137464387464405,-0.01796058879392226,2214430.0,35.714285714285715,40.00000000000001,2132272.0,0.0
7/14/2017,WAVE-W1,0.91,0.92,0.91,0.91,0.0,478500,437080,4151560,52042480.0,181099500.0,0.914,0.9475,0.9673076923076924,-0.02133190883190883,-0.018803418803418903,892936.0,35.714285714285715,37.142857142857146,830312.0,0.0
7/17/2017,WAVE-W1,0.91,1.12,0.91,1.01,10.99,20530934,21001620,24516110,72112190.0,202101120.0,0.932,0.95,0.9692307692307696,-0.01301994301994325,-0.017646723646723768,4862202.8,42.857142857142854,37.142857142857146,4903222.0,0.0
7/18/2017,WAVE-W1,1.03,1.71,0.99,1.47,45.54,125551009,182146600,206118460,251501810.0,384247720.0,1.042,0.99,0.9903846153846156,0.03793447293447283,-0.006705128205128319,29853688.4,50.0,40.00000000000001,41223692.0,0.0
7/19/2017,WAVE-W1,1.44,1.8,1.42,1.45,-1.36,94328009,156264130,360140500,404973660.0,540511850.0,1.15,1.0275,1.0096153846153848,0.05026353276353257,0.0064943019943018545,48241070.4,42.857142857142854,41.42857142857143,72028100.0,0.0
7/20/2017,WAVE-W1,1.45,1.66,1.42,1.46,0.69,20232520,31248910,391098340,412054580.0,571760760.0,1.26,1.07,1.0296153846153848,0.06850427350427335,0.02447008547008533,52224194.4,42.857142857142854,42.85714285714286,78219668.0,0.0
7/21/2017,WAVE-W1,1.5,1.59,1.2,1.25,-14.38,11372970,16525750,407187010,424123570.0,588286510.0,1.3279999999999998,1.0941666666666665,1.0392307692307694,0.06329772079772056,0.04139601139601121,54403088.4,35.714285714285715,42.85714285714286,81437402.0,0.0
7/24/2017,WAVE-W1,1.25,1.51,1.25,1.37,9.6,28700731,40366390,426551780,461417230.0,594736770.0,1.4,1.13,1.0526923076923078,0.09072649572649548,0.06214529914529896,56037047.8,42.857142857142854,42.85714285714286,85310356.0,0.0
7/25/2017,WAVE-W1,1.42,1.49,1.26,1.3,-5.11,9945100,13765340,258170520,472417180.0,600924450.0,1.366,1.156666666666667,1.0646153846153843,0.0966666666666669,0.07389173789173778,32915866.0,35.714285714285715,40.0,51634104.0,0.0
7/26/2017,WAVE-W1,1.3,1.34,1.16,1.2,-7.69,6460881,8116320,110022710,473586620.0,588108860.0,1.3159999999999998,1.18,1.0715384615384616,0.10202279202279207,0.08424358974358967,15342440.4,35.714285714285715,38.571428571428584,22004542.0,0.0
7/27/2017,WAVE-W1,1.21,1.36,1.2,1.21,0.83,6053305,7661750,86435550,480611300.0,590585510.0,1.266,1.2041666666666668,1.0784615384615384,0.11685897435897452,0.0939145299145299,12506597.4,35.714285714285715,37.142857142857146,17287110.0,0.0
7/31/2017,WAVE-W1,1.23,1.29,1.17,1.2,-0.83,2605000,3188380,73098180,483255430.0,592811770.0,1.256,1.2283333333333335,1.0861538461538462,0.1293874643874644,0.10713247863247867,10753003.4,35.714285714285715,37.142857142857146,14619636.0,0.0
8/2/2017,WAVE-W1,1.35,2.26,1.32,2.2,66.67,372206250,734193070,766924860,1215206410.0,1320102990.0,1.4220000000000002,1.3358333333333332,1.1323076923076925,0.2573860398860395,0.14046438746438747,79454107.2,42.857142857142854,37.142857142857146,153384972.0,0.0
8/4/2017,WAVE-W1,1.78,1.78,1.39,1.39,-22.35,13757642,21489580,774649100,1236404920.0,1340599040.0,1.44,1.3758333333333332,1.1476923076923078,0.2123717948717947,0.16360541310541304,80216615.6,42.857142857142854,38.571428571428584,154929820.0,0.0
8/7/2017,WAVE-W1,1.46,1.46,1.33,1.4,0.72,2313900,3220610,769753390,1239188450.0,1333625710.0,1.48,1.4083333333333332,1.1634615384615383,0.226068376068376,0.1884145299145298,79387219.4,50.0,41.42857142857143,153950678.0,0.0
8/8/2017,WAVE-W1,1.41,1.45,1.36,1.43,2.14,1695300,2388720,764480360,1220575550.0,1316166730.0,1.5239999999999998,1.405,1.1811538461538462,0.20925925925925928,0.2068945868945868,78515618.4,57.14285714285714,45.714285714285715,152896072.0,0.0
8/9/2017,WAVE-W1,1.46,1.55,1.43,1.45,1.4,3858740,5754130,767046110,1044183080.0,1315844520.0,1.574,1.4050000000000002,1.1992307692307689,0.19411680911680929,0.21984045584045567,78766366.4,57.14285714285714,50.0,153409222.0,0.0
8/10/2017,WAVE-W1,1.46,1.49,1.38,1.4,-3.45,712490,1012100,33865140,888931050.0,1309469930.0,1.4140000000000001,1.4,1.215,0.1712962962962965,0.20262250712250712,4467614.4,50.0,51.42857142857142,6773028.0,0.0
8/11/2017,WAVE-W1,1.26,1.34,1.2,1.24,-11.43,2335830,2929310,15304870,860611450.0,1309759900.0,1.384,1.399166666666667,1.224230769230769,0.14928062678062706,0.1900042735042736,2183252.0,50.0,52.85714285714285,3060974.0,0.0
8/15/2017,WAVE-W1,1.2,1.32,1.19,1.23,-0.81,3009090,3779610,15863870,847865310.0,1311110220.0,1.35,1.3875,1.2349999999999997,0.1286396011396016,0.17051851851851876,2322290.0,42.857142857142854,51.42857142857142,3172774.0,0.0
8/17/2017,WAVE-W1,1.21,1.26,1.21,1.23,0.82,698200,859060,14334210,808357980.0,1310034980.0,1.31,1.3816666666666666,1.245384615384615,0.11408831908831908,0.1514843304843307,2122870.0,50.0,50.0,2866842.0,0.0
8/18/2017,WAVE-W1,1.21,1.26,1.21,1.23,0.82,698200,859060,9439140,795451700.0,1309376590.0,1.266,1.3841666666666663,1.2565384615384614,0.10587606837606844,0.13383618233618252,1490762.0,50.0,48.57142857142857,1887828.0,0.0
