Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/14/2015,WHABT,10.1,10.1,10.0,10.0,0.0,1063500,10661000,10661000,10661000.0,10661000.0,10.0,,,,,1063500.0,,
11/17/2015,WHABT,10.0,10.1,10.0,10.1,1.0,109100,1094000,11755000,11755000.0,11755000.0,10.05,,,,,586300.0,,
11/18/2015,WHABT,10.0,10.1,10.0,10.0,-0.99,385200,3852000,15607000,15607000.0,15607000.0,10.033333333333333,,,,,519266.6666666667,,
11/19/2015,WHABT,10.0,10.1,10.0,10.0,0.0,543700,5437000,21044000,21044000.0,21044000.0,10.025,,,,,525375.0,,
11/20/2015,WHABT,10.0,10.0,10.0,10.0,0.0,338000,3380000,24424000,24424000.0,24424000.0,10.02,,,,,487900.0,,
11/23/2015,WHABT,10.0,10.0,10.0,10.0,0.0,113100,1131000,14894000,25555000.0,25555000.0,10.02,,,,,297820.0,,
11/24/2015,WHABT,10.0,10.0,10.0,10.0,0.0,66600,666000,14466000,26221000.0,26221000.0,10.0,,,,,289320.0,,
11/25/2015,WHABT,10.0,10.1,10.0,10.0,0.0,98000,980000,11594000,27201000.0,27201000.0,10.0,,,,,231880.0,,
11/26/2015,WHABT,10.1,10.1,10.0,10.0,0.0,11000,111000,6268000,27312000.0,27312000.0,10.0,,,,,125340.0,,
11/27/2015,WHABT,10.0,10.1,10.0,10.1,1.0,62000,620000,3508000,27932000.0,27932000.0,10.02,,,,,70140.0,,
11/30/2015,WHABT,10.1,10.1,10.0,10.0,-0.99,28000,280500,2657500,28212500.0,28212500.0,10.02,,,,,53120.0,,
12/1/2015,WHABT,10.0,10.1,10.0,10.1,1.0,256600,2591250,4582750,30803750.0,30803750.0,10.040000000000001,10.024999999999999,,,,91120.0,,
12/2/2015,WHABT,10.0,10.0,10.0,10.0,-0.99,62400,624000,4226750,31427750.0,31427750.0,10.040000000000001,10.024999999999999,,,,84000.0,,
12/3/2015,WHABT,10.0,10.0,10.0,10.0,0.0,146600,1466000,5581750,22232750.0,32893750.0,10.040000000000001,10.016666666666666,,,,111120.0,21.42857142857143,21.42857142857143
12/4/2015,WHABT,10.0,10.1,10.0,10.0,0.0,345200,3482790,8444540,24621540.0,36376540.0,10.02,10.016666666666666,,,,167760.0,21.42857142857143,21.42857142857143
12/8/2015,WHABT,10.0,10.0,10.0,10.0,0.0,523000,5230000,13394040,25999540.0,41606540.0,10.02,10.016666666666666,,,,266760.0,14.285714285714292,19.04761904761905
12/9/2015,WHABT,10.1,10.1,10.0,10.0,0.0,333600,3344000,14146790,23906540.0,44950540.0,10.0,10.016666666666667,,,,282160.0,14.285714285714292,17.85714285714286
12/11/2015,WHABT,10.0,10.1,10.0,10.0,0.0,206700,2077510,15600300,22604050.0,47028050.0,10.0,10.016666666666667,,,,311020.0,14.285714285714292,17.142857142857146
12/14/2015,WHABT,10.0,10.0,9.95,10.0,0.0,124000,1239380,15373680,22712430.0,48267430.0,10.0,10.016666666666667,,,,306500.0,14.285714285714292,15.714285714285719
12/15/2015,WHABT,10.0,10.0,10.0,10.0,0.0,427400,4274000,16164890,26320430.0,52541430.0,10.0,10.016666666666667,,,,322940.0,14.285714285714292,14.285714285714292
12/16/2015,WHABT,10.1,10.1,10.0,10.1,1.0,28433,286720,11221610,25627150.0,52828150.0,10.02,10.025,,,,224026.6,21.42857142857143,15.714285714285719
12/17/2015,WHABT,10.1,10.1,10.0,10.0,-0.99,15000,151000,8028610,25667150.0,52979150.0,10.02,10.016666666666666,,,,160306.6,21.42857142857143,17.142857142857146
12/18/2015,WHABT,10.1,10.1,10.0,10.1,1.0,22300,224010,6175110,25271160.0,53203160.0,10.040000000000001,10.024999999999999,,,,123426.6,28.57142857142857,20.000000000000004
