Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,WHAPF,9.9,9.9,9.8,9.9,0.0,48400,477000,1578000,15507000.0,41886000.0,9.9,,,,,48400.0,,
1/6/2015,WHAPF,9.85,9.9,9.85,9.9,0.0,11600,115000,1285000,7733000.0,41194000.0,9.9,,,,,30000.0,,
1/7/2015,WHAPF,9.9,9.9,9.8,9.85,-0.51,46400,457000,1484000,6930000.0,39203000.0,9.883333333333333,,,,,35466.666666666664,,
1/8/2015,WHAPF,9.85,9.9,9.8,9.9,0.51,29300,289000,1454000,6597000.0,38880000.0,9.8875,,,,,33925.0,,
1/9/2015,WHAPF,9.85,9.85,9.85,9.85,-0.51,29400,290000,1628000,6472000.0,39068000.0,9.879999999999999,,,,,33020.0,,
1/12/2015,WHAPF,9.9,9.9,9.8,9.8,-0.51,692000,6788000,7939000,10533000.0,45851000.0,9.86,,,,,161740.0,,
1/13/2015,WHAPF,9.8,9.9,9.8,9.9,1.02,89400,876000,8700000,11100000.0,46701000.0,9.860000000000001,,,,,177300.0,,
1/14/2015,WHAPF,9.9,9.9,9.8,9.9,0.0,104600,1025000,9268000,11903000.0,41510000.0,9.870000000000001,,,,,188940.0,,
1/15/2015,WHAPF,9.85,9.9,9.85,9.9,0.0,23500,232000,9211000,11650000.0,41543000.0,9.87,,,,,187780.0,,
1/16/2015,WHAPF,9.9,9.9,9.9,9.9,0.0,10000,99000,9020000,11341000.0,41331000.0,9.879999999999999,,,,,183900.0,,
1/19/2015,WHAPF,9.9,9.9,9.9,9.9,0.0,129900,1286000,3518000,12369000.0,42597000.0,9.9,,,,,71480.0,,
1/20/2015,WHAPF,9.85,9.9,9.85,9.9,0.0,360464,3551000,6193000,15601000.0,45106000.0,9.9,9.883333333333336,,,,125692.8,,
1/21/2015,WHAPF,9.85,9.9,9.85,9.9,0.0,204600,2018000,7186000,17503000.0,45404000.0,9.9,9.883333333333335,,,,145692.8,,
1/22/2015,WHAPF,9.9,9.9,9.85,9.9,0.0,95100,937000,7891000,17963000.0,44792000.0,9.9,9.883333333333336,,,,160012.8,14.285714285714292,14.285714285714292
1/23/2015,WHAPF,9.85,9.9,9.8,9.9,0.0,697700,6851000,14643000,24699000.0,50109000.0,9.9,9.887500000000003,,,,297552.8,14.285714285714292,14.285714285714292
1/26/2015,WHAPF,9.9,9.9,9.9,9.9,0.0,179100,1773000,15130000,26015000.0,50277000.0,9.9,9.887500000000001,,,,307392.8,14.285714285714292,14.285714285714292
1/27/2015,WHAPF,9.9,9.9,9.8,9.8,-1.01,51800,509000,12088000,26235000.0,48164000.0,9.88,9.883333333333335,,,,245660.0,14.285714285714292,14.285714285714292
1/28/2015,WHAPF,9.9,9.95,9.85,9.95,1.53,396102,3922000,13992000,29867000.0,50890000.0,9.89,9.895833333333334,,,,283960.4,14.285714285714292,14.285714285714292
1/29/2015,WHAPF,9.9,9.95,9.9,9.9,-0.5,112101,1110000,14165000,24189000.0,49844000.0,9.889999999999999,9.895833333333334,,,,287360.6,14.285714285714292,14.285714285714292
1/30/2015,WHAPF,9.85,9.95,9.85,9.95,0.51,222400,2203000,9517000,25516000.0,51566000.0,9.9,9.9,,,,192300.6,21.42857142857143,15.714285714285719
2/2/2015,WHAPF,9.95,9.95,9.9,9.95,0.0,29700,295000,8039000,24786000.0,51463000.0,9.91,9.904166666666667,,,,162420.6,14.285714285714292,15.714285714285719
2/3/2015,WHAPF,9.95,9.95,9.9,9.95,0.0,81300,808000,8338000,25362000.0,50941000.0,9.940000000000001,9.908333333333335,,,,168320.6,14.285714285714292,15.714285714285719
2/4/2015,WHAPF,9.95,10.0,9.95,10.0,0.5,112401,1119000,5535000,26382000.0,44171000.0,9.95,9.916666666666668,,,,111580.4,21.42857142857143,17.142857142857146
2/5/2015,WHAPF,9.95,9.95,9.95,9.95,-0.5,1700,17000,4442000,25113000.0,42928000.0,9.959999999999999,9.920833333333336,,,,89500.2,21.42857142857143,18.571428571428577
2/6/2015,WHAPF,9.85,10.0,9.85,10.0,0.5,22300,221000,2460000,21783000.0,42527000.0,9.969999999999999,9.929166666666667,,,,49480.2,28.57142857142857,20.000000000000004
2/9/2015,WHAPF,10.0,10.0,9.95,9.95,-0.5,51400,512000,2677000,20277000.0,42624000.0,9.969999999999999,9.933333333333334,9.907692307692308,0.02507122507122439,0.02507122507122439,53820.2,28.57142857142857,22.857142857142858
2/10/2015,WHAPF,10.0,10.0,9.95,10.0,0.5,70800,705000,2574000,20045000.0,40602000.0,9.98,9.941666666666668,9.911538461538461,0.032549857549858174,0.028810541310541282,51720.2,35.71428571428572,27.142857142857146
2/11/2015,WHAPF,9.95,10.0,9.95,10.0,0.0,196100,1961000,3416000,15155000.0,42254000.0,9.98,9.950000000000001,9.915384615384614,0.03603988603988917,0.031220322886990576,68460.0,35.71428571428572,30.0
2/12/2015,WHAPF,9.95,10.0,9.95,10.0,0.0,76602,762000,4161000,14144000.0,42794000.0,9.99,9.966666666666667,9.921153846153846,0.04480056980056979,0.03461538461538538,83440.4,35.71428571428572,32.85714285714286
2/13/2015,WHAPF,10.0,10.1,10.0,10.1,1.0,62000,620000,4560000,14255000.0,42929000.0,10.010000000000002,9.979166666666666,9.928846153846154,0.05623219373219257,0.03893874643874682,91380.4,42.857142857142854,35.714285714285715
