Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
4/10/2017,WHAUP,28.0,28.25,26.0,26.0,-0.95,84373116,2273024190,2273024190,2273024190.0,2273024190.0,26.0,,,,,84373116.0,,,2273024190.0,0.0
4/11/2017,WHAUP,26.25,26.5,25.75,26.5,1.92,19127314,500389600,2773413790,2773413790.0,2773413790.0,26.25,,,,,51750215.0,,,1386706895.0,0.0
4/12/2017,WHAUP,26.25,26.75,26.25,26.5,0.0,7506064,198561620,2971975410,2971975410.0,2971975410.0,26.33333333333333,,,,,37002164.66666666,,,990658470.0,0.0
4/17/2017,WHAUP,26.5,26.5,26.0,26.0,-1.89,3097323,81276020,3053251430,3053251430.0,3053251430.0,26.25,,,,,28525954.25,,,763312857.5,0.0
4/18/2017,WHAUP,26.25,27.25,26.0,26.25,0.96,23035952,614873210,3668124640,3668124640.0,3668124640.0,26.25,,,,,27427953.8,,,733624928.0,0.0
4/19/2017,WHAUP,26.25,26.25,26.0,26.0,-0.95,3392430,88869320,1483969770,3756993960.0,3756993960.0,26.25,,,,,11231816.6,,,296793954.0,0.0
4/20/2017,WHAUP,26.25,26.5,26.0,26.5,1.92,6247890,165195890,1148776060,3922189850.0,3922189850.0,26.25,,,,,8655931.8,,,229755212.0,0.0
4/21/2017,WHAUP,26.5,26.75,26.25,26.25,-0.94,3485870,92229050,1042443490,4014418900.0,4014418900.0,26.2,,,,,7851893.0,,,208488698.0,0.0
4/24/2017,WHAUP,26.25,26.5,26.25,26.25,0.0,3278585,86544610,1047712080,4100963510.0,4100963510.0,26.25,,,,,7888145.4,,,209542416.0,0.0
4/25/2017,WHAUP,26.25,26.5,26.0,26.25,0.0,3058518,80196320,513035190,4181159830.0,4181159830.0,26.25,,,,,3892658.6,,,102607038.0,0.0
4/26/2017,WHAUP,26.5,26.5,26.25,26.25,0.0,952925,25042500,449208370,4206202330.0,4206202330.0,26.3,,,,,3404757.6,,,89841674.0,0.0
4/27/2017,WHAUP,26.5,26.5,26.0,26.25,0.0,835282,21917860,305930340,4228120190.0,4228120190.0,26.25,26.25,,,,2322236.0,,,61186068.0,0.0
4/28/2017,WHAUP,26.25,26.25,25.75,25.75,-1.9,2964398,77047250,290748540,4305167440.0,4305167440.0,26.15,26.22916666666667,,,,2217941.6,,,58149708.0,0.0
5/2/2017,WHAUP,25.75,26.0,25.5,25.75,0.0,2296842,59336560,263540490,2091479810.0,4364504000.0,26.05,26.16666666666667,,,,2021593.0,21.42857142857143,21.42857142857143,52708098.0,0.0
5/3/2017,WHAUP,26.0,26.25,25.25,25.25,-1.94,3684427,94493290,277837460,1685583500.0,4458997290.0,25.85,26.0625,,,,2146774.8,21.42857142857143,21.42857142857143,55567492.0,0.0
5/4/2017,WHAUP,25.5,25.75,25.25,25.25,0.0,870384,22163720,274958680,1509185600.0,4481161010.0,25.65,26.0,,,,2130266.6,14.285714285714292,19.04761904761905,54991736.0,0.0
5/5/2017,WHAUP,25.5,25.75,25.25,25.5,0.99,571160,14559140,267599960,1442468720.0,4495720150.0,25.5,25.9375,,,,2077442.2,21.42857142857143,19.642857142857142,53519992.0,0.0
5/8/2017,WHAUP,25.5,25.75,25.25,25.5,0.0,890089,22627440,213180150,850222950.0,4518347590.0,25.45,25.89583333333333,,,,1662580.4,21.42857142857143,20.000000000000004,42636030.0,0.0
5/9/2017,WHAUP,25.5,25.75,25.25,25.5,0.0,1388493,35360090,189203680,796713720.0,4553707680.0,25.4,25.8125,,,,1480910.6,14.285714285714292,18.571428571428573,37840736.0,0.0
5/11/2017,WHAUP,25.75,25.75,24.8,24.8,-2.75,2685599,67107880,161818270,698625710.0,4620815560.0,25.31,25.691666666666666,,,,1281145.0,14.285714285714292,17.142857142857142,32363654.0,0.0
5/12/2017,WHAUP,25.0,25.25,24.8,25.25,1.81,2157406,54016460,193671010,660413120.0,4674832020.0,25.31,25.60833333333333,,,,1538549.4,14.285714285714292,17.142857142857142,38734202.0,0.0
5/15/2017,WHAUP,25.5,25.5,25.25,25.25,0.0,579224,14677400,193789270,588545910.0,4689509420.0,25.26,25.525,,,,1540162.2,14.285714285714292,15.714285714285722,38757854.0,0.0
5/16/2017,WHAUP,25.25,25.75,25.0,25.25,0.0,1254134,31866830,203028660,540216420.0,4721376250.0,25.21,25.441666666666666,,,,1612971.2,14.285714285714292,14.285714285714292,40605732.0,0.0
5/17/2017,WHAUP,25.5,25.5,25.25,25.25,0.0,200540,5073350,172741920,520247270.0,4726449600.0,25.16,25.35833333333333,,,,1375380.6,14.285714285714292,14.285714285714292,34548384.0,0.0
5/18/2017,WHAUP,25.25,25.75,25.0,25.5,0.99,1415901,36067180,141701220,534396590.0,4762516780.0,25.3,25.3375,,,,1121441.0,21.42857142857143,15.714285714285722,28340244.0,0.0
5/19/2017,WHAUP,25.5,26.0,25.5,26.0,1.96,1868327,48495860,136180620,505845200.0,4811012640.0,25.45,25.35833333333333,25.8,-0.3577635327635313,-0.3577635327635313,1063625.2,28.57142857142857,18.571428571428573,27236124.0,0.0
5/22/2017,WHAUP,26.25,26.25,25.75,26.0,0.0,559093,14542540,136045760,461051180.0,4825555180.0,25.6,25.42083333333333,25.8,-0.3048789173789146,-0.33132122507122297,1059599.0,28.57142857142857,21.42857142857143,27209152.0,0.0
5/23/2017,WHAUP,26.0,26.25,25.75,26.0,0.0,1071235,27869630,132048560,394427520.0,4853424810.0,25.75,25.48333333333333,25.78076923076923,-0.2341880341880369,-0.29894349477682763,1023019.2,28.57142857142857,24.285714285714285,26409712.0,2.0
5/24/2017,WHAUP,26.25,26.25,26.0,26.0,0.0,590170,15420280,142395490,387684080.0,4868845090.0,25.9,25.525,25.761538461538464,-0.18112535612535646,-0.26948896011395984,1100945.2,28.57142857142857,27.142857142857146,28479098.0,0.0
5/25/2017,WHAUP,26.0,27.75,26.0,27.25,4.81,23091973,627031880,733360190,1000156820.0,5495876970.0,26.25,25.67083333333333,25.80961538461539,-0.002528490028488761,-0.21609686609686565,5436159.6,35.714285714285715,30.0,146672038.0,2.0
5/26/2017,WHAUP,27.75,28.5,26.75,26.75,-1.83,32545523,902917930,1587782260,1880447310.0,6398794900.0,26.4,25.775,25.82884615384615,0.02792022792023729,-0.1389601139601119,11571598.8,28.57142857142857,30.0,317556452.0,2.0
5/29/2017,WHAUP,27.0,27.25,26.75,27.25,1.87,3841580,103831440,1677071160,1948918660.0,6502626340.0,26.65,25.97916666666667,25.876923076923074,0.19604700854701207,-0.03877492877492657,12228096.2,35.714285714285715,31.428571428571434,335414232.0,0.0
