Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/21/2019,WIIK-W2,0.29,0.44,0.25,0.28,0.0,112171962,36290110,36290110,36290110.0,36290110.0,0.28,,,,,112171962.0,,
1/22/2019,WIIK-W2,0.27,0.28,0.22,0.23,-17.86,27220002,6940880,43230990,43230990.0,43230990.0,0.255,,,,,69695982.0,,
1/23/2019,WIIK-W2,0.24,0.26,0.23,0.24,4.35,22591285,5515020,48746010,48746010.0,48746010.0,0.25,,,,,53994416.333333336,,
1/24/2019,WIIK-W2,0.25,0.27,0.23,0.24,0.0,21252585,5301090,54047100,54047100.0,54047100.0,0.2475,,,,,45808958.5,,
1/25/2019,WIIK-W2,0.25,0.26,0.23,0.24,0.0,8551634,2097770,56144870,56144870.0,56144870.0,0.246,,,,,38357493.6,,
1/28/2019,WIIK-W2,0.24,0.25,0.23,0.23,-4.17,6983096,1664890,21519650,57809760.0,57809760.0,0.236,,,,,17319720.4,,
1/29/2019,WIIK-W2,0.24,0.27,0.24,0.26,13.04,28736096,7402840,21981610,65212600.0,65212600.0,0.242,,,,,17622939.2,,
1/30/2019,WIIK-W2,0.27,0.3,0.26,0.27,3.85,46872667,13309400,29775990,78522000.0,78522000.0,0.248,,,,,22479215.6,,
1/31/2019,WIIK-W2,0.28,0.31,0.27,0.29,7.41,41500054,12133310,36608210,90655310.0,90655310.0,0.258,,,,,26528709.4,,
2/1/2019,WIIK-W2,0.3,0.32,0.27,0.28,-3.45,38721808,11427870,45938310,102083180.0,102083180.0,0.266,,,,,32562744.2,,
2/4/2019,WIIK-W2,0.28,0.28,0.26,0.27,-3.57,7736366,2110650,46384070,104193830.0,104193830.0,0.274,,,,,32713398.2,,
2/6/2019,WIIK-W2,0.27,0.28,0.26,0.26,-3.7,6533540,1744220,40725450,105938050.0,105938050.0,0.274,0.2575,,,,28272887.0,,
2/7/2019,WIIK-W2,0.27,0.27,0.25,0.26,0.0,9597121,2534710,29950760,108472760.0,108472760.0,0.272,0.25583333333333336,,,,20817777.8,,
2/8/2019,WIIK-W2,0.25,0.27,0.25,0.25,-3.85,3334599,855730,18673180,73038380.0,109328490.0,0.264,0.2575,,,,13184686.8,28.57142857142857,28.57142857142857
2/11/2019,WIIK-W2,0.26,0.26,0.24,0.24,-4.0,6383899,1599470,8844780,67696970.0,110927960.0,0.256,0.2575,,,,6717105.0,28.57142857142857,28.57142857142857
2/12/2019,WIIK-W2,0.24,0.25,0.24,0.25,4.17,5932966,1469230,8203360,63651180.0,112397190.0,0.252,0.25833333333333336,,,,6356425.0,35.71428571428572,30.952380952380953
2/13/2019,WIIK-W2,0.25,0.25,0.24,0.25,0.0,2349633,587310,7046450,58937400.0,112984500.0,0.25,0.2591666666666667,,,,5519643.6,28.57142857142857,30.357142857142858
2/14/2019,WIIK-W2,0.25,0.26,0.25,0.25,0.0,5411266,1376410,5888150,58216040.0,114360910.0,0.248,0.2608333333333333,,,,4682472.6,28.57142857142857,30.0
2/15/2019,WIIK-W2,0.25,0.25,0.24,0.24,-4.0,1981231,487050,5519470,57038200.0,114847960.0,0.246,0.2591666666666667,,,,4411799.0,28.57142857142857,30.0
2/18/2019,WIIK-W2,0.24,0.25,0.24,0.24,0.0,4598137,1114990,5034990,50750350.0,115962950.0,0.246,0.25666666666666665,,,,4054646.6,28.57142857142857,30.0
2/20/2019,WIIK-W2,0.24,0.24,0.23,0.23,-4.17,3811467,908570,4474330,38349520.0,116871520.0,0.242,0.25166666666666665,,,,3630346.8,21.42857142857143,27.142857142857146
2/21/2019,WIIK-W2,0.23,0.24,0.22,0.22,-4.35,1777466,407110,4294130,26623320.0,117278630.0,0.236,0.24666666666666673,,,,3515913.4,14.285714285714292,24.285714285714285
2/22/2019,WIIK-W2,0.22,0.23,0.21,0.21,-4.55,1648632,361020,3278740,15556470.0,117639650.0,0.22799999999999998,0.2416666666666667,,,,2763386.6,7.142857142857139,20.0
2/25/2019,WIIK-W2,0.22,0.23,0.21,0.21,0.0,1363525,298220,3089910,13744040.0,117937870.0,0.22199999999999998,0.23750000000000002,,,,2639845.4,7.142857142857139,15.714285714285714
2/26/2019,WIIK-W2,0.22,0.22,0.21,0.21,0.0,1809167,386900,2361820,12386720.0,118324770.0,0.21600000000000003,0.2333333333333333,,,,2082051.4,7.142857142857139,11.428571428571427
2/27/2019,WIIK-W2,0.22,0.22,0.2,0.2,-4.76,1234266,258670,1711920,10110680.0,118583440.0,0.21000000000000002,0.22916666666666666,0.24423076923076925,-0.01627492877492881,-0.01627492877492881,1566611.2,7.142857142857139,8.57142857142857
2/28/2019,WIIK-W2,0.2,0.2,0.19,0.19,-5.0,2354710,462070,1766880,9717020.0,119045510.0,0.20400000000000001,0.225,0.24076923076923082,-0.017393162393162465,-0.016834045584045637,1682060.0,7.142857142857139,7.142857142857139
3/1/2019,WIIK-W2,0.19,0.2,0.18,0.19,0.0,2654167,509060,1914920,8626610.0,119554570.0,0.2,0.22,0.2392307692307693,-0.02019943019943027,-0.017955840455840515,1883167.0,7.142857142857139,7.142857142857139
3/4/2019,WIIK-W2,0.19,0.23,0.19,0.2,5.26,6929466,1461410,3078110,8618790.0,121015980.0,0.198,0.21583333333333332,0.23769230769230776,-0.021502849002849045,-0.018842592592592647,2996355.2,14.285714285714292,8.57142857142857
3/5/2019,WIIK-W2,0.21,0.21,0.2,0.2,0.0,1633832,329780,3020990,8361260.0,121345760.0,0.196,0.21166666666666667,0.23615384615384624,-0.023603988603988657,-0.019794871794871848,2961288.2,7.142857142857139,8.57142857142857
3/6/2019,WIIK-W2,0.2,0.21,0.2,0.2,0.0,1138671,228150,2990470,7213000.0,121573910.0,0.196,0.20833333333333334,0.2346153846153847,-0.02500000000000005,-0.021539886039886096,2942169.2,7.142857142857139,8.57142857142857
3/7/2019,WIIK-W2,0.21,0.21,0.2,0.21,5.0,790967,165380,2693780,6891330.0,121739290.0,0.2,0.20583333333333334,0.23384615384615393,-0.02560541310541317,-0.023182336182336238,2629420.6,14.285714285714292,10.0
3/8/2019,WIIK-W2,0.21,0.22,0.2,0.21,0.0,443100,92970,2277690,5869310.0,121832260.0,0.20400000000000001,0.20416666666666664,0.231923076923077,-0.025235042735042817,-0.024189458689458748,2187207.2,14.285714285714292,11.42857142857143
3/11/2019,WIIK-W2,0.21,0.24,0.21,0.21,0.0,6113065,1348670,2164950,6309410.0,123180930.0,0.20600000000000002,0.20333333333333334,0.22961538461538467,-0.023803418803418824,-0.024649572649572703,2023927.0,14.285714285714292,11.42857142857143
3/12/2019,WIIK-W2,0.22,0.23,0.21,0.21,0.0,2182566,472250,2307420,6374550.0,87363070.0,0.20800000000000002,0.20333333333333334,0.2265384615384616,-0.020954415954415995,-0.02411965811965817,2133673.8,14.285714285714292,12.857142857142861
3/13/2019,WIIK-W2,0.22,0.22,0.21,0.21,0.0,2743830,576220,2655490,6589750.0,80998410.0,0.21000000000000002,0.20333333333333334,0.2238461538461539,-0.018461538461538474,-0.022811965811965856,2454705.6,14.285714285714292,14.285714285714292
3/14/2019,WIIK-W2,0.21,0.22,0.21,0.21,0.0,791261,166170,2656280,6457700.0,75649560.0,0.21000000000000002,0.20333333333333334,0.22153846153846157,-0.016324786324786317,-0.020955840455840487,2454764.4,14.285714285714292,14.285714285714292
3/15/2019,WIIK-W2,0.21,0.22,0.21,0.21,0.0,313300,65800,2629110,6136600.0,70414270.0,0.21000000000000002,0.20416666666666664,0.2196153846153846,-0.013839031339031332,-0.01867663817663819,2428804.4,14.285714285714292,14.285714285714292
3/18/2019,WIIK-W2,0.21,0.21,0.21,0.21,0.0,432033,90730,1371170,5968660.0,68407230.0,0.21000000000000002,0.2058333333333333,0.21769230769230768,-0.010648148148148157,-0.016045584045584056,1292598.0,14.285714285714292,14.285714285714292
3/19/2019,WIIK-W2,0.22,0.22,0.21,0.21,0.0,306733,64410,963330,5571000.0,66806750.0,0.21000000000000002,0.2075,0.21615384615384617,-0.007813390313390317,-0.01341737891737892,917431.4,14.285714285714292,14.285714285714292
3/20/2019,WIIK-W2,0.21,0.21,0.21,0.21,0.0,292633,61450,448560,5123390.0,59465360.0,0.21000000000000002,0.20833333333333334,0.21500000000000002,-0.006039886039886033,-0.010933048433048431,427192.0,14.285714285714292,14.285714285714292
3/21/2019,WIIK-W2,0.21,0.24,0.21,0.21,0.0,7154200,1595110,1877500,5257090.0,47751070.0,0.21000000000000002,0.20916666666666664,0.21346153846153848,-0.003910256410256441,-0.008450142450142455,1699779.8,14.285714285714292,14.285714285714292
3/25/2019,WIIK-W2,0.21,0.21,0.2,0.21,0.0,937042,195710,2007410,5123020.0,35813470.0,0.21000000000000002,0.21,0.2119230769230769,-0.001780626780626765,-0.006038461538461543,1824528.2,7.142857142857139,12.857142857142861
3/26/2019,WIIK-W2,0.21,0.21,0.2,0.21,0.0,530964,111440,2028120,5006310.0,24497040.0,0.21000000000000002,0.21,0.21038461538461536,-0.00035612535612533636,-0.003980056980056978,1844314.4,7.142857142857139,11.42857142857143
3/27/2019,WIIK-W2,0.21,0.22,0.2,0.21,0.0,159568,33310,1997020,4874240.0,22419700.0,0.21000000000000002,0.21,0.20923076923076922,0.0007122507122507282,-0.0022749287749287694,1814881.4,7.142857142857139,10.0
3/28/2019,WIIK-W2,0.2,0.21,0.2,0.2,-4.76,728200,150360,2085930,4931630.0,20825840.0,0.20800000000000002,0.2091666666666667,0.2076923076923077,0.0006339031339031576,-0.0009401709401709313,1901994.8,0.0,7.1428571428571415
3/29/2019,WIIK-W2,0.2,0.21,0.2,0.2,0.0,236010,48600,539420,3631560.0,18339730.0,0.20600000000000002,0.20833333333333337,0.20653846153846153,0.0009971509971510584,4.131054131056855e-05,518356.8,0.0,4.285714285714283
4/1/2019,WIIK-W2,0.2,0.21,0.2,0.2,0.0,417766,86210,429920,3245520.0,17570210.0,0.20400000000000001,0.20750000000000002,0.2057692307692308,0.0010042735042735118,0.0005982905982906239,414501.6,0.0,2.8571428571428554
4/2/2019,WIIK-W2,0.21,0.21,0.2,0.21,5.0,641465,134700,453180,2804000.0,16105440.0,0.20400000000000001,0.20750000000000002,0.2057692307692308,0.0018019943019943196,0.0010299145299145552,436601.8,7.142857142857139,2.8571428571428554
4/3/2019,WIIK-W2,0.21,0.22,0.2,0.21,0.0,202599,42070,461940,2679900.0,14678280.0,0.20400000000000001,0.2075,0.2057692307692308,0.001801994301994292,0.0012478632478632678,445208.0,7.142857142857139,2.8571428571428554
4/4/2019,WIIK-W2,0.2,0.22,0.2,0.22,4.76,190200,40330,351910,2654430.0,14131300.0,0.20800000000000002,0.20833333333333334,0.20615384615384616,0.002948717948717927,0.0017108262108262219,337608.0,14.285714285714292,5.7142857142857135
4/5/2019,WIIK-W2,0.21,0.21,0.2,0.21,-4.55,128800,27050,330360,2590750.0,12781940.0,0.21000000000000002,0.20833333333333334,0.2065384615384615,0.0017948717948718662,0.0018703703703703833,316166.0,14.285714285714292,8.571428571428573
4/9/2019,WIIK-W2,0.21,0.21,0.2,0.2,-4.76,477825,96120,340270,2622460.0,12391010.0,0.21000000000000002,0.20750000000000002,0.20692307692307693,-6.410256410255277e-05,0.0016566951566951704,328177.8,14.285714285714292,11.42857142857143
4/10/2019,WIIK-W2,0.21,0.21,0.2,0.2,0.0,306274,61270,266840,2622280.0,11337290.0,0.20800000000000002,0.2066666666666667,0.2073076923076923,-0.0011253561253561084,0.0010712250712250847,261139.6,14.285714285714292,12.857142857142861
4/12/2019,WIIK-W2,0.2,0.2,0.2,0.2,0.0,279166,55830,280600,1083000.0,10484550.0,0.20600000000000002,0.20583333333333334,0.20730769230769233,-0.0018304843304843554,0.00034472934472935536,276453.0,14.285714285714292,14.285714285714292
4/17/2019,WIIK-W2,0.2,0.2,0.19,0.2,0.0,114834,22950,263220,910240.0,10100390.0,0.202,0.20500000000000004,0.20730769230769233,-0.002535612535612519,-0.0007521367521367339,261379.8,14.285714285714292,14.285714285714292
4/18/2019,WIIK-W2,0.2,0.2,0.19,0.2,0.0,423667,84350,320520,883150.0,9823720.0,0.2,0.2041666666666667,0.20730769230769236,-0.0032407407407407662,-0.0017592592592592603,320353.2,14.285714285714292,14.285714285714292
4/19/2019,WIIK-W2,0.2,0.2,0.2,0.2,0.0,129697,25940,250340,875780.0,9551440.0,0.2,0.2041666666666667,0.206923076923077,-0.002884615384615402,-0.0023233618233618305,250727.6,14.285714285714292,14.285714285714292
4/20/2019,WIIK-W2,0.2,0.22,0.2,0.2,0.0,2061696,418030,607100,1143450.0,9582570.0,0.2,0.2041666666666667,0.20653846153846162,-0.0025284900284900658,-0.002603988603988622,601812.0,14.285714285714292,14.285714285714292
4/23/2019,WIIK-W2,0.21,0.21,0.2,0.2,0.0,485574,97120,648390,1191970.0,9421020.0,0.2,0.2041666666666667,0.20615384615384624,-0.0021723646723647294,-0.0026723646723646965,643093.6,14.285714285714292,14.285714285714292
4/24/2019,WIIK-W2,0.2,0.2,0.19,0.19,-5.0,166466,31760,657200,1137520.0,8990710.0,0.198,0.2025,0.20538461538461547,-0.0036680911680912476,-0.002898860398860442,653420.0,14.285714285714292,14.285714285714292
4/25/2019,WIIK-W2,0.2,0.2,0.19,0.19,0.0,425101,81150,654000,1083970.0,8562800.0,0.196,0.2008333333333333,0.2046153846153847,-0.004366096866096986,-0.003123931623931686,653706.8,14.285714285714292,14.285714285714292
4/26/2019,WIIK-W2,0.19,0.21,0.19,0.2,5.26,1024132,201090,829150,1242990.0,7302480.0,0.196,0.1991666666666667,0.20423076923076933,-0.004622507122507169,-0.0034715099715100393,832593.8,14.285714285714292,14.285714285714292
4/29/2019,WIIK-W2,0.2,0.2,0.17,0.18,-10.0,2962266,552050,963170,1754710.0,7524750.0,0.192,0.19666666666666666,0.20307692307692315,-0.007264957264957378,-0.004418803418803502,1012707.8,14.285714285714292,14.285714285714292
4/30/2019,WIIK-W2,0.18,0.19,0.16,0.17,-5.56,1931430,329500,1195550,2057160.0,7626100.0,0.186,0.19416666666666663,0.2015384615384616,-0.00875356125356136,-0.005735042735042828,1301879.0,7.142857142857139,12.857142857142861
5/2/2019,WIIK-W2,0.17,0.17,0.15,0.16,-5.88,3124467,495540,1659330,2456580.0,7956260.0,0.18000000000000002,0.19083333333333333,0.1996153846153847,-0.010591168091168168,-0.007119658119658212,1893479.2,7.142857142857139,11.42857142857143
5/3/2019,WIIK-W2,0.15,0.17,0.15,0.16,0.0,2299068,371400,1949580,2766710.0,8234690.0,0.17400000000000002,0.1875,0.19769230769230778,-0.011631054131054225,-0.00857264957264966,2268272.6,7.142857142857139,10.0
5/7/2019,WIIK-W2,0.16,0.17,0.16,0.16,0.0,1434200,229570,1978060,2940450.0,7115590.0,0.166,0.18416666666666667,0.19576923076923083,-0.012670940170940254,-0.010182336182336276,2350286.2,7.142857142857139,8.57142857142857
5/9/2019,WIIK-W2,0.16,0.16,0.14,0.14,-17.65,6373763,949650,2375660,3867150.0,7592990.0,0.158,0.17916666666666667,0.1930769230769231,-0.016004273504273525,-0.011930199430199507,3032585.6,7.142857142857139,7.142857142857139
5/10/2019,WIIK-W2,0.15,0.16,0.14,0.15,7.14,1193927,178950,2225110,3961750.0,7195720.0,0.154,0.17499999999999996,0.19076923076923083,-0.016595441595441657,-0.013498575498575565,2885085.0,14.285714285714292,8.57142857142857
5/13/2019,WIIK-W2,0.15,0.15,0.14,0.14,-6.67,436099,63150,1792720,3998960.0,7092700.0,0.15,0.16999999999999996,0.18807692307692309,-0.019131054131054176,-0.015206552706552768,2347411.4,14.285714285714292,10.0
5/14/2019,WIIK-W2,0.15,0.15,0.13,0.14,0.0,793300,110460,1531780,3691390.0,7137360.0,0.14600000000000002,0.165,0.18576923076923077,-0.021225071225071224,-0.017125356125356168,2046257.8,14.285714285714292,11.42857142857143
5/15/2019,WIIK-W2,0.14,0.14,0.13,0.13,-7.14,578862,77950,1380160,3672220.0,7124580.0,0.14,0.16,0.18307692307692308,-0.02376068376068377,-0.01934330484330487,1875190.2,14.285714285714292,12.857142857142861
5/16/2019,WIIK-W2,0.14,0.14,0.12,0.13,0.0,1204566,156320,586830,3796780.0,7216490.0,0.138,0.155,0.1803846153846154,-0.02549857549857551,-0.021242165242165267,841350.8,14.285714285714292,14.285714285714292
5/17/2019,WIIK-W2,0.12,0.13,0.12,0.12,-7.69,615864,76120,484000,3791750.0,7231160.0,0.132,0.14833333333333334,0.17692307692307693,-0.02873219373219371,-0.023669515669515678,725738.2,14.285714285714292,14.285714285714292
5/21/2019,WIIK-W2,0.12,0.12,0.11,0.11,-8.33,678965,77840,498690,3668500.0,5713890.0,0.126,0.14250000000000002,0.1730769230769231,-0.030904558404558413,-0.026024216524216527,774311.4,14.285714285714292,14.285714285714292
5/22/2019,WIIK-W2,0.11,0.13,0.11,0.11,0.0,703332,83950,472180,3200400.0,5602130.0,0.12,0.13750000000000004,0.1688461538461539,-0.031217948717948724,-0.028022792022792026,756317.8,7.142857142857139,12.857142857142861
5/23/2019,WIIK-W2,0.12,0.13,0.11,0.12,9.09,1489533,178830,573060,3049730.0,5669520.0,0.118,0.13416666666666668,0.1653846153846154,-0.030035612535612544,-0.02927777777777778,938452.0,14.285714285714292,12.857142857142861
5/24/2019,WIIK-W2,0.11,0.13,0.11,0.13,8.33,842933,102520,519260,2656710.0,5738730.0,0.118,0.13166666666666668,0.16269230769230766,-0.028860398860398817,-0.029950142450142443,866125.4,21.42857142857143,14.285714285714288
5/27/2019,WIIK-W2,0.12,0.13,0.12,0.13,0.0,1770100,227860,671000,2513170.0,5816230.0,0.12,0.12916666666666665,0.16,-0.02848290598290598,-0.029900284900284894,1096972.6,21.42857142857143,15.714285714285717
5/28/2019,WIIK-W2,0.13,0.16,0.13,0.16,23.08,4322898,632590,1225750,2916190.0,6400220.0,0.13,0.1308333333333333,0.15846153846153846,-0.023254985754985774,-0.02837037037037037,1825759.2,28.57142857142857,18.571428571428573
