Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
10/3/2017,WPH,4.3,4.48,4.14,4.18,7.18,287590316,1241487530,1241487530,1241487530.0,1241487530.0,4.18,,,,,287590316.0,,,1241487530.0,0.0
10/4/2017,WPH,4.2,4.22,4.02,4.02,-3.83,40996284,169058670,1410546200,1410546200.0,1410546200.0,4.1,,,,,164293300.0,,,705273100.0,0.0
10/5/2017,WPH,4.04,4.12,4.02,4.04,0.5,28966326,117992920,1528539120,1528539120.0,1528539120.0,4.079999999999999,,,,,119184308.66666669,,,509513040.0,0.0
10/6/2017,WPH,4.04,4.08,4.04,4.08,0.99,14493107,58804630,1587343750,1587343750.0,1587343750.0,4.08,,,,,93011508.25,,,396835937.5,0.0
10/9/2017,WPH,4.1,4.1,4.02,4.02,-1.47,6038207,24436320,1611780070,1611780070.0,1611780070.0,4.0680000000000005,,,,,75616848.0,,,322356014.0,0.0
10/10/2017,WPH,4.04,4.04,3.94,3.96,-1.49,9817067,39064760,409357300,1650844830.0,1650844830.0,4.023999999999999,,,,,20062198.2,,,81871460.0,0.0
10/11/2017,WPH,3.96,3.98,3.92,3.92,-1.01,4404014,17353290,257651920,1668198120.0,1668198120.0,4.004,,,,,12743744.2,,,51530384.0,0.0
10/12/2017,WPH,3.92,4.0,3.92,3.92,0.0,8253919,32557580,172216580,1700755700.0,1700755700.0,3.98,,,,,8601262.8,,,34443316.0,0.0
10/16/2017,WPH,3.94,4.04,3.94,3.96,1.02,15661300,62649350,176061300,1763405050.0,1763405050.0,3.9560000000000004,,,,,8834901.4,,,35212260.0,0.0
10/17/2017,WPH,3.96,3.98,3.94,3.94,-0.51,3728801,14737010,166361990,1778142060.0,1778142060.0,3.94,,,,,8373020.2,,,33272398.0,0.0
10/18/2017,WPH,3.94,3.94,3.9,3.9,-1.02,5647300,22089730,149386960,1800231790.0,1800231790.0,3.928,,,,,7539066.8,,,29877392.0,0.0
10/19/2017,WPH,3.92,3.92,3.82,3.82,-2.05,3740700,14452440,146486110,1814684230.0,1814684230.0,3.908,3.98,,,,7406404.0,,,29297222.0,0.0
10/20/2017,WPH,3.82,3.86,3.76,3.78,-1.05,4677799,17703360,131631890,1832387590.0,1832387590.0,3.88,3.9466666666666654,,,,6691180.0,,,26326378.0,0.0
10/24/2017,WPH,3.82,3.86,3.76,3.78,-1.05,4677799,17703360,86685900,608603420.0,1850090950.0,3.844,3.926666666666668,,,,4494479.8,28.57142857142857,28.57142857142857,17337180.0,0.0
10/25/2017,WPH,3.78,3.84,3.78,3.82,0.53,2188510,8333640,80282530,447878390.0,1858424590.0,3.82,3.908333333333333,,,,4186421.6,28.57142857142857,28.57142857142857,16056506.0,0.0
10/27/2017,WPH,3.82,3.86,3.82,3.82,0.0,1669302,6398670,64591470,336284140.0,1864823260.0,3.804,3.8866666666666654,,,,3390822.0,28.57142857142857,28.57142857142857,12918294.0,0.0
10/30/2017,WPH,3.82,3.88,3.78,3.84,0.52,2785099,10677900,60816930,288157410.0,1875501160.0,3.808,3.871666666666668,,,,3199701.8,28.57142857142857,28.57142857142857,12163386.0,0.0
10/31/2017,WPH,3.84,3.86,3.82,3.82,-0.52,1347801,5163170,48276740,268884260.0,1880664330.0,3.816,3.86,,,,2533702.2,21.42857142857143,27.142857142857146,9655348.0,0.0
11/1/2017,WPH,3.84,3.86,3.82,3.82,0.0,1558400,5967420,36540800,235786920.0,1886631750.0,3.824,3.8516666666666666,,,,1909822.4,21.42857142857143,25.71428571428571,7308160.0,0.0
11/2/2017,WPH,3.82,3.82,3.78,3.78,-1.05,2474801,9389520,37596680,227823150.0,1896021270.0,3.8160000000000003,3.84,,,,1967080.6,21.42857142857143,24.285714285714285,7519336.0,0.0
11/3/2017,WPH,3.8,3.9,3.78,3.82,1.06,6673445,25608040,56806050,220873610.0,1921629310.0,3.816,3.828333333333333,,,,2967909.2,28.57142857142857,24.285714285714285,11361210.0,0.0
11/6/2017,WPH,3.82,3.86,3.8,3.82,0.0,2018825,7754960,53883110,165979220.0,1929384270.0,3.812,3.818333333333333,,,,2814654.4,28.57142857142857,24.285714285714285,10776622.0,0.0
11/7/2017,WPH,3.82,3.84,3.8,3.8,-0.52,1190959,4540490,53260430,155782700.0,1933924760.0,3.808,3.81,,,,2783286.0,21.42857142857143,24.285714285714285,10652086.0,0.0
11/8/2017,WPH,3.8,3.8,3.7,3.72,-2.11,4716445,17643780,64936790,151336750.0,1951568540.0,3.7880000000000003,3.8016666666666654,,,,3414895.0,21.42857142857143,24.285714285714285,12987358.0,0.0
11/9/2017,WPH,3.72,3.76,3.7,3.7,-0.54,1375005,5115650,60662920,141999960.0,1956684190.0,3.772,3.795,,,,3194935.8,21.42857142857143,24.285714285714285,12132584.0,0.0
11/10/2017,WPH,3.7,3.74,3.64,3.64,-1.62,1714600,6284690,41339570,130581290.0,1962968880.0,3.736,3.7833333333333337,3.8738461538461526,-0.09524216524216378,-0.09524216524216378,2203166.8,21.42857142857143,22.857142857142854,8267914.0,0.0
11/13/2017,WPH,3.62,3.66,3.38,3.38,-7.14,3727072,13091550,46676160,125969480.0,1976060430.0,3.648,3.746666666666668,3.8430769230769215,-0.11851851851851693,-0.10688034188034036,2544816.2,21.42857142857143,21.42857142857143,9335232.0,0.0
11/14/2017,WPH,3.38,3.4,3.12,3.2,-5.33,6269830,20072690,62208360,137708530.0,1996133120.0,3.528,3.695,3.8115384615384613,-0.1473931623931617,-0.12038461538461412,3560590.4,21.42857142857143,21.42857142857143,12441672.0,0.0
11/16/2017,WPH,3.22,3.28,3.2,3.26,1.88,1231340,3993710,48558290,135303570.0,2000126830.0,3.4360000000000004,3.6466666666666665,3.7815384615384615,-0.15572649572649588,-0.12922008547008454,2863569.4,21.42857142857143,21.42857142857143,9711658.0,0.0
11/17/2017,WPH,3.26,3.38,3.26,3.34,2.45,2461445,8195090,51637730,132820760.0,2008321920.0,3.364,3.606666666666667,3.7530769230769234,-0.15683760683760672,-0.13474358974358902,3080857.4,28.57142857142857,22.857142857142854,10327546.0,0.0
11/20/2017,WPH,3.36,3.44,3.36,3.42,2.4,1742201,5945930,51298970,133603520.0,2014267850.0,3.3200000000000003,3.5733333333333333,3.730000000000001,-0.15729344729344866,-0.14715384615384594,3086377.6,28.57142857142857,24.285714285714285,10259794.0,0.0
11/21/2017,WPH,3.44,3.46,3.4,3.44,0.58,822100,2823210,41030630,130459310.0,2017091060.0,3.332,3.5449999999999995,3.71,-0.16115384615384665,-0.15568091168091192,2505383.2,35.714285714285715,27.142857142857146,8206126.0,0.0
11/22/2017,WPH,3.46,3.48,3.4,3.4,-1.16,917907,3160430,24118370,124230220.0,2020251490.0,3.372,3.51,3.69,-0.17544159544159665,-0.1612905982905989,1434998.6,35.714285714285715,30.0,4823674.0,0.0
11/23/2017,WPH,3.4,3.42,3.32,3.34,-1.76,1282701,4301040,24425700,102923220.0,2024552530.0,3.3879999999999995,3.469999999999999,3.667692307692308,-0.19341880341880469,-0.16882905982906066,1445270.8,35.714285714285715,32.85714285714286,4885140.0,0.0
11/24/2017,WPH,3.32,3.34,3.3,3.3,-1.2,516812,1714180,17944790,96882440.0,784779180.0,3.38,3.4283333333333332,3.6423076923076922,-0.2083618233618232,-0.17913390313390395,1056344.2,28.57142857142857,32.857142857142854,3588958.0,0.0
11/27/2017,WPH,3.32,3.32,3.3,3.3,0.0,464900,1534560,13533420,93876510.0,617255070.0,3.3560000000000003,3.3933333333333326,3.6176923076923084,-0.2151851851851867,-0.1907122507122516,800884.0,28.57142857142857,32.857142857142854,2706684.0,0.0
11/28/2017,WPH,3.3,3.34,3.3,3.3,0.0,400301,1323490,12033700,77556220.0,500585640.0,3.3280000000000003,3.3599999999999994,3.594615384615385,-0.22202279202279307,-0.20288603988604087,716524.2,28.57142857142857,31.428571428571434,2406740.0,0.0
11/29/2017,WPH,3.3,3.32,3.26,3.26,-1.21,723100,2379450,11252720,74820020.0,444160460.0,3.3,3.328333333333333,3.573076923076924,-0.2320655270655277,-0.21421082621082704,677562.8,28.57142857142857,30.0,2250544.0,0.0
11/30/2017,WPH,3.22,3.34,3.22,3.26,0.0,692900,2270560,9222240,70805890.0,421994700.0,3.284,3.318333333333333,3.5530769230769232,-0.222008547008548,-0.2199287749287757,559602.6,28.57142857142857,28.57142857142857,1844448.0,0.0
12/1/2017,WPH,3.26,3.3,3.26,3.26,0.0,533200,1744250,9252310,59458590.0,384674190.0,3.276,3.3233333333333333,3.533076923076924,-0.1992592592592608,-0.21810826210826328,562880.2,28.57142857142857,28.57142857142857,1850462.0,0.0
12/4/2017,WPH,3.24,3.28,3.24,3.26,0.0,440200,1428020,9145770,40813920.0,368748920.0,3.268,3.3233333333333333,3.5115384615384624,-0.17931623931624066,-0.21093447293447404,557940.2,28.57142857142857,28.57142857142857,1829154.0,0.0
12/6/2017,WPH,3.26,3.28,3.2,3.2,-1.84,857097,2762830,10585110,39583040.0,338954170.0,3.248,3.311666666666666,3.487692307692308,-0.1718945868945876,-0.20090883190883294,649299.4,28.57142857142857,28.57142857142857,2117022.0,2.0
12/7/2017,WPH,3.2,3.24,3.2,3.24,1.25,253600,816320,9021980,32204270.0,277121140.0,3.2439999999999998,3.296666666666667,3.4646153846153847,-0.1600284900284894,-0.1865014245014253,555399.4,28.57142857142857,28.57142857142857,1804396.0,0.0
12/8/2017,WPH,3.24,3.24,3.2,3.2,-1.23,396101,1276200,8027620,27534540.0,263660330.0,3.232,3.276666666666667,3.4407692307692312,-0.1580626780626786,-0.1737122507122514,496039.6,21.42857142857143,27.142857142857146,1605524.0,0.0
12/12/2017,WPH,3.22,3.22,3.18,3.18,-0.62,180001,576500,6859870,25287830.0,242147100.0,3.216,3.2583333333333333,3.4161538461538465,-0.15237891737891784,-0.1643361823361828,425399.8,14.285714285714292,24.285714285714285,1371974.0,0.0
12/13/2017,WPH,3.2,3.22,3.2,3.22,1.26,327691,1052730,6484580,23180130.0,228747390.0,3.208,3.248333333333333,3.3946153846153844,-0.13770655270655266,-0.1560142450142452,402898.0,14.285714285714292,21.42857142857143,1296916.0,0.0
12/14/2017,WPH,3.22,3.24,3.18,3.2,-0.62,276400,885390,4607140,19764480.0,211929420.0,3.2080000000000006,3.24,3.3707692307692314,-0.12427350427350435,-0.14649002849002854,286758.6,14.285714285714292,18.571428571428573,921428.0,0.0
12/15/2017,WPH,3.2,3.2,3.16,3.18,-0.62,307000,973810,4764630,19024110.0,195199870.0,3.196,3.2300000000000004,3.3461538461538463,-0.1115384615384607,-0.13679202279202282,297438.6,14.285714285714292,15.714285714285722,952926.0,2.0
12/18/2017,WPH,3.2,3.2,3.16,3.16,-0.63,189850,601190,4089620,18090740.0,187467420.0,3.188,3.2183333333333324,3.3215384615384616,-0.10021367521367576,-0.12522222222222226,256188.4,14.285714285714292,14.285714285714292,817924.0,0.0
12/19/2017,WPH,3.16,3.18,3.16,3.18,0.63,469400,1486380,4999500,18253630.0,182555130.0,3.188,3.2116666666666664,3.300769230769231,-0.08502849002849057,-0.1117521367521368,314068.2,21.42857142857143,15.714285714285722,999900.0,2.0
12/20/2017,WPH,3.18,3.18,3.16,3.16,-0.63,255805,809590,4756360,16683770.0,172686820.0,3.176,3.203333333333333,3.28,-0.07444444444444454,-0.0990997150997152,299691.0,21.42857142857143,17.142857142857142,951272.0,0.0
12/21/2017,WPH,3.16,3.18,3.14,3.16,0.0,475600,1497980,5368950,15911190.0,169021630.0,3.168,3.194999999999999,3.261538461538462,-0.06440170940171043,-0.08712535612535639,339531.0,21.42857142857143,18.571428571428573,1073790.0,2.0
12/22/2017,WPH,3.16,3.16,3.12,3.14,-0.63,544611,1705740,6100880,15872680.0,164759950.0,3.16,3.185,3.2523076923076935,-0.06591168091168154,-0.07800000000000057,387053.2,21.42857142857143,20.000000000000004,1220176.0,2.0
