Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/1/2019,WR,0.57,1.0,0.35,0.5,0.0,952484,465390,465390,465390.0,465390.0,465390.0
7/2/2019,WR,0.47,0.5,0.39,0.46,-8.0,424409,176660,642050,642050.0,642050.0,321025.0
7/3/2019,WR,0.44,0.59,0.44,0.53,15.22,1816166,1011200,1653250,1653250.0,1653250.0,551083.3333333334
7/4/2019,WR,0.53,0.57,0.48,0.51,-3.77,502401,255800,1909050,1909050.0,1909050.0,477262.5
7/5/2019,WR,0.49,0.5,0.47,0.47,-7.84,160140,76230,1985280,1985280.0,1985280.0,397056.0
7/8/2019,WR,0.5,0.52,0.44,0.5,6.38,96722,46170,1566060,2031450.0,2031450.0,313212.0
7/9/2019,WR,0.46,0.56,0.35,0.56,12.0,1128640,417120,1806520,2448570.0,2448570.0,361304.0
7/10/2019,WR,0.43,0.52,0.4,0.42,-25.0,186716,79350,874670,2527920.0,2527920.0,174934.0
7/11/2019,WR,0.4,0.44,0.4,0.42,0.0,137500,57740,676610,2585660.0,2585660.0,135322.0
7/12/2019,WR,0.45,0.45,0.4,0.44,4.76,192500,82540,682920,2668200.0,2668200.0,136584.0
7/15/2019,WR,0.45,0.47,0.45,0.46,4.55,77450,36120,672870,2704320.0,2704320.0,134574.0
7/17/2019,WR,0.46,0.47,0.45,0.45,-2.17,111240,50680,306430,2755000.0,2755000.0,61286.0
7/18/2019,WR,0.45,0.45,0.41,0.42,-6.67,166302,72040,299120,2827040.0,2827040.0,59824.0
7/19/2019,WR,0.42,0.43,0.42,0.43,2.38,24520,10300,251680,2371950.0,2837340.0,50336.0
7/22/2019,WR,0.42,0.42,0.41,0.41,-4.65,8242,3450,172590,2198740.0,2840790.0,34518.0
7/23/2019,WR,0.41,0.5,0.4,0.45,9.76,162715,73140,209610,1260680.0,2913930.0,41922.0
7/24/2019,WR,0.45,0.45,0.43,0.43,-4.44,261000,113230,272160,1118110.0,3027160.0,54432.0
7/25/2019,WR,0.41,0.45,0.41,0.41,-4.65,11848,4970,205090,1046850.0,3032130.0,41018.0
7/26/2019,WR,0.41,0.43,0.4,0.4,-2.44,68164,27510,222300,1028190.0,3059640.0,44460.0
7/30/2019,WR,0.42,0.43,0.33,0.4,0.0,375028,140470,359320,751540.0,3200110.0,71864.0
