Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
8/17/2017,ZIGA,7.0,7.1,6.35,6.5,10.17,166824236,1133041060,1133041060,1133041060.0,1133041060.0,6.5,,,,,166824236.0,,
8/18/2017,ZIGA,6.45,6.65,6.35,6.45,-0.77,67295302,438924180,1571965240,1571965240.0,1571965240.0,6.475,,,,,117059769.0,,
8/21/2017,ZIGA,6.5,6.55,6.2,6.2,-3.88,25563571,162591930,1734557170,1734557170.0,1734557170.0,6.383333333333333,,,,,86561036.33333333,,
8/22/2017,ZIGA,6.2,6.35,6.15,6.2,0.0,23029457,143620600,1878177770,1878177770.0,1878177770.0,6.3374999999999995,,,,,70678141.5,,
8/23/2017,ZIGA,6.25,6.5,6.25,6.25,0.81,42130558,268259930,2146437700,2146437700.0,2146437700.0,6.319999999999999,,,,,64968624.8,,
8/24/2017,ZIGA,6.3,6.35,6.2,6.2,-0.8,17905648,111977680,1125374320,2258415380.0,2258415380.0,6.26,,,,,35184907.2,,
8/25/2017,ZIGA,6.25,6.3,6.2,6.25,0.81,10469900,65687690,752137830,2324103070.0,2324103070.0,6.22,,,,,23819826.8,,
8/28/2017,ZIGA,6.3,6.4,6.25,6.35,1.6,10490418,66725430,656271330,2390828500.0,2390828500.0,6.25,,,,,20805196.2,,
8/29/2017,ZIGA,6.4,6.4,6.2,6.25,-1.57,7484921,47029710,559680440,2437858210.0,2437858210.0,6.26,,,,,17696289.0,,
8/30/2017,ZIGA,6.3,6.35,6.15,6.25,0.0,14624101,91201960,382622470,2529060170.0,2529060170.0,6.26,,,,,12194997.6,,
8/31/2017,ZIGA,6.3,6.4,6.25,6.3,0.8,15033800,95272420,365917210,2624332590.0,2624332590.0,6.28,,,,,11620628.0,,
9/1/2017,ZIGA,6.35,6.35,6.2,6.25,-0.79,5511204,34536390,334765910,2658868980.0,2658868980.0,6.28,6.2875000000000005,,,,10628888.8,,
9/4/2017,ZIGA,6.25,6.45,6.2,6.3,0.8,14906400,94813680,362854160,2753682660.0,2753682660.0,6.2700000000000005,6.270833333333332,,,,11512085.2,,
9/5/2017,ZIGA,6.35,6.45,6.25,6.3,0.0,21071943,133820400,449644850,1754462000.0,2887503060.0,6.28,6.258333333333333,,,,14229489.6,42.857142857142854,42.857142857142854
9/6/2017,ZIGA,6.3,7.75,6.3,6.8,7.94,413224370,2976192690,3334635580,4291730510.0,5863695750.0,6.390000000000001,6.308333333333333,,,,93949543.4,42.857142857142854,42.857142857142854
9/7/2017,ZIGA,6.85,7.1,6.55,6.75,-0.74,83914367,575331260,3814694420,4704469840.0,6439027010.0,6.480000000000001,6.354166666666665,,,,107725656.8,42.857142857142854,42.857142857142854
9/8/2017,ZIGA,6.85,7.3,6.8,7.2,6.67,105059303,745203800,4525361830,5306053040.0,7184230810.0,6.67,6.433333333333333,,,,127635276.6,50.0,44.64285714285714
9/11/2017,ZIGA,7.35,7.85,7.25,7.25,0.69,144690699,1083153390,5513701540,6120946500.0,8267384200.0,6.859999999999999,6.520833333333333,,,,153592136.4,57.14285714285714,47.14285714285714
9/12/2017,ZIGA,7.25,7.4,7.2,7.25,0.0,32102479,233787340,5613668480,6242756160.0,8501171540.0,7.05,6.604166666666667,,,,155798243.6,50.0,48.57142857142857
9/13/2017,ZIGA,7.35,7.5,7.15,7.25,0.0,27381620,201096570,2838572360,6378165040.0,8702268110.0,7.140000000000001,6.679166666666667,,,,78629693.6,50.0,50.0
9/14/2017,ZIGA,7.3,7.35,7.05,7.15,-1.38,17141097,122928910,2386170010,6434368520.0,8825197020.0,7.220000000000001,6.754166666666667,,,,65275039.6,42.857142857142854,50.0
9/15/2017,ZIGA,7.25,7.8,7.2,7.35,2.8,108922500,810774890,2451741100,7198113700.0,9635971910.0,7.25,6.845833333333334,,,,66047679.0,42.857142857142854,48.57142857142857
9/18/2017,ZIGA,7.45,7.45,6.9,6.95,-5.44,53627527,383503920,1752091630,7490415660.0,10019475830.0,7.19,6.900000000000001,,,,47835044.6,42.857142857142854,45.714285714285715
9/19/2017,ZIGA,6.95,7.15,6.85,7.05,1.44,30867017,216180310,1734484600,7611323550.0,10235656140.0,7.15,6.966666666666666,,,,47587952.2,50.0,45.714285714285715
9/20/2017,ZIGA,7.1,7.2,6.95,7.15,1.42,21554500,153095780,1686483810,7729882940.0,10388751920.0,7.13,7.0375000000000005,,,,46422528.2,50.0,45.71428571428571
9/21/2017,ZIGA,7.2,7.3,7.05,7.05,-1.4,22259481,159290190,1722845090,7794359450.0,10548042110.0,7.109999999999999,7.1000000000000005,6.663461538461539,0.40021367521367424,0.40021367521367424,47446205.0,50.0,47.142857142857146
9/22/2017,ZIGA,7.1,7.1,6.95,7.05,0.0,10755403,75672240,987742440,7736211290.0,10623714350.0,7.05,7.120833333333334,6.684615384615385,0.39825498575498663,0.39923433048433044,27812785.6,42.857142857142854,47.142857142857146
9/25/2017,ZIGA,7.05,7.2,7.0,7.15,1.42,22042328,156962250,761200770,4916980850.0,10780676600.0,7.090000000000001,7.154166666666668,6.711538461538463,0.4095085470085458,0.40265906932573553,21495745.8,50.0,48.57142857142857
9/26/2017,ZIGA,7.15,7.25,6.95,7.0,-2.1,12608225,89188240,634208700,4430837830.0,10869864840.0,7.08,7.1375,6.742307692307694,0.3549501424501411,0.39073183760683694,17843987.4,42.857142857142854,47.142857142857146
9/27/2017,ZIGA,7.05,7.05,6.8,6.8,-2.86,14655930,100909900,582022820,3786543930.0,10970774740.0,7.01,7.1000000000000005,6.765384615384617,0.285897435897434,0.36976495726495634,16464273.4,42.857142857142854,45.714285714285715
9/28/2017,ZIGA,6.85,6.95,6.8,6.85,0.74,6192821,42488430,465221060,2745878970.0,11013263170.0,6.970000000000001,7.0666666666666655,6.788461538461539,0.24031339031338916,0.3377849002848993,13250941.4,42.857142857142854,44.28571428571429
9/29/2017,ZIGA,6.95,7.15,6.95,7.05,2.92,25395741,179300530,568849350,2691392160.0,11192563700.0,6.969999999999999,7.049999999999998,6.821153846153848,0.21189458689458363,0.30051282051281875,16179009.0,42.857142857142854,44.28571428571429
